2008cf 0.046 211.885667 -26.551833
filter B
54595.77	17.248	0.007
54597.76	17.303	0.007
54599.68	17.391	0.007
54606.69	17.828	0.015
54616.65	18.771	0.017
54624.68	19.466	0.019
54626.65	19.63	0.022
54628.69	19.769	0.028
54630.65	19.915	0.056
54644.6	20.254	0.036
54648.67	20.343	0.032
54653.64	20.493	0.036
54654.65	20.518	0.041
filter H
54596.76	18.303	0.198
54596.79	18.244	0.172
54598.76	18.183	0.105
54598.79	18.194	0.124
54599.8	18.386	0.051
54599.81	18.361	0.051
54602.75	18.493	0.057
54602.78	18.704	0.071
54607.78	18.834	0.057
54607.79	18.717	0.054
filter J
54596.76	18.256	0.066
filter V
54595.77	17.208	0.006
54597.76	17.242	0.005
54599.68	17.287	0.007
54606.69	17.613	0.013
54616.65	18.159	0.01
54624.68	18.587	0.012
54626.65	18.709	0.013
54628.69	18.838	0.016
54630.65	18.903	0.022
54644.6	19.511	0.024
54648.67	19.635	0.025
54653.64	19.729	0.03
54654.65	19.758	0.03
filter Y
54596.76	18.362	0.043
54598.76	18.417	0.039
54617.74	18.306	0.094
54625.66	18.165	0.04
54625.67	18.122	0.041
54629.7	17.909	0.024
54629.71	17.971	0.024
54645.68	18.497	0.044
54645.69	18.656	0.044
filter Ydw
54599.8	18.643	0.024
54599.81	18.63	0.026
54602.75	18.809	0.029
54607.78	18.978	0.032
54607.79	18.989	0.031
filter g
54595.77	17.151	0.005
54597.76	17.195	0.005
54599.68	17.267	0.006
54606.69	17.613	0.012
54616.65	18.468	0.007
54624.68	19.084	0.011
54626.65	19.257	0.012
54628.69	19.354	0.016
54630.65	19.496	0.034
54644.6	19.973	0.023
54648.67	20.029	0.018
54653.64	20.13	0.017
54654.65	20.151	0.019
filter i
54595.77	17.868	0.009
54597.76	17.954	0.011
54599.68	17.983	0.01
54606.69	18.42	0.021
54616.65	18.724	0.016
54624.68	18.565	0.015
54626.65	18.541	0.015
54628.69	18.525	0.015
54630.65	18.602	0.019
54644.6	19.399	0.119
54648.67	19.551	0.035
54653.64	19.815	0.041
54654.65	19.763	0.034
filter r
54595.77	17.239	0.006
54597.76	17.247	0.005
54599.68	17.296	0.007
54606.69	17.665	0.013
54616.65	18.041	0.007
54624.68	18.206	0.008
54626.65	18.261	0.009
54628.69	18.345	0.01
54630.65	18.452	0.014
54644.6	19.076	0.018
54648.67	19.252	0.015
54653.64	19.37	0.018
54654.65	19.438	0.019
filter u
54595.77	17.605	0.013
54597.76	17.787	0.013
54599.68	17.927	0.013
54606.69	18.622	0.064
54616.65	20.008	0.059
54624.68	20.994	0.083
