# Created by M.D. Woods -- 2025-01-16 11:38:42.077108 -- NUM TARGETS: 36
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, chisquare, chisquare_err, hostMass, hostMass_err, peak_mag, peak_mag_err
2024aexm, 65.03729, -27.916069999999994, 0.0738, 0.07343034410942162, 60657.166342, 60685.14458, ATLAS, 37.65251577828925, 0.12506019626905826, 0.7128158598772572, 0.0788777699626279, 60671.73350632806, 0.5272941604711534, 0.017525545016145228, 0.09806715192305666, 293.2185025225869, 2.9031534903226426, 10.79652687077482, 0.0023129647926131425, 18.90265625, 0.14615625
2024aeuh, 10.121459999999999, 6.689529999999999, 0.031, 0.02972001952770795, 60658.345416, 60684.298846, ATLAS, 36.12254655864712, 0.17947105680269965, 0.6273264347697148, 0.07439950508268516, 60678.77032108793, 0.7475318515556223, 0.005761796312520306, 0.059487938360405994, 52.05394728083526, 1.2393796971627442, 9.022216110818501, 0.009065280776419831, 17.562166666666666, 0.053000000000000005
2022zue, 159.40446999999998, -7.27031, 0.028823, 0.030070751295842257, 60659.326169, 60681.099394, ATLAS, 38.22315308203314, 0.9837556544047713, 0.9128520882475479, 0.24747804178545585, 60637.3384025934, 11.684877092073814, -0.4096649650795115, 0.45976596221516175, 3.4655176644314567, 0.5775862774052428, 9.95143934138018, 0.00210399786585647, nan, nan
2024fwj, 183.41515000000007, 14.244259999999995, 0.051567, 0.05256916678491592, 60659.556141, 60684.545521, ATLAS, 38.79148292674295, 1.737299351527247, 0.7725641272399748, 0.8948849362929493, 60677.61126141126, 5.15184718737598, 0.17162992364485258, 0.7232867094327988, 62.081770515467035, 2.002637758563453, 10.396019675067718, 0.002425878497404348, 20.072294117647058, 0.4394117647058823
2024aemk, 87.26014999999998, -20.05974000000001, 0.05, 0.04919713576245876, 60655.98044, 60685.176425, ATLAS, 37.1663145950975, 0.10335665331221817, 0.9120698463395821, 0.07173867012650023, 60676.933305637765, 0.3156583713232221, -0.09067529650997624, 0.036780657906167774, 273.0243382916149, 3.138210784961091, 9.66860575009017, 0.007595384062306669, 17.91702777777778, 0.06297222222222223
2024vfz, 25.467089999999995, -19.72146000000001, 0.08, 0.07876105533479458, 60662.127729, 60687.831758, ATLAS, 38.673961095069274, 0.3494702374030855, 1.0410393598357133, 0.714927525876733, 60684.12953436598, 3.0297243162315737, 0.5119068472499088, 0.20552753463100812, 3.6503979834300115, 0.09865940495756788, 8.832605850489585, 0.02826536101558957, 19.968, 0.7190833333333333
2024xjv, 51.320499999999996, -5.962189999999998, 0.070186, 0.06978556527739821, 60659.155824, 60687.095335, ATLAS, 37.816857294145954, 7.264534929260902, 2.046822130424591, 3.4235599713704077, 60624.45527598223, 127.88591776838035, -0.38323442553423154, 3.5604164647783536, 27.440641934510122, 0.8315346040760643, 9.769705111753964, 0.004186385156698171, nan, nan
2024aemh, 185.97889, -26.88059, 0.07, 0.07112913275928756, 60656.057893, 60685.306782, ATLAS, 37.85593058159112, 0.08086156958911116, 1.089168948543929, 0.08958991037004302, 60667.75470175655, 1.070188491400576, -0.14830108743126244, 0.04008791358313412, 214.714490686104, 1.9170936668402143, 10.191087625452944, 0.010916776326978342, 18.441555555555553, 0.12033333333333333
2024aewf, 177.12212, 3.6661200000000003, 0.06, 0.0614679740335566, 60660.574961, 60685.072824, ATLAS, 38.02901462883134, 0.08646316087189379, 0.9598859522645286, 0.08463536886046873, 60676.93272777757, 0.38718827726895655, -0.2755040014988954, 0.04681893829542883, 67.83678297887734, 1.3045535188245643, 8.03736042124434, 0.1663191107114599, 18.417242424242424, 0.09851515151515151
2024xel, 68.78863, -24.60734, 0.0751, 0.07481392232896936, 60658.918272, 60687.89382, ATLAS, 38.83709292605109, 0.9561278873400889, 1.1892918146333635, 0.4140338461364838, 60660.708106453145, 6.034699909248657, 0.35180825733656534, 0.7767053947040008, 108.3976584458522, 2.125444283252004, 9.618230283348602, 0.008587443263553955, 20.234066666666667, 0.6481999999999999
2024adki, 163.36929999999998, -32.94444, 0.07, 0.07131568191371444, 60657.248334, 60685.274272, ATLAS, 38.283440451366715, 0.3404447200075283, 1.495635220147843, 0.41459498912405396, 60650.24489902328, 10.233622777379349, 0.13207677532293555, 0.2720315960734857, 81.05230256807883, 1.052627306078946, 10.358636340052554, 0.03300455877602365, nan, nan
2024uqc, 84.20571, -27.008940000000003, 0.05, 0.04923369867484185, 60658.96521, 60686.916297, ATLAS, 38.93347873099917, 0.24869977405332366, 0.952513742514113, 0.11464136602643517, 60653.35507359629, 3.0004590636021535, -0.21033256629095967, 0.1450363790531106, 32.01362121109266, 0.6040305888885408, 9.374226897245933, 0.0081660126274423, nan, nan
2024pbf, 62.48239, -1.3738399999999997, 0.0244, 0.024375495101527856, 60660.422664, 60684.333956, ATLAS, 39.03497396712185, 0.34899460417452965, 1.1910595958177879, 0.5647569992274127, 60653.211765874796, 7.536191308306423, -0.2729194795250606, 0.27995393370565, 6.394377279268516, 0.4262918186179011, 10.692937365464697, 0.0009738408648959774, nan, nan
2024N, 211.20153999999997, -29.731119999999997, 0.08, 0.08107949747072651, 60676.079417, 60686.351734, ATLAS, 37.819886555341554, 0.6281144749580186, 0.9432937933118061, 0.8348383373888363, 60669.668083466335, 12.872977992997964, 0.7157632115623945, 0.45098726802770567, 2.550835864431214, 0.5101671728862428, 9.599456321986166, 0.011617032633389967, nan, nan
2024pcv, 59.66161999999998, -5.809870000000002, 0.037, 0.035108627225278764, 60659.169087, 60687.102625, ATLAS, 38.39731545967546, 0.5106050007009986, 1.5455791464945567, 0.8199231719934328, 60644.73716519721, 18.96841913651266, -0.04060388374559655, 0.6820616729913903, 73.76815185423504, 1.4186183048891354, 10.325779112684447, 0.0016632526374346958, nan, nan
2024aedt, 27.89249000000001, 8.25134, 0.018413, 0.016751016254026696, 60658.339095, 60684.793678, ATLAS, 34.984330295415, 0.07016474564142643, 0.6395282670024867, 0.033383252832481315, 60672.29574721816, 0.26336228154291325, -0.05785454864452917, 0.018710060654545974, 263.79191911485844, 3.1403799894626006, 10.764972116364827, 0.00046383386530187613, 16.438, 0.01867857142857143
2024ably, 29.181289999999994, -9.17977, 0.061, 0.05914321069225975, 60658.333138, 60684.818594, ATLAS, 37.50829085831114, 0.2697575318264156, 0.9558586799511386, 0.20810541461805723, 60663.15146456007, 1.4957963118769395, 0.6580904552865692, 0.13077272249300162, 150.44390073323478, 1.7095897810594862, 10.04728411862504, 0.004271360454990596, 19.254829268292685, 0.32275609756097556
2024abof, 60.840000000000025, -35.02671, 0.06, 0.059575197695093784, 60657.156722, 60685.137144, ATLAS, 37.55341238524254, 0.14949841861771151, 1.0644209239670168, 0.11857164065222145, 60660.89056662178, 1.5086488475008235, 0.5148664999607638, 0.09621776398920666, 167.03454812455945, 1.7960704099414995, 10.320260111490926, 0.14587925452236172, 18.81025, 0.19453125
2024aeet, 83.37101000000001, -35.36496999999998, 0.042, 0.042508618316596955, 60656.005081, 60685.167057, ATLAS, 36.68887457930514, 0.04185827348745629, 1.25786364935065, 0.05127246748991811, 60676.970704017636, 0.33696722549010333, 0.07116912458439285, 0.023001536299166053, 284.7448583659705, 2.686272248735571, 9.7041004684278, 0.09827214712216274, 17.517093023255814, 0.04306976744186046
2024bks, 196.84007999999997, -27.375349999999994, 0.019807, 0.020703749526069133, 60664.093382, 60686.369719, ATLAS, 38.654355844937974, 0.7520208252562768, 1.1890250731401315, 1.2345388808655289, 60669.67095566482, 12.633960568920116, 0.4424128904164519, 0.559970300276265, 9.097844653165225, 0.649846046654659, 10.68417279222776, 0.0005814236330391832, 20.2612, 0.5492
