# Created by M.D. Woods -- 2024-12-13 12:38:01.748819 -- NUM TARGETS: 342
# Avg. 'c': 0.02855825904999056 +/- 0.027707368512744128
# Avg. 'x1': -0.15196468662279292 +/- 0.2068539984357163
objname, ra, dec, z, z_cmb, origin, mu, mu_err, x1, x1_err, t0, t0_err, c, c_err, hostMass, hostMass_err
2005kc, 338.530583, 5.568417, 0.0151, 0.013293647410229783, CSP_NORM, 34.21953099415366, 0.00645776137444778, -0.6315970690147982, 0.017040476813676708, 53698.175737409365, 0.013335321924387245, 0.39731614572837193, 0.001809827298793232, 10.860521014844817, 0.00028121941506437646
2005A, 37.680208, -2.938833, 0.0191, 0.018175475414380166, CSP_NORM, 34.661799057582414, 0.007410000283075098, 0.1682557320359146, 0.019844725625138837, 53378.87408260123, 0.051819588225043844, 1.0229235511718817, 0.002020652290587278, 3.2610126934232015, 3.5302173689058103
2009Y, 220.599375, -17.246778, 0.0094, 0.010706906771567897, CSP_NORM, 33.19498681232492, 0.003725496637012586, 0.3292747558444975, 0.009671624451548788, 54877.32011070158, 2.1313280740287155e-06, 0.21174651515966786, 0.0010344859344059007, 10.154204462082083, 0.0003139066959013028
2004gs, 129.596583, 17.627722, 0.0267, 0.02743521091657417, CSP_NORM, 35.70528722172406, 0.005685966006046852, -2.032308914174487, 0.010797725424057214, 53356.36578071601, 4.506946061155759e-05, 0.2356948882136261, 0.0016881238245048278, 10.524491610792518, 0.0008337715580172614
2008gp, 50.753042, 1.361889, 0.0334, 0.0316740244728526, CSP_NORM, 36.04072489900193, 0.005870955817913843, -0.0038670460674539164, 0.013909196876857877, 54779.725451022896, 0.012382852957671275, 0.07613356853628965, 0.001660317749945028, 10.825626853900289, 0.0008195866476426455
2007ca, 202.774208, -15.101833, 0.0141, 0.015735060207281045, CSP_NORM, 34.60855813642898, 0.004579953857390281, 0.7115701076058278, 0.012205846240449514, 54228.10598390407, 0.012866123441199306, 0.35740741862265313, 0.001271350311398513, 9.100726295715653, 0.002123969178416933
2009al, 162.841958, 8.578528, 0.0221, 0.023294362161299355, CSP_NORM, 34.9788718840138, 0.008873500596593085, -0.4874559651050614, 0.022410175087505535, 54896.99799795559, 0.07213045713069732, 0.21158698581411525, 0.0024105467779783505, 10.676596531095123, 0.0005467162453691708
2005ki, 160.117583, 9.202333, 0.0192, 0.020898630617279666, CSP_NORM, 34.89720444163447, 0.004699902786680768, -1.5041658811472836, 0.008247488892276222, 53705.79588465526, 0.011874254283611663, -0.016907059947006545, 0.0013820237127165666, 10.709160295771582, 0.00038088954032225003
2006lu, 138.823458, -25.600083, 0.0534, 0.055620130925735006, CSP_NORM, 37.16415433055789, 0.011474459633523308, -0.2076804821813072, 0.026625436988664264, 54039.181600342075, 6.527065488626249e-05, 0.09154391614577453, 0.0033684396349680716, 10.312301203111709, 0.0032468771455692633
2006ev, 322.746917, 13.989222, 0.0287, 0.027057648155491495, CSP_NORM, 35.9607444229968, 0.013319151619684886, -1.3276540554294458, 0.028973079865472817, 53989.9997328721, 0.07670086455254932, 0.2139203714474274, 0.003514282996892983, 10.748696257484479, 0.0007780565778547196
2006gj, 49.399167, -1.691722, 0.0284, 0.027522378419553843, CSP_NORM, 35.77359458918164, 0.012609869485142328, -2.351373856548614, 0.02941176566874093, 54000.04477064896, 0.05332698499842081, 0.4168419576187793, 0.003651595153463454, 10.669635209313917, 0.0012479558890463075
2007jh, 54.006417, 1.103389, 0.0408, 0.03836771333034954, CSP_NORM, 36.692169293473285, 0.02124461678005103, -1.6066417405830857, 0.05347211321121148, 54364.45252253186, 0.11269370124136913, 0.40331948503106024, 0.006169886665111615, 10.963091620417575, 0.0010519692878266553
2006hb, 75.505333, -21.131972, 0.0153, 0.01495017323137652, CSP_NORM, 34.291291214586344, 0.007853014333439772, -2.1692856647068783, 0.010026739893848724, 54000.245827545354, 0.02964663878083229, 0.045162606230780916, 0.0021635015614851027, 10.210072482410556, 0.0005498683746901016
2007hj, 345.449542, 15.5865, 0.0141, 0.012536754223780481, CSP_NORM, 34.02641184917534, 0.004564190667595117, -2.236937127691263, 0.006496554254997289, 54346.69805910048, 0.024182778390240856, 0.2720061045337664, 0.0012671956730802684, 10.38832624078401, 0.0005651865386335664
2007ol, 24.34875, -0.312, 0.0559, 0.054025413754148294, CSP_NORM, 37.02593896968296, 0.04523635063401864, -2.604144533011192, 0.21807690924609746, 54413.55968691815, 0.10652713303716155, 0.045488574954806696, 0.009948098012878208, 10.289335360151146, 0.0023866700569406345
2005mc, 126.7765, 21.646, 0.0252, 0.025657773714809186, CSP_NORM, 35.343980138798706, 0.013320410168053454, -2.1831003016274186, 0.015927466708968385, 53730.68518790677, 0.07945568033392192, 0.2777652484582651, 0.00331899566046242, 13.004227849812548, 0.0005277710097430307
2008go, 332.686792, -20.788111, 0.0623, 0.06071935029069365, CSP_NORM, 37.27831750180099, 0.019360904889912534, -0.2865160143826073, 0.10725961326286754, 54766.19580998218, 0.08536905344953993, 0.08991676557928377, 0.0032584862430932887, 10.908950503065558, 0.0017321529641886853
2008cf, 211.885667, -26.551833, 0.046, 0.04668465270812782, CSP_NORM, 36.877802768823344, 0.007964011709222795, 1.1046425142103822, 0.02562478496015208, 54595.537688011595, 0.07157676591305062, -0.011940929058657858, 0.002120122823864176, 8.754352914249603, 0.009911439712941946
2006kf, 55.460333, 8.156944, 0.0213, 0.02090716743106265, CSP_NORM, 35.190429047116716, 0.006384693510751022, -2.178588564444184, 0.013911577340777859, 54041.56963337621, 0.020113201269850833, 0.24449066990957027, 0.0018475066543965238, 10.847440404300489, 0.0005624670042569112
2008hu, 122.3115, -18.653639, 0.0497, 0.050623552738642955, CSP_NORM, 37.055289127596566, 0.011791399589664067, -1.7416648993482342, 0.028832569192155377, 54806.52587914869, 0.06575811278526089, 0.09448831641309158, 0.0032928777163547117, 10.107881298730984, 0.007118355222168162
2006ob, 27.950458, 0.263417, 0.0592, 0.057498350544748326, CSP_NORM, 37.236600202317625, 0.016912655466655966, -2.1061318283493313, 0.047427731252843275, 54063.73820131073, 0.08433942014744389, 0.06636868331850755, 0.004799550999741815, 11.3688972447224, 0.0010849287166291976
2005na, 105.402583, 14.13325, 0.0263, 0.026774414686061662, CSP_NORM, 35.45063268080756, 0.005566948757439965, -0.31625435511900113, 0.016539203495372357, 53741.41572909347, 0.03427427385759074, 0.0645148211549741, 0.0015156859827520851, 10.902842205220578, 0.000773697241361911
2005bg, 184.321583, 16.371556, 0.0231, 0.02433405884990326, CSP_NORM, 35.375852228521595, 0.007508253711838855, 0.7976471455114731, 0.02974209928082061, 53469.75534339267, 0.05869353608795791, 0.04979246975343311, 0.001774886459576292, 9.797047393282007, 0.0010007345933335352
