objname, objname, ra, dec, z, MJDs, MJDe, mu, st, Tmax, EBVhost, mu_err, st_err, Tmax_err, EBVhost_err, origin, host_mass, host_mass_err
2020vae, 2020vae, 270.744675, 52.115075, 0.04846, 2458228.9723264, 2460484.8290046, 36.46442277692554, 0.5045060101850605, 2459134.4968600795, 0.19654027215011766, 0.04892966153976314, 0.021052336729065414, 0.18940703300275247, 0.034092477055043396, ZTF, 10.61938683424752, 0.015165662741275331
2022zvu, 2022zvu, 148.46274583333332, -7.792683333333334, 0.019323, 2458218.6929167, 2460430.7476042, 34.91310000372465, 0.5938908116870952, 2459896.8277876247, 0.2587918459291929, 0.022419700137845288, 0.012668102416087958, 0.13799395334363052, 0.026319116694547826, ZTF, 10.542607440652626, 0.0012099832400037588
2019bwi, 2019bwi, 141.354254166667, 65.4675027777778, 0.02968, 2458269.740081, 2460433.7389583, 36.26224966259591, 1.1994307076599064, 2458568.9124424104, 0.5205547648856051, 0.047398783136367965, 0.024610326389058294, 0.3580105800937963, 0.02685982678930924, ZTF, 8.839761027821579, 0.012505917069982822
2020nta, 2020nta, 241.8473002365691, 13.892682894778675, 0.033953, 2458237.7997222, 2460147.7697801, 36.6420502588084, 0.38964721031095867, 2459035.1897446318, 0.16563203846410735, 0.21586294782823162, 0.05845588466982919, 0.7798004525375605, 0.17533333136398388, ATLAS, 10.968085313226508, 0.0006007041323623824
2023bhm, 2023bhm, 70.72920636772062, 0.6183744592240744, 0.015419, 59976.83921515, 60044.99866465, 34.44602242927735, 0.9019607901029157, 59991.81990788628, -0.12483438733462164, 0.05194116708330244, 0.02727085050770887, 0.11908894536592686, 0.02331776004578743, ATLAS, 10.944880130229151, 0.0007042302707270253
2021diu, 2021diu, 240.66641094775812, 15.76214896375523, 0.037372, 59267.54879655, 59347.47490155, 37.07063514525378, 0.5182418887069771, 59268.79761577409, 0.07739109357594937, 0.8756518080187151, 0.3730863713673936, 2.655620116367222, 0.32781957010351287, ATLAS, 10.646105484522206, 0.0012154080245486674
2018eyi, 2018eyi, 246.30204266284116, 40.84025346715421, 0.03038, 2458229.8512153, 2459307.9288889, 35.97403386218411, 0.26942826089423627, 2458339.2675354173, -0.07160577971898065, 0.0795970814784468, 0.016822281778817845, 0.2681103415525154, 0.04910406816133523, ATLAS, 10.143590364193393, 0.0012393031211338115
2023cvq, 2023cvq, 129.54407756604917, 25.101520167165358, 0.0286, 2458850.923125, 2460059.6670718, 36.12634176344932, 0.3820214236640514, 2460006.064349042, 0.0671198453622769, 0.14671017126281985, 0.03410452854757527, 0.4730043568912064, 0.10862487295924093, ATLAS, 10.547609098927339, 0.0009310322625326865
2019moq, 2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 2458283.9484144, 2460446.9769329, 37.28289020363694, 0.7438180296764206, 2458695.8635055325, 0.15761696755382207, 0.02336110986826717, 0.013369094622777833, 0.10140664211105103, 0.015070746553517438, ZTF, 10.979192644467481, 0.0047669442378859665
2021pom, 2021pom, 184.5078288184616, -20.85760188127875, 0.032269, 2458852.0219676, 2459699.7309722, 37.01831487459927, 0.7482093224440616, 2459383.453693275, 0.20364707473989827, 0.3775893991274412, 0.16001563809614558, 1.1163833371580236, 0.12722236742683166, ATLAS, 10.663880527855868, 0.000928960190165358
