objname, objname, ra, dec, z, MJDs, MJDe, mu, st, Tmax, EBVhost, mu_err, st_err, Tmax_err, EBVhost_err, origin, host_mass, host_mass_err
2020vae, 2020vae, 270.744675, 52.115075, 0.04846, 2458228.9723264, 2460484.8290046, 36.500929213414615, 0.5045258707372118, 2459134.50272103, 0.16676066549737575, 0.04430407371707946, 0.018700435932667032, 0.16947278275466146, 0.03355543822320494, ZTF, 10.61938683424752, 0.015165662741275331
2019moq, 2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 2458283.9484144, 2460446.9769329, 37.46208100474966, 0.7288714764836007, 2458695.7789662783, 0.04240851429018036, 0.024837198412839594, 0.013615992114523199, 0.10394446204127922, 0.017373936809354555, ZTF, 10.979192644467481, 0.0047669442378859665
2022ubt, 2022ubt, 289.1201163647384, 41.889354239490345, 0.052, 2458297.8819097, 2460201.7033333, 37.24000803265876, 0.6408640710928727, 2459844.4558184524, -0.0842811040647563, 0.056707085834400345, 0.026202683645492747, 0.18058651097934092, 0.029910470551439527, ATLAS, 10.387851541544412, 0.0032791740061456085
2018lph, 2018lph, 250.902241666667, 33.5336, 0.08, 2458206.9226736, 2460505.8217477, 37.988416976395484, 0.7162538625083749, 2458312.1912878924, 0.03560233542670432, 0.03177809502515162, 0.016656941976990098, 0.09773393252703103, 0.017073863126310953, ZTF, 10.34149581173226, 0.004396506937327917
2022aaok, 2022aaok, 138.75348383900604, 22.589561981475406, 0.027214, 2458503.8706019, 2460208.008287, 35.87128226271714, 0.43754087752411475, 2459907.4231212903, 0.08460140764696865, 0.04956697911848129, 0.015924561628956495, 0.209496951199815, 0.03307985992305201, ATLAS, 10.475026394544468, 0.000842787923706665
2021jvp, 2021jvp, 215.1956051172468, -19.78613155067654, 0.044, 2458259.7712037, 2460296.0560185, 36.643950631145756, 0.42722294017514273, 2459327.1612070906, 0.015516824372359152, 0.10565409504898401, 0.024056002737245983, 0.28380347752023044, 0.06463818717903778, ATLAS, 10.95457116086164, 0.0010071414066509068
2021cad, 2021cad, 163.93951567951174, 24.02772392247501, 0.041546, 2458214.8633796, 2460442.7180787, 36.44068526926895, 0.4130787896957379, 2459250.854091276, 0.12017074330321197, 0.04059079252802415, 0.015380654748644083, 0.21383671063529472, 0.033305491526744356, ATLAS, 10.358143010854041, 0.0015162175022677541
2022rey, 2022rey, 268.3069708333333, 42.788525, 0.04, 2458206.996331, 2459889.6387153, 36.77185327486867, 0.43414685261575675, 2459810.518577996, 0.1596376286320279, 0.0558589381952998, 0.021816884885556775, 0.22110820472609655, 0.04697622231935351, ZTF, 10.665653521436408, 0.0016239326144556986
2018jag, 2018jag, 15.951294449789689, 10.592351746809557, 0.04, 2458358.9162384, 2460236.8182639, 36.749295349077606, 0.6318258449212173, 2458454.4260069886, 0.05000155304804053, 0.10057663200249752, 0.039571999564755406, 0.30489264053598586, 0.050228046909117835, ATLAS, 11.024363619703006, 0.0011197732616178959
2019cdc, 2019cdc, 212.20472173447806, 35.6142343137112, 0.02777, 2458226.7965741, 2460433.8622801, 35.86336080920219, 0.6116339519586692, 2458575.6308582365, -0.06841360114071139, 0.034791806895110446, 0.0141758036661478, 0.11682768463615291, 0.02091283202515168, ATLAS, 10.584872344449861, 0.0011367594478676015
