objname, ra, dec, z, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2005ke, 53.768125, -24.944111, 0.0049, 689.69, 819.51, CSP, 31.91440368814063, 0.02173055839373664, 0.4726479097893835, 0.008160366824150974, 699.4494449449528, 0.06072797465056217, 0.35128266777915657, 0.017074621020117257, 9.964494815008727, 0.0001733967672340931
2006bd, 174.618583, 20.526222, 0.0257, 822.75, 872.57, CSP, 35.63457895578927, 0.08511432775015902, 0.8936180949074742, 0.04596850910854466, 808.3075992930728, 1.9405843358548094, 0.5021185287216506, 0.07815397047820906, 12.327227584343689, 0.0010375416044816365
2006gt, 14.072083, -1.629444, 0.0448, 1001.67, 1076.62, CSP, 36.5893778035615, 0.015549998046727112, 0.5747817228626942, 0.01058024852496341, 1003.9967016281967, 0.07651510922448251, 0.0023156312059725713, 0.01557574249799472, 10.111136946318842, 0.0037506224022017622
2007ba, 229.177625, 7.396611, 0.0385, 1190.83, 1255.61, CSP, 35.68278380345112, 0.024611644621428855, 0.5466589235726645, 0.010560351848518192, 1198.1083128209234, 0.07221397134331849, 0.14170369970107866, 0.019816088263791467, 11.141102329068884, 0.0008626674562506656
2008bd, 154.597167, -13.103111, 0.0301, 1541.7, 1607.65, CSP, 35.77676517870461, 0.03934998137130109, 0.4431408387482574, 0.016931652619112576, 1531.3748684034754, 0.5878806759028807, -0.000741558007514493, 0.03071455364776022, 11.066906876654066, 0.0008724495479113708
2008bt, 162.570333, -12.108889, 0.0154, 1571.61, 1651.47, CSP, 34.2106744988317, 0.02086574772946793, 0.5006925954455965, 0.010549630842602941, 1572.679694963102, 0.09206489304383253, 0.2583100154223876, 0.018266151284107003, 10.724456328263154, 0.0005206097319448586
2009F, 74.848167, -11.130583, 0.013, 1837.75, 1884.63, CSP, 34.170390990961685, 0.037856522719031574, 0.43230455456751526, 0.013220704765060636, 1842.7275642894024, 0.11252051930097638, 0.2410254346071818, 0.025088190912959704, 10.507359299115938, 0.000511704806211565
2016iuh, 184.881, 49.81785, 0.013696, 2458202.8274884, 2460488.7224074, ZTF, 40.94857188529386, 0.18661929831096039, 1.64014402841963, 0.10253663363628439, 2458913.6880303537, 2.8972691122337313, 1.202604196336338, 0.21680800039086912, 10.519309322856891, 0.0002780694245717639
2018ame, 227.3563931337691, 25.471542558881964, 0.022, 58177.64533865, 58721.30897305, ATLAS-ZTF, 36.684564770098696, 0.22143349140915203, 1.3335354039716243, 0.07899669680958987, 58200.97119022565, 2.8382589896963575, 0.3867385189873062, 0.20814743136165223, 8.986036224321298, 0.005711110761032731
2018baz, 246.055791666667, 25.2720555555556, 0.1, 2458205.9422106, 2459871.6384954, ZTF, 49.21926249649258, 0.693015518457106, 0.16027404246002733, 0.002611608439533054, 2458542.3738206793, 0.21286236769872172, -9.874674823631949, 0.5590958458086216, 8.666571789473174, 0.1010321439244665
