objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err, cov00, cov01, cov02, cov03, cov10, cov11, cov12, cov13, cov20, cov21, cov22, cov23, cov30, cov31, cov32, cov33
2005bl, 181.051083, 20.406889, 0.0241, 0.02475539637032309, 53476.61, 53512.57, CSP, 53483.11222365715, 0.0176518696025596, 0.0005641343326630737, 3.2883004521728873e-06, -4.899815930005387, 0.06432932701254845, 0.5696528027948085, 0.0049809304376775025, 16.30930648221415, 0.01890091467511694, 8.920765377315602, 0.01764662955965954, 0.0003115885117291009, -1.2338202012964078e-08, 0.00027235565140609465, 3.221373719864432e-05, -1.2338202012964078e-08, 1.0812919863760414e-11, -1.6181734052113587e-07, -1.3854505897886587e-08, 0.00027235565140609465, -1.6181734052113587e-07, 0.004144030734869932, 0.00019197260507740327, 3.221373719864432e-05, -1.3854505897886587e-08, 0.00019197260507740327, 2.48096680249822e-05
2005ke, 53.768125, -24.944111, 0.0049, 0.003927211531528298, 53689.69, 53819.51, CSP, 53699.89593395496, 0.006809155180235393, 0.01707561095101107, 3.1548619610308926e-05, -2.1854051619656745, 0.007134535782806095, 0.4699111686316593, 0.0013178566103271216, 13.31935709938896, 0.004542966526227703, 9.964494815008727, 0.0001733967672340931, 4.636459437487735e-05, -6.672555153102188e-08, 1.3894577036235112e-05, 2.4051514635897523e-06, -6.672555153102188e-08, 9.953153993159688e-10, -1.3251027999983538e-07, -3.4543355442306514e-08, 1.3894577036235112e-05, -1.3251027999983538e-07, 5.09016435407807e-05, 2.589473282685002e-06, 2.4051514635897523e-06, -3.4543355442306514e-08, 2.589473282685002e-06, 1.7367460453828905e-06
2006bd, 174.618583, 20.526222, 0.0257, 0.025660398620783453, 53822.75, 53872.57, CSP, 53810.392280268905, 0.1417983373394236, 0.0012144236013851002, 1.8530835642414478e-05, -1.716150603001807, 0.04464864846680883, 0.3951992931126959, 0.008941717129528527, 16.483809567236438, 0.03211174589953519, 12.327227584343689, 0.0010375416044816365, 0.020106811384149135, -1.650097899891999e-06, -0.003502472855606626, 0.0005458364649171271, -1.650097899891999e-06, 3.433918696061788e-10, -8.850631168751916e-08, -1.541925369877989e-07, -0.003502472855606626, -8.850631168751916e-08, 0.001993561875993082, 7.449373351976567e-05, 0.0005458364649171271, -1.541925369877989e-07, 7.449373351976567e-05, 7.995430522450389e-05
2006gt, 14.072083, -1.629444, 0.0448, 0.042419119009330715, 54001.67, 54076.62, CSP, 54002.98352461894, 0.06217687519529136, 0.0007899719801907305, 3.155488409693971e-06, -2.269970801290972, 0.03289116292728078, 0.2165294602276597, 0.0036184703718589546, 17.398407457395287, 0.012665196390406306, 10.111136946318842, 0.0037506224022017622, 0.003865964792962606, -7.058584845089079e-08, -0.0005888665394889285, -1.0194525504360261e-05, -7.058584845089079e-08, 9.957107103712987e-12, -1.3593861683708744e-08, -7.949407214855048e-09, -0.0005888665394889285, -1.3593861683708744e-08, 0.0010818482553056961, 8.825297808081224e-06, -1.0194525504360261e-05, -7.949407214855048e-09, 8.825297808081224e-06, 1.309332783202108e-05
2007N, 192.255208, -9.452833, 0.0129, 0.015195347623445987, 54123.82, 54213.67, CSP, 54113.0241032369, 0.051206244781496935, 0.0024999103680209155, 1.921465906675755e-05, -2.9930357885059595, 0.016325234088099938, 0.5465739724968736, 0.004874157915976528, 15.05346399200956, 0.016936799634550224, 9.587336481996891, 0.0008157243912581323, 0.002622079980435463, -7.33136443811755e-07, -0.00033477260940031515, 0.00016080294950639163, -7.33136443811755e-07, 3.692031230517281e-10, -2.355642233521569e-08, -8.825782258390481e-08, -0.00033477260940031515, -2.355642233521569e-08, 0.00026651474397184255, 2.114935671000159e-06, 0.00016080294950639163, -8.825782258390481e-08, 2.114935671000159e-06, 2.3757415389876646e-05
2007al, 149.827, -19.473833, 0.0122, 0.013181781463286774, 54170.77, 54246.58, CSP, 54160.12616537994, 0.06796969760034699, 0.00425340292582395, 3.843738577161619e-05, -2.784987780671373, 0.014838371259122685, 0.3604629026498609, 0.005098007191982908, 15.062876105966778, 0.01822693484122173, 9.351354001759011, 0.0018110245506318002, 0.0046198814601202814, -2.0455713812892548e-06, -0.0002019927490287143, 0.00021700079684910332, -2.0455713812892548e-06, 1.4774326249560427e-09, -1.0384292324999989e-07, -1.8015937831345972e-07, -0.0002019927490287143, -1.0384292324999989e-07, 0.00022017819873788232, 7.393431090939808e-06, 0.00021700079684910332, -1.8015937831345972e-07, 7.393431090939808e-06, 2.5989677329509454e-05
2007ba, 229.177625, 7.396611, 0.0385, 0.038133865739342986, 54190.83, 54255.61, CSP, 54174.73505593769, 0.08562351142973057, 0.0018841666046932166, 1.3877957898817268e-05, 4.999999999980648, 0.0014571082247352152, 0.23007460099087648, 0.006007026767426056, 17.5265794340116, 0.019607304297952592, 11.141102329068884, 0.0008626674562506656, 0.007331390629103048, -9.961938558814303e-07, 3.2427989097629616e-12, 0.0002884739617420616, -9.961938558814303e-07, 1.925977154413446e-10, 7.756757144094616e-15, -7.03332992617189e-08, 3.2427989097629616e-12, 7.756757144094616e-15, 1.1279668027784596e-13, -8.54753219679349e-13, 0.0002884739617420616, -7.03332992617189e-08, -8.54753219679349e-13, 3.6084370584573135e-05
2008bd, 154.597167, -13.103111, 0.0301, 0.031300703090299295, 54541.7, 54607.65, CSP, 54522.0732025374, 0.1570283042747178, 0.001790247104186559, 3.3945008037353526e-05, -2.395453621546084, 0.058797452244801596, 0.08103204448829576, 0.013317885226446533, 16.894737653562906, 0.04560507704118185, 11.066906876654066, 0.0008724495479113708, 0.024657958093679114, 8.924047515540564e-07, -0.006607547773175897, -0.0010018948607015902, 8.924047515540564e-07, 1.1522635706559955e-09, -1.338433060396543e-06, -4.1179038941544424e-07, -0.006607547773175897, -1.338433060396543e-06, 0.003457347241391417, 0.0006013062226240357, -0.0010018948607015902, -4.1179038941544424e-07, 0.0006013062226240357, 0.0001773660669048028
2008bi, 128.972458, 0.706417, 0.0134, 0.014116608699185886, 54551.52, 54628.47, CSP, 54536.251197979014, 0.0668439364162623, 0.005224921046544412, 5.857583154503467e-05, -2.7917306105330155, 0.018631324883082723, 0.19199344415520198, 0.006191412115140773, 15.340525422416235, 0.022286807240980692, 10.75710146506393, 0.0018382741615164645, 0.004468113506794834, -2.332034820764242e-06, -2.3342570965373984e-05, 0.00014513512577714644, -2.332034820764242e-06, 3.431128041192278e-09, -6.431800656784972e-07, -3.1698422099285325e-07, -2.3342570965373984e-05, -6.431800656784972e-07, 0.0003471286012834827, 5.154655057211718e-05, 0.00014513512577714644, -3.1698422099285325e-07, 5.154655057211718e-05, 3.8333583979511945e-05
2008bt, 162.570333, -12.108889, 0.0154, 0.016446211765812194, 54571.61, 54651.47, CSP, 54568.77543763968, 0.0010825368044606876, 0.003312846286230737, 9.588794435754784e-06, -2.22891911100925, 0.014269430700507346, 0.4385971329948794, 0.0024442578222385962, 15.186452706223873, 0.008227838844953704, 10.724456328263154, 0.0005206097319448586, 1.171885929210138e-06, -2.4786499966077913e-10, -1.4371317912219975e-07, 2.1763323955116867e-08, -2.4786499966077913e-10, 9.194497873116191e-11, -5.789776209953881e-08, -1.9925115651023655e-08, -1.4371317912219975e-07, -5.789776209953881e-08, 0.00020361734241495133, 7.021879290702409e-06, 2.1763323955116867e-08, -1.9925115651023655e-08, 7.021879290702409e-06, 5.974396301574565e-06
