IDs                     ra         dec       redshift      distance                               t0                    x0                 x1                     c                   t0err                    x0err                 x1err                  cerr
1223834201012121300.txt 339.642713333333 1.35651666666667 0.066 37.16994854213622 59029.33641041117 0.00033171388643145984 -0.8182167345361614 0.4543845107916114 0.34424857189515023 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1003550001192454100.txt 8.95850357142857 19.41552285714286 0.0581 36.30434839502544 60234.062616610965 0.00015838603161747597 -3.163539538219902 0.8866012501698375 89.06086635809697 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1083059021134430000.txt 127.745854444444 13.7416355555556 0.1 38.271300238842315 59614.08521945063 0.0004094676191718956 -0.03295183872281757 0.060818579181029356 0.3269836322251649 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1164640231104839600.txt 251.667626 10.8111253333333 0.055 36.39536150728786 58250.59980083097 0.0009014485613210778 -2.5436934885368783 0.2761835578867735 0.31086830027925316 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1125906030252237200.txt 194.7749725 -25.37643 0.04 36.55913100636069 59357.5986090012 0.0019204854813800764 1.3662836543566172 0.1350390756417472 0.11614769288280513 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1230125000024805900.txt 345.354413333333 -2.80162666666667 0.086 37.66793399539429 58742.91992135446 0.0007840997258789219 -0.6608851429960069 -0.0004471517681543665 0.347175170070841 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1033422200013524100.txt 53.5924742222222 -1.58996955555556 0.05 37.128086273171164 58521.511194481405 0.0002841391936399186 6.858098103815068 0.8687805168587661 0.1486261455793283 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1121514911685800500.txt 183.81184333333331 68.96681333333333 0.065 37.338906164840566 60078.717581872035 0.0011973629580163722 -0.05414515076767066 -0.015177752363619 0.28802382087451406 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1180818131741712000.txt 272.076248571429 74.2868828571429 0.136 38.90926784287916 59395.76981980112 0.0004960607681224138 0.528407921260456 -0.18681546369199406 0.6073115032704663 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1090351950031103600.txt 135.9664022222222 -3.1843233333333334 0.0567 38.829599512804286 60326.94238079855 1.2120144815713123e-05 25.35589496997754 2.2601471808338496 0.14235101922531612 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1003618681103325000.txt 9.07724625 10.557425 0.03 38.182680627531575 59495.09250560064 8.841682194820842e-05 2.3131043929822543 0.7321989471070728 1.2834112567361444e-05 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1094500121250052800.txt 146.250545 25.0146875 0.092 37.698133868681 58780.19171202114 0.0005019501104005865 1.7911331674217934 0.2567656095281117 0.5025908866482496 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1174905741613751000.txt 267.274938 61.630824 0.035 36.2202815679273 59103.78575793462 0.0027866416097956925 -0.27560029952394494 0.039816643870709933 0.07250046954140998 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1140844481290301500.txt 212.185346666667 29.05053 0.075 37.3334580281995 58563.195575292426 0.0011806125550254676 0.9577462005820654 0.03721224081572851 0.0019582043423724826 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1025425830223008800.txt 43.607612499999995 -22.50267 0.0287 35.901387554150666 60171.27661308189 0.005036397227280479 -1.9854860292440843 -0.14182436730825582 0.07638782602225547 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1090842721130612700.txt 137.1778125 13.1036325 0.097049 nan 59588.11265427781 -3.407187518977097e-15 2.896046464568681 13.772817493233456 3.9989045035326853e-05 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1203126420015846100.txt 307.86038833333333 -1.9787099999999997 0.0198 34.853005209096935 59890.264950873694 0.006148209824088776 -2.6579500999999133 0.09613228243624197 0.04676270447089337 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1113915021541343400.txt 174.81275 54.229328 0.09679 37.85545490610746 59020.984028748644 0.00039746491289719684 2.463992568302141 0.31814743952628993 0.6073759865103057 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1055459671542640000.txt 88.7493166666666 54.4439216666667 0.07 36.97450627875483 59157.02460055131 0.0002959318015509834 -0.7754070808478375 0.5593411725492448 0.3171589308840339 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
1182210451331422800.txt 275.543401428571 33.23939 0.073 nan 59678.577056987284 -3.870527065827801e-10 -16.596343703274176 8.962648122721177 100.62570429557672 3.566732094769821e-05 0.09592907580222643 0.015709467542146357
