objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err
2022bsi, 228.61520416666664, 50.31702777777778, 0.0369, 0.03779117896174666, 59324.2861227002, 59847.138553199824, ZTF, 59600.50932005604, 0.263925188970461, 0.0004770638793386128, 2.7469531471687983e-05, 4.999999998344274, 0.0538680732303316, 0.3198039240928181, 0.041325883838436, 38.110542967433574, 1.0857858962069369, 8.100583359671944, 0.1587618649984901
2022dsu, 211.37838920703345, 15.720950635018797, 0.07, 0.07031188579009018, 59610.62636385, 59688.50373495, ATLAS-ZTF, 59646.81789972447, 1.6787835193099454e-05, 0.00037300133809637325, 1.540557392866505e-05, -2.524965845226608, 0.18286473632570743, 0.1432308711733524, 0.03294876580702899, 37.752576255110085, 1.0861083303059784, 10.258346269556945, 0.0036019101922798984
2022oux, 334.1940942600142, 86.93250326590747, 0.019, 0.019401478814522255, 59773.48685265, 59811.56165795, ATLAS-ZTF, 59780.40735445114, 0.13271109586275998, 0.00011461239707332705, 7.5543459146202595e-06, -3.514054381198845, 0.18243203178553213, 1.3474897334936262, 0.046303025463651504, 35.29375128455705, 1.086118032211428, 10.768114423095657, 0.0017432402130689096
2022rey, 268.3069708333333, 42.788525, 0.04, 0.040620839200687264, 59540.13131939992, 60099.42224540003, ZTF, 59810.84616327616, 0.16858250380755635, 0.00023846622500297716, 6.782888472086211e-06, -3.274464299296076, 0.19118109269514494, 0.5607637417343326, 0.022369604746119775, 36.879363819998126, 1.0861355458866604, 10.665653521436408, 0.0016239326144556986
2022ubt, 289.1201163647384, 41.889354239490345, 0.052, 0.05128324152813679, 59833.34053935, 59843.35851895, ATLAS-ZTF, 59843.12447478886, 0.18570072593502118, 0.0005090589671678459, 6.792689135310712e-06, -2.814708133483665, 0.17384178089869273, 0.21218269944585746, 0.015584088004549025, 37.16512498116087, 1.0860645625771668, 10.387851541544412, 0.0032791740061456085
2022xhh, 64.17339308094819, -12.18356267210426, 0.0315, 0.03259769899941056, 59838.59263395, 60014.10670815, ATLAS-ZTF, 59868.67985338536, 0.09407193499646382, 0.0005654484242689064, 1.5144046700346123e-05, -3.5116218439567963, 0.10412988740695073, 0.5634563239042243, 0.020720850329784782, 35.89763951723574, 1.0858577170292485, 10.79645631191364, 0.0017011828138871884
2022zvu, 148.46274583333332, -7.792683333333334, 0.019323, 0.01991059970286546, 59625.31541670021, 60081.21770829987, ZTF, 59897.12828345441, 0.08381796141839004, 0.0014186594782861512, 2.1386485162065028e-05, -2.6460015722388333, 0.08311261510864121, 0.5702336071122387, 0.01089377527151495, 35.01117020027128, 1.0858119482113169, 10.542607440652626, 0.0012099832400037588
2023bhm, 70.72920636772062, 0.6183744592240744, 0.015419, 0.015766381820524034, 59976.83921515, 60044.99866465, ATLAS-ZTF, 60014.50222748377, 0.00010526685218792409, 0.0007679299512403123, 2.5855603436067305e-05, 4.9999999340765235, 0.10404424945777357, 1.5682714813858214, 0.025172844196688415, 33.87324695908531, 1.0858597272189696, 10.944880130229151, 0.0007042302707270253
2023fwb, 320.9141590918043, 39.58090292249856, 0.027, 0.028223448669459916, 60050.60428095, 60170.48626405, ATLAS-ZTF, 60058.412780051316, 0.15395109301971388, 0.0006753692126236948, 2.712057384803491e-05, -1.9475229222907242, 0.18039996284751325, 0.39539847282969937, 0.03020320038369192, 36.44488839634364, 1.0860968127749349, 8.083420755485886, 0.029802813525155545
2023omo, 214.2615808939578, 10.821996814290793, 0.025, 0.023754638088887337, 60157.79229395, 60170.98151945, ATLAS-ZTF, 60165.73184712426, 0.0007726817857474089, 8.075729892335168e-21, 1.6794614547173434e-24, -2.8003396430178706, 0.0017436889991708782, 24.41742879786961, 0.00010645605475362561, 7.034655755128249, 1.0857362376571038, 0.0, 0.0
2023sps, 356.06325290770553, -23.52918120588744, 0.049, 0.047983348283571425, 60184.21710425, 60313.06299895, ATLAS-ZTF, 60207.75167788123, 0.4067115250400093, 0.00026139870243137406, 1.3396141104390732e-05, -3.2166016093488725, 0.5612463638443472, 0.40702408761875275, 0.058949768733386344, 37.24666960407521, 1.0891640052764269, 10.404162102271735, 0.0019997084090541987
2023vjh, 60.663261124483185, 25.233542294649613, 0.019, 0.02005341330967414, 60235.49047755, 60287.42146725, ATLAS-ZTF, 60247.05659365531, 0.06525995084302849, 0.0003843411350241853, 1.060612357054086e-05, -2.8435717480246687, 0.08151254047644851, 0.9824622809492787, 0.019857084212191484, 35.17040375444369, 1.0858120799034703, 10.650404500305129, 0.002056533560023752
2024fid, 186.078606372614, 10.446274608993297, 0.06, 0.059598625519399206, 60396.48231675, 60444.91561425, ATLAS-ZTF, 60407.19111607535, 4.665800588554703e-05, 0.00010398854861564982, 3.7280989132685536e-06, 1.886664543704818, 0.9478609985988096, 1.0716428324070384, 0.03236408044633302, 37.047700242781715, 1.0953899847646738, 10.486180726114952, 0.0015869039746378127
