objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2005ke, 53.768125, -24.944111, 0.0049, 0.005345463693354313, 689.69, 819.51, CSP, 31.65793964922458, 0.032244597581719894, 0.47208836341742294, 0.009118976351706306, 699.4440064955696, 0.06607209533347098, 0.3216468824828559, 0.017755340470909733, 9.964494815008727, 0.0001733967672340931
2006bd, 174.618583, 20.526222, 0.0257, 0.025363353872495997, 822.75, 872.57, CSP, 35.239307424059575, 0.12956269129343992, 0.8881247890177237, 0.043817258583887145, 808.6629513259495, 1.9077898694096318, 0.47519220956050584, 0.07179726970501629, 12.327227584343689, 0.0010375416044816365
2006gt, 14.072083, -1.629444, 0.0448, 0.04598017326155457, 1001.67, 1076.62, CSP, 36.587237596530855, 0.022116321768083997, 0.5751227069836203, 0.011106444091025191, 1003.9987865305386, 0.0764707112744481, 0.002655085980282388, 0.015361712905235919, 10.111136946318842, 0.0037506224022017622
2006mr, 50.679333, -37.208222, 0.0059, 0.005976037072932927, 1045.86, 1147.57, CSP, 32.00518981225924, 0.049620158038677684, 0.23796045426253545, 0.00496394527685322, 1051.4230620334943, 0.07695088486711257, 0.019241886833586366, 0.020637118392190467, 0.0, 0.0
2007ba, 229.177625, 7.396611, 0.0385, 0.03894732274417656, 1190.83, 1255.61, CSP, 35.56143946586292, 0.03476224151250005, 0.5490922364231619, 0.010784568061529174, 1198.1050496469477, 0.07207228613473579, 0.1390455290007129, 0.01904516681439877, 11.141102329068884, 0.0008626674562506656
2008bd, 154.597167, -13.103111, 0.0301, 0.03053139478125999, 1541.7, 1607.65, CSP, 35.784538205621345, 0.05061268228304371, 0.441036860557924, 0.01675044753572422, 1531.3760459249913, 0.5872751048199432, -0.006588189347681226, 0.028027565836848994, 11.066906876654066, 0.0008724495479113708
2008bt, 162.570333, -12.108889, 0.0154, 0.015473180390283447, 1571.61, 1651.47, CSP, 34.012847912694426, 0.031053605281425745, 0.502345203524213, 0.01215752236410363, 1572.652161046072, 0.10251667217841166, 0.24191145812162737, 0.019567727403872498, 10.724456328263154, 0.0005206097319448586
2018ame, 227.3563931337691, 25.471542558881964, 0.022, 0.021906993070566205, 58177.64533865, 58721.30897305, ATLAS-ZTF, 35.341311542798614, 0.23878826124250901, 1.4289839332969134, 0.08919850935193403, 58196.06391636508, 3.8587970068780857, 1.0161881507836021, 0.14513294748037242, 8.986036224321298, 0.005711110761032731
2018baz, 246.055791666667, 25.2720555555556, 0.1, 0.10108218579281303, 58205.48932870012, 58278.18069439987, ZTF, 35.39893412256469, 0.4019018773408191, 0.8430033437135253, 0.06446258008018349, 58215.38149450954, 0.7245554129534723, 1.1116200368751374, 0.17535126793501432, 8.666571789473174, 0.1010321439244665
2018ciw, 224.878291666667, 28.1830166666667, 0.056, 0.05698225640121524, 58214.36912039993, 58558.28313660016, ZTF, 37.74084140618761, 0.6790524882196702, 0.7517835786252189, 0.06364783698718214, 58263.546488642816, 2.4693444331615164, -0.3791721111096238, 0.30544075120635017, 12.38697996711908, 0.004384734224813007
2018eyi, 246.30204266284116, 40.84025346715421, 0.03038, 0.030156161689506522, 58338.32212535, 59038.33826955, ATLAS-ZTF, 35.77504283158594, 0.08496650044885398, 0.34935873723258326, 0.015855567237191052, 58339.64781272313, 0.22119530277846325, 0.16935853136462875, 0.04265629155901146, 10.143590364193393, 0.0012393031211338115
2018hkw, 39.59514195668058, -11.738924787800649, 0.027, 0.02604371789648896, 58056.40554975, 58904.25789245, ATLAS-ZTF, 35.350621584532405, 0.27803016630417704, 0.4217649755852995, 0.03954725163412447, 58409.48884412677, 0.35858486766578856, 0.05985521963113925, 0.08933144115036923, 10.363890745262498, 0.0009738245140280028
2018jag, 15.951294449789689, 10.592351746809557, 0.04, 0.04094945978942355, 58448.37828555, 58492.23770405, ATLAS-ZTF, 36.78667428111676, 0.10714697199193675, 0.6262332619971704, 0.035188227126878274, 58454.28677322749, 0.27623794773259003, 0.012366498652451353, 0.041359220611721544, 11.024363619703006, 0.0011197732616178959
2018lph, 250.902241666667, 33.5336, 0.08, 0.0793896692375815, 58204.446608799975, 58600.39467590023, ZTF, 38.11200269871535, 0.22744832692587763, 1.1328967089304172, 0.1184480778501894, 58321.94671668256, 0.8865949429125722, 0.4012278675183595, 0.08087289323116859, 10.34149581173226, 0.004396506937327917
2019be, 195.0605280377852, 27.95679209010926, 0.02, 0.019498349793965808, 58483.62853255, 58529.51429045, ATLAS-ZTF, 35.38460146937826, 0.051811182019495895, 0.3512145726318329, 0.011137091868158297, 58488.5576209422, 0.14473767832818932, 0.26505973005835853, 0.025324512092485263, 10.757611545644629, 0.00038517114109421353
2019bwi, 141.354254166667, 65.4675027777778, 0.02968, 0.028555312969008817, 58260.17395830015, 58855.49312500004, ZTF, 35.743167465996045, 0.07939226622779007, 1.1892551060467869, 0.02921121278802546, 58568.4325867702, 0.25538864579977966, 0.5305332948362338, 0.03128361260255721, 8.839761027821579, 0.012505917069982822
