2022abom 0.036 55.288120413239035 -2.8485375859548903
filter ATgr
59912.96312205	19.56	0.18
59912.96855085	19.52	0.17
59912.97893125	19.6	0.17
59928.36764895	17.78	0.05
59928.37821955	17.83	0.05
59928.38138835	17.96	0.06
59928.38863325	17.87	0.05
59931.12215665	18.04	0.06
59931.12530885	18.01	0.05
59931.13217285	18.06	0.05
59931.14300365	17.95	0.05
59935.11799395	18.31	0.07
59935.12115655	18.2	0.06
59935.12702595	18.19	0.06
59935.13723825	18.31	0.07
59939.09886375	18.6	0.09
59939.10202365	18.54	0.09
59939.11105865	18.5	0.08
59939.12370075	18.54	0.08
59956.86028765	19.11	0.15
59956.87054465	19.31	0.15
59956.87416285	19.8	0.28
59956.87723605	19.44	0.19
59956.88039195	19.16	0.16
59956.88355405	19.41	0.2
59956.89175865	19.86	0.29
59960.81109185	19.44	0.2
59960.82105195	19.62	0.23
59960.82421075	19.14	0.18
59960.82963835	19.76	0.27
59964.80278645	19.6	0.19
59964.80594695	19.2	0.13
59964.81181105	19.28	0.14
59968.79545025	19.37	0.18
59968.79860255	19.41	0.19
59968.80449055	19.68	0.22
59968.82922765	19.93	0.26
59986.03783355	19.82	0.28
filter ATri
59907.15666375	19.5	0.22
59911.19267095	19.81	0.25
59915.12023675	19.38	0.27
59915.12734335	19.2	0.25
59915.13049595	18.71	0.17
59916.33814655	18.19	0.22
59916.43296915	18.59	0.16
59916.43839265	18.89	0.19
59923.17448405	17.83	0.1
59923.18086825	17.85	0.1
59923.19078545	17.92	0.11
59927.17671125	17.87	0.06
59927.19977465	17.83	0.07
59927.21661765	17.74	0.06
59932.90878765	17.97	0.09
59940.84662085	18.26	0.07
59940.85498125	18.56	0.1
59940.85814595	18.13	0.07
59940.86899985	18.2	0.07
59943.10260805	18.43	0.14
59943.10936635	18.4	0.13
59943.11930115	18.33	0.11
59944.83898665	18.58	0.17
59944.84214015	18.42	0.14
59944.87767255	18.5	0.15
59944.90609965	18.54	0.18
59952.86387165	18.62	0.15
59952.86432235	18.56	0.14
59952.86993275	18.58	0.15
59952.87988325	18.45	0.14
59955.10350485	18.72	0.12
59955.10620855	18.89	0.15
59956.42818575	18.37	0.13
59956.44046745	18.5	0.16
59956.45817075	18.63	0.21
59959.07264095	18.84	0.13
59959.08367715	18.55	0.1
59959.10068755	18.86	0.13
59960.32049975	19.05	0.16
59963.08140855	19.39	0.21
59963.09018835	19.0	0.16
59963.10031805	18.88	0.14
59964.32552615	19.03	0.15
59964.32870055	19.03	0.14
59964.33549965	19.06	0.15
59964.34874655	18.91	0.13
59968.28270685	18.97	0.14
59968.28587085	19.32	0.2
59968.29130025	19.13	0.17
59968.30127675	19.47	0.21
59975.05687785	18.72	0.27
59983.08958965	19.05	0.31
59984.79649945	19.93	0.3
59996.79349255	19.99	0.3
