#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
04a59785o0850o,28.936133333333334,-25.24876666666667,>20.57,0.0,3.0,o,22.092,59785.40044675,5126.54,9879.78,182.0,181.5,-1.0,7.7,182.1,220.7,416.8,0.96,2.53,2.08,1.0,3.0,-0.3857,-1.3229474740505858,10.186695550189512,19.6,30.0
04a59785o0856o,28.936133333333334,-25.24876666666667,>19.45,0.0,3.0,o,20.995,59785.40468755,5109.73,9840.34,176.0,179.3,-9.1,7.5,180.7,494.5,603.2,0.86,2.6,2.13,1.0,3.0,-0.3747,-34.44713356737477,28.39049469838579,18.4,30.0
04a59785o0888o,28.936133333333334,-25.24876666666667,>20.35,0.0,3.0,o,22.058,59785.42324015,5186.52,9917.75,181.0,181.1,3.4,6.9,180.2,-373.5,459.5,1.06,2.85,2.46,1.0,3.0,-0.3667,6.0759981007012955,12.330702027893809,19.34,30.0
04a59785o0912o,28.936133333333334,-25.24876666666667,>19.69,0.0,3.0,o,22.053,59785.43734395,5539.22,831.89,219.0,180.8,5.0,14.2,181.8,197.9,897.7,0.86,2.74,2.26,1.0,3.0,-0.3567,7.855751763563362,22.310335008519946,18.76,30.0
04a59786o0761o,28.936133333333334,-25.24876666666667,>20.23,0.0,3.0,o,22.082,59786.36443605,5099.37,9882.96,162.0,181.5,-1.9,8.6,185.1,174.2,563.6,1.35,2.77,2.32,1.0,3.0,-0.3747,-3.066762189804065,13.881134122271032,19.24,30.0
04a59786o0766o,28.936133333333334,-25.24876666666667,>20.26,0.0,3.0,o,22.084,59786.36710815,5081.34,9843.47,178.0,181.1,-4.5,8.9,181.5,380.5,583.9,0.99,2.7,2.23,1.0,3.0,-0.3777,-6.811454913283597,13.471544161827557,19.28,30.0
04a59786o0773o,28.936133333333334,-25.24876666666667,>20.24,0.0,3.0,o,22.087,59786.37062005,5142.97,9921.72,166.0,182.0,-13.2,9.7,184.6,325.9,490.6,0.91,2.62,2.15,1.0,3.0,-0.3817,-18.709941418976165,13.748972103338545,19.32,30.0
04a59786o0787o,28.936133333333334,-25.24876666666667,>20.39,0.0,3.0,o,22.089,59786.37695935,5164.97,9804.65,188.0,181.1,-13.5,9.0,182.4,970.6,609.2,1.17,2.54,2.1,1.0,3.0,-0.3857,-18.15287951432372,12.101919676215813,19.38,30.0
04a59789o0616c,28.936133333333334,-25.24876666666667,>20.51,0.0,3.0,c,22.027,59789.31673645,5082.17,9883.99,180.0,181.3,1.0,5.5,180.5,-43.5,404.7,1.26,2.94,2.51,1.0,3.0,-0.3527,1.9106440982442112,10.50854254034316,19.46,30.0
04a59789o0621c,28.936133333333334,-25.24876666666667,>20.27804555017294,0.0,1.28,c,22.112,59789.32042465,5060.71,9844.97,184.0,181.8,7.7,6.0,181.7,253.7,382.5,1.15,2.77,2.31,1.0,3.0,-0.3687,11.971297383508507,9.328283675461174,19.64,30.0
04a59789o0632c,28.936133333333334,-25.24876666666667,>20.72,0.0,3.0,c,22.117,59789.32704275,5122.76,9923.56,180.0,181.5,-12.6,6.1,180.5,-67.6,359.3,1.06,2.69,2.21,1.0,3.0,-0.3717,-18.166607959130882,8.7949451230713,19.64,30.0
04a59789o0651c,28.936133333333334,-25.24876666666667,>20.59,0.0,3.0,c,21.925,59789.33744465,5146.98,9806.34,188.0,182.8,-1.2,6.4,183.4,-134.2,362.3,1.08,2.56,2.08,1.0,3.0,-0.3787,-1.8614153527398427,9.927548547945829,19.52,30.0
03a59792o0628c,28.936133333333334,-25.24876666666667,>20.69,0.0,3.0,c,22.16,59792.04342695,394.67,6947.3,163.0,182.1,-6.0,6.0,183.0,561.6,344.6,0.98,2.71,2.39,1.0,3.0,-0.4227,-9.49461124832426,9.49461124832426,19.71,30.0
03a59792o0635c,28.936133333333334,-25.24876666666667,>20.30259763496289,0.0,1.01,c,22.164,59792.04805405,368.58,6911.86,178.0,181.9,7.1,7.0,182.3,180.3,385.7,1.01,2.41,2.27,1.0,3.0,-0.4077,9.32523948205215,9.193898080896487,19.82,30.0
03a59792o0646c,28.936133333333334,-25.24876666666667,>20.61,0.0,3.0,c,22.168,59792.05440915,429.64,6987.96,178.0,181.4,-10.7,6.4,182.5,610.6,370.0,0.98,2.73,2.4,1.0,3.0,-0.4197,-16.95572685298046,10.14174316439953,19.72,30.0
03a59792o0665c,28.936133333333334,-25.24876666666667,>20.82,0.0,3.0,c,22.175,59792.06520175,444.76,6875.53,188.0,181.8,-3.3,6.4,181.0,-208.8,382.2,1.0,2.41,2.26,1.0,3.0,-0.4117,-4.287441100380807,8.315037285587021,19.82,30.0
03a59792o0726c,28.936133333333334,-25.24876666666667,>20.83,0.0,3.0,c,22.184,59792.10384105,10392.1,7181.85,180.0,181.6,0.3,5.9,182.6,874.7,331.7,1.16,2.52,2.35,1.0,3.0,-0.4077,0.41874381273421113,8.23529498377282,19.82,30.0
