#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
02a59169o0314c,9.472744,-21.471928,>20.66,0.0,3.0,c,22.21,59169.32351975,1895.33,2421.28,172.0,180.1,-6.9,6.5,180.6,534.6,431.4,1.65,2.7,2.37,1.0,3.0,-0.3887,-9.98435343580217,9.405550338074509,19.67,30.0
02a59169o0321c,9.472744,-21.471928,>20.72,0.0,3.0,c,22.211,59169.32671935,1875.93,2382.48,175.0,181.0,1.5,6.2,181.6,395.3,417.4,1.24,2.69,2.37,1.0,3.0,-0.3867,2.1565057990781127,8.9135573028562,19.63,30.0
02a59169o0335c,9.472744,-21.471928,>20.7,0.0,3.0,c,22.207,59169.33312965,1933.8,2461.48,179.0,181.2,5.8,6.2,182.4,640.3,396.0,1.23,2.71,2.38,1.0,3.0,-0.3867,8.467066813063898,9.051002455344166,19.67,30.0
02a59169o0361c,9.472744,-21.471928,>20.66,0.0,3.0,c,22.203,59169.34501575,1953.72,2346.36,187.0,181.3,3.1,6.5,179.4,-196.6,491.8,1.45,2.73,2.33,1.0,3.0,-0.3887,4.487856968669487,9.410022676242473,19.63,30.0
02a59173o0234o,9.472744,-21.471928,>20.38,0.0,3.0,o,22.143,59173.29664625,5867.18,8550.9,154.0,182.9,10.6,10.7,179.0,527.6,682.6,1.48,2.32,2.05,1.0,3.0,-0.4337,12.638817897440054,12.758052028547976,19.42,30.0
02a59173o0241o,9.472744,-21.471928,>20.36,0.0,3.0,o,22.142,59173.29984885,5848.38,8512.36,177.0,179.5,1.3,10.5,182.6,1338.4,637.5,1.04,2.35,2.09,1.0,3.0,-0.4317,1.5992495823425417,12.917015857382065,19.43,30.0
02a59173o0255o,9.472744,-21.471928,>20.37,0.0,3.0,o,22.143,59173.30627665,5907.73,8588.49,177.0,180.8,3.2,10.7,183.3,1051.3,674.9,1.39,2.33,2.06,1.0,3.0,-0.4337,3.850630664368839,12.875546283983303,19.41,30.0
02a59173o0298o,9.472744,-21.471928,>20.42,0.0,3.0,o,22.141,59173.32601075,5926.71,8476.12,166.0,181.5,-1.8,10.4,182.4,-905.1,553.9,1.64,2.33,2.02,1.0,3.0,-0.4277,-2.1161114682606974,12.226421816617364,19.47,30.0
01a59180o0265o,9.472744,-21.471928,>19.79,0.0,3.0,o,22.278,59180.30195665,4672.24,6359.44,202.0,179.4,-0.8,19.3,180.9,325.6,1115.8,1.08,2.33,2.19,1.0,3.0,-0.4067,-0.8815536910115869,21.267482795654534,18.81,30.0
01a59180o0274o,9.472744,-21.471928,>19.78,0.0,3.0,o,22.278,59180.30630665,4692.6,6398.31,212.0,180.5,-12.5,20.8,179.3,840.3,1166.4,0.94,2.28,2.11,1.0,3.0,-0.4007,-12.914751693330857,21.49014681770255,18.88,30.0
