# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- HUBBLE RESID STD: 0.12958548329063316
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 0), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': -0.00551355667549669 +/- 0.036976974635761585
# Avg. 'x1': -0.8959520376324503 +/- 0.26954806175496693
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
2013ag, 192.89592, 26.62928, 0.02129, 0.02224, nan, nan, PanPlus, 34.9684, 0.1841, 0.00807853, 0.000243388, -0.750917, 0.5033, 56359.312, 0.393, 0.0332456, 0.0375641, 2.21, nan, 8.7898, 0.006
2008ec, 345.819, 8.87217, 0.01626, 0.01501, nan, nan, PanPlus, 34.3676, 0.1845, 0.0134167, 0.000593554, -0.718381, 0.15207, 54673.824, 0.129, 0.0681122, 0.0339302, 1.67, nan, 10.6407, 0.001
2009jb, 260.924713, 30.49728, 0.02338, 0.02324, nan, nan, PanPlus, 34.9237, 0.1753, 0.0097088, 0.000350679, -0.052569, 0.4089, 55075.555, 0.389, 0.0179965, 0.036321, 0.05, nan, 7.79338, 0.03
iPTF13dge, 75.896164, 1.5715, 0.01586, 0.01581, nan, nan, PanPlus, 34.3473, 0.1737, 0.0204304, 0.00104764, -0.277123, 0.11719, 56556.637, 0.103, -0.0643247, 0.0317259, 0.07, nan, 10.6697, 0.001
2007co, 275.765015, 29.89711, 0.02696, 0.02655, nan, nan, PanPlus, 35.194, 0.1649, 0.00558455, 0.000352963, -0.545248, 0.3033, 54265.176, 0.354, 0.10893, 0.0380341, 1.13, nan, 9.81719, 0.008
2014cd, 65.946617, -51.600811, 0.02061, 0.02057, nan, nan, PanPlus, 34.4468, 0.1845, 0.0074696, 0.000305388, -0.149364, 0.30431, 56883.66, 0.039, 0.29453, 0.0437292, 2.47, nan, 10.7117, 0.0
2013hn, 207.246536, -30.290689, 0.01507, 0.01597, nan, nan, PanPlus, 34.1487, 0.1861, 0.0188982, 0.000892256, -1.74207, 0.15506, 56646.031, 0.465, -0.0452925, 0.0338883, -0.01, nan, 11.6849, 0.038
ASASSN-14fa, 43.096081, -31.821671, 0.02227, 0.02174, nan, nan, PanPlus, 35.0589, 0.1659, 0.00938962, 0.000301336, -1.94905, 0.22349, 56879.285, 0.353, -0.14705, 0.0352715, 0.6, nan, 9.74865, 0.0
2007jd, 44.972374, 1.160707, 0.07267, 0.07196, nan, nan, PanPlus, 37.6462, 0.123, 0.000645198, 2.75298e-05, -0.87705, 0.0663535, 54362.191, 0.007, 0.0697483, 0.0258952, 0.57, nan, 9.75914, 0.11
2006hx, 18.488775, 0.371669, 0.04539, 0.04429, nan, nan, PanPlus, 36.5046, 0.128, 0.00227453, 6.14623e-05, -0.12476, 0.0736795, 54022.551, 0.054, 0.0370328, 0.0245992, 0.01, nan, 10.1086, 0.13
