# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- NUM TARGETS: 1513
# Avg. 'c': -0.008497671095836087 +/- 0.037995761070720425
# Avg. 'x1': -0.08243076693919366 +/- 0.2914902035029742
# Avg. 'x0': 0.008616161355039656 +/- 0.00036897059947937867
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
Lancaster, 189.236328, 62.214813, 1.23000, 1.23089, nan, nan, PanPlus, 44.8446, 0.1972, 9.08201e-07, 3.60468e-08, -2.05578e-01, 0.64483, 53432.449, 1.608, 9.22461e-02, 0.0457524, 0.76, nan, 10, 0.03
Manipogo, 189.145035, 62.263626, 0.85400, 0.85474, nan, nan, PanPlus, 43.6902, 0.2612, 3.49833e-06, 1.16786e-07, -8.28921e-01, 0.30627, 53150.398, 0.801, -6.28210e-02, 0.0779647, 0.07, nan, 10, 0.03
Nanna, 189.368118, 62.344444, 1.14000, 1.14085, nan, nan, PanPlus, 44.2681, 0.4325, 1.76063e-06, 1.00818e-07, 0.75392, 0.41548, 52594.363, 0.135, 7.52497e-02, 0.12929, 0.05, nan, 10, 0.05
Ombo, 53.105583, -27.750835, 0.97520, 0.97444, nan, nan, PanPlus, 44.0941, 0.171, 2.63452e-06, 7.87453e-08, 1.69036, 0.29035, 53369.398, 0.529, 8.75056e-03, 0.0432187, 0.22, nan, 10, 0.04
Sasquatch, 189.225464, 62.139656, 1.39000, 1.39096, nan, nan, PanPlus, 44.7753, 0.1952, 9.69085e-07, 5.88659e-08, 0.95297, 0.69656, 53144.637, 1.234, 0.13532, 0.0403222, 1.23, nan, 10, 0.07
Strolger, 189.085953, 62.180717, 1.01000, 1.01080, nan, nan, PanPlus, 44.5475, 0.2483, 2.38343e-06, 7.74491e-08, 2.12382, 0.42776, 53468.973, 0.38, -1.12915e-01, 0.0648263, 2.88, nan, 10, 0.02
Thames, 189.229874, 62.217793, 0.95400, 0.95478, nan, nan, PanPlus, 43.9944, 0.221, 3.57275e-06, 3.0771e-07, -8.58075e-02, 0.53532, 53174.801, 0.331, -1.84810e-01, 0.0816981, 0.03, nan, 10, 0.02
Thoth, 53.103291, -27.771610, 1.30500, 1.30412, nan, nan, PanPlus, 44.6077, 0.2635, 1.36512e-06, 6.27551e-08, -3.87801e-01, 0.35181, 52570.953, 0.586, 1.77862e-03, 0.0769868, 0.59, nan, 10, 0.06
Vilas, 189.370834, 62.191055, 0.93500, 0.93577, nan, nan, PanPlus, 43.6406, 0.2022, 3.80065e-06, 9.56654e-08, -2.29822e-02, 0.16762, 52726.836, 0.134, -3.57854e-02, 0.0502413, 1.97, nan, 10, 0.13
SCP05D0, 35.425274, -3.364756, 1.01400, 1.01236, nan, nan, PanPlus, 44.2274, 0.2493, 1.82692e-06, 1.13818e-07, -1.65249e-01, 0.53412, 53607.117, 0.846, 3.62434e-02, 0.0979804, 0.10, nan, 10, 0.1
