objname, ra, dec, z, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err
2018gro, 332.955, 38.7004166666667, 0.0217, 58327.38572920021, 59880.16687500011, ZTF, 58388.5086291352, 6.395385127198097, 7.857765281578438e-05, 0.00011112536861825855, 1.9420776645741245, 6.586421919578744, 0.6417050675295998, 0.38628459266227055, 38.64160915167166, 1.4825049220478506, 10.817750899221942, 0.0005965220878086435
2022fjx, 160.87567916666663, 19.08300277777778, 0.046, 58202.26973380009, 60464.23915510019, ZTF, 59675.70680266523, 1.4291521809609549, 5.96619080290865e-05, 1.1681293070705112e-05, -1.9648668156329423, 1.244571015811634, 0.49779529174161424, 0.146896926330424, 38.77170256210297, 1.1025369730764503, 7.902232705509368, 0.09912341714318443
2023acdv, 203.18804166666663, -13.047169444444444, 0.023, 58198.358379600104, 60489.22943289997, ZTF, 60315.1988730321, 1.6666510050163197, 0.00023061247487187207, 4.036839077044196e-05, -2.417238149078038, 0.8130885428758744, 0.5306536332918759, 0.16390224405345638, 37.13660774461364, 1.0931276037774773, nan, nan
2022aecb, 74.75937499999999, -0.44191111111111114, 0.015, 58384.4045833, 59956.327094899956, ZTF, 59158.934862541355, 78.39341512564715, 6.124857248307562e-06, 0.0004660259300267418, 4.263430048852013, 5.547986976292551, 0.9684895052225159, 36.16340167641092, 40.79346614421566, 5.702056638734079, 9.343034383797137, 0.0029055562056948775
2023bhm, 70.72892083333333, 0.618425, 0.015419, 58338.48149310006, 60390.187326400075, ZTF, 58436.50487039737, 0.0027493704546941444, 7.600447692044952e-06, 7.509215901020525e-06, 3.204757388319741, 8.432993857689915, 0.6412701853540026, 0.7446529351154265, 41.372244791942094, 1.6901312495978773, 10.944880130229151, 0.0007042302707270253
2021afur, 155.55415833333333, 17.861225, 0.028, 58202.26795140002, 60462.217453700025, ZTF, 59892.05753908425, 17.857423515037226, 4.651365609032759e-06, 1.2659297612873628e-05, 4.977613542471446, 9.978139438740595, 0.1557147231249571, 2.697821781991645, 43.623593803356975, 1.918300287004138, 10.30385583831088, 0.0010795880607671832
2022ihz, 145.70094583333332, -3.6070722222222225, 0.006, 58204.21736110002, 60433.19265050022, ZTF, 59706.04115263894, 0.1239852499566041, 0.0014353599384863015, 3.6755804255365637e-05, -2.7269909263645857, 0.17620712335908673, 0.3024823857604117, 0.01981430862733467, 35.78397082690137, 1.0860750994907693, 0.0, 0.0
2019noh, 346.419825, 27.6659805555556, 0.0249, 58246.45186340017, 60505.42380789993, ZTF, 58639.15980573379, 0.05950552142530796, 1.646666429065339e-06, 3.2967077534932106e-05, -0.8748531561019462, 5.2005082814526435, 1.2313185125592858, 14.13876497953839, 40.65030422084316, 2.547841195174263, 10.77252153435704, 0.0007017531518671983
2019be, 195.060516666667, 27.9568527777778, 0.02, 58202.30971059995, 60477.2118981001, ZTF, 59549.75770864089, 43.30429965187432, 0.002010536291410675, 0.004620179181907539, 0.0, 6.454975724303297, 0.0, 7.704736080844585, 36.73672020802273, 1.8825054166687298, 10.757611545644629, 0.00038517114109421353
2020ecn, 179.863879166667, -20.4447916666667, 0.021, 58199.32781249983, 60452.254756900016, ZTF, 60185.87612678733, 0.0, 0.00852821196745798, 0.0, 0.0, 0.0, 0.0, 0.0, 35.16785503464422, nan, 10.294633396564496, 0.0008196759922236717
2019cp, 163.708508333333, -7.38100277777778, 0.05, 58199.25083329994, 60462.18241900019, ZTF, 58493.25293206219, 1.6878526728723955, 3.441580318794892e-05, 1.1696509708391047e-05, -3.595353760606752, 1.1823161424277842, 0.47734592642025003, 0.27023296664892915, 39.180525240217676, 1.1014787068364573, 10.54711612988143, 0.0023269572276193662
2021agnf, 97.97918333333332, 35.556602777777776, 0.027, 58204.19526620023, 60408.24586809985, ZTF, 59180.50095068406, 36.80266117175415, 2.081817553999195e-06, 1.546766829129471e-05, 4.994630325500015, 7.623956467017889, 0.4444630674548169, 6.954844142458872, 43.63857183326016, 1.9161822663976547, 10.947190900139208, 0.002397489194073335
2022zvu, 148.46274583333332, -7.792683333333334, 0.019323, 58204.24656250002, 60449.22689810023, ZTF, 59896.981968222695, 0.7453065689769574, 0.00015540944661881196, 2.1509605015869808e-05, -2.6478640873190384, 0.6844125243110122, 0.6478381894876141, 0.09909835905048957, 37.18062545493531, 1.090879576128991, 10.542607440652626, 0.0012099832400037588
2020acoo, 145.3088625, 26.088575, 0.044125, 58426.55042820005, 60092.25557869999, ZTF, 59201.007878670796, 2.317424738419504, 0.0001062929078557374, 0.0004250024939917046, -2.9011128222613207, 5.063320807187614, 0.009991190763645665, 2.961664438373965, 39.45509526918789, 1.4086503300289326, 10.685674382711474, 0.0012919791233251478
2023vjh, 60.66323761258093, 25.233483796515177, 0.019, 58319.47372689983, 60499.47366899997, ZTF, 58862.5287177964, 12.582507404586067, 1.5383349872292017e-06, 1.1219425146400524e-05, 4.999309329800241, 7.9056256372120615, 0.34398371459937155, 6.909589497416801, 44.26719556404949, 1.938933398004808, 10.650404500305129, 0.002056533560023752
2022xhh, 64.1733759834313, -12.18359033747551, 0.0315, 58334.48121530004, 60378.13685189979, ZTF, 59868.550690856806, 0.7299095795788162, 7.063114360232507e-05, 1.5308093638268166e-05, -3.7544379848943126, 0.801312480897282, 0.577260973919278, 0.1682577247813419, 38.077842690899395, 1.0929395175933327, 10.79645631191364, 0.0017011828138871884
2022rjs, 244.12544381213974, 21.25148280005454, 0.037, 58206.418877299875, 60505.332615700085, ZTF, 58974.460494705, 0.0027541571762412786, 6.832297193744922e-09, 2.438315197600669e-08, 4.999972019278738, 7.209850129419423, 5.167859978127928, 2.067985814566134, 35.77335611115107, 1.579803288881325, 10.48999877821179, 0.0018017453246977574
2017fzw, 95.394875, -27.2148638888889, 0.0054, 58205.13340280019, 60388.17081019981, ZTF, 58539.94400878893, 1603.035666134645, 4.593507346289069e-05, 0.0013423513539403602, -2.5414649855071736, 5.468716859950563, -0.3457079270713592, 59.655906875630315, 41.481004441717914, 9.229707438566692, 10.436333572851673, 0.00018793949258456236
2023dk, 77.77631949389749, -1.0803024787910513, 0.02844, 58350.50699070003, 60392.153125000186, ZTF, 59957.094100219176, 0.9786184490767482, 0.00021422924235785733, 2.7936109169298755e-05, -1.6186122916438872, 1.0856301948278628, 0.25631962360307425, 0.12445513564642421, 38.15632296135807, 1.0985332820981006, 10.658403563986226, 0.0008657073789887531
2021twa, 32.76211249999999, 36.481725000000004, 0.012128969342354, 58282.481597200036, 60480.47150459979, ZTF, 59910.60972101294, 0.6617547259229468, 0.00010169055564321099, 1.4495272589878136e-05, -2.4925162734852533, 0.8654152576348264, 0.2542559835225171, 0.116532013136065, 38.83776062838099, 1.0939255064869529, 9.602104848459891, 0.0012216131463648687
2019bwi, 141.354254166667, 65.4675027777778, 0.02968, 58205.253541700076, 60438.20024310006, ZTF, 58569.947304626105, 0.5841227390374115, 7.678165652656535e-05, 7.64380981791016e-06, -0.6206939976983467, 0.5383116226143401, 0.6484926068361523, 0.07666142083918027, 38.25438215604838, 1.088918787807321, 8.839761027821579, 0.012505917069982822
2022xkq, 76.34879317253565, -11.882223304643725, 0.007735, 58359.46079860022, 60392.13719910011, ZTF, 59878.376170844225, 0.3614320919805323, 0.005385330245552769, 0.00020842992724829832, -4.999999535087465, 0.028341148520873105, -2.3135915135612803, 0.042452718231304684, 41.79647192962564, 1.0857642918216248, nan, nan
2021abzd, 10.8995375, 30.592322222222222, 0.018086, 58268.46668979991, 60504.4103472, ZTF, 59241.07524703191, 52.961752004743175, 1.4661654871328106e-06, 3.1470985032088084e-05, 4.9576153414230495, 8.212152821073737, 1.0805436306576803, 17.395401979511533, 42.118037647387176, 3.137049078155822, 10.78600418510209, 0.0005559682094218451
2022abom, 55.288069676415056, -2.848554874720014, 0.036, 58336.46334489994, 60365.22361110011, ZTF, 59927.98190713073, 1.43981289729345, 7.761398286785286e-05, 1.451742749273875e-05, 2.054488975865103, 1.8782047260788723, 0.5134151207208526, 0.1359523877169632, 39.05450982749841, 1.1233141167968552, 10.316452277637097, 0.0025523463538686332
2023fot, 185.44816295200465, 10.59142716377714, 0.026467, 58202.31156249996, 60482.1941550998, ZTF, 58256.91542560446, 57.64530969891348, 2.6746869893773766e-06, 5.912560930854665e-05, 2.169031635449108, 6.884220877182238, 0.302004382451725, 18.215001875523868, 43.35870636765261, 3.170965059892281, 10.60069767104924, 0.0010828350223605655
2021fnr, 219.50787920719074, 10.184031423141269, 0.026949, 58208.38832180016, 60494.27667819988, ZTF, 59293.97394114338, 0.004055312747368589, 5.987746505635575e-05, 7.264303675893398e-06, -3.3592815789156454, 0.49495257601756326, 0.6511399259035624, 0.08875815726900743, 38.097474424290056, 1.0884586413369495, 10.287436116011223, 0.0011406832616291658
2021xfm, 318.75354999999996, 21.91009722222222, 0.04, 58228.48670140002, 60505.37486110022, ZTF, 59149.53623130013, 64.19838347207042, 1.0367537903119242e-06, 2.9425668785729108e-05, -0.5407266917979514, 6.0139667323857475, 1.0182717331014042, 20.408179708004386, 41.83862997202653, 3.4314979790498867, 10.643884474652957, 0.0019805168293122876
2021bls, 250.836370833333, 61.5948666666667, 0.019, 58197.41409720015, 60505.34598380001, ZTF, 59243.32263141778, 0.7958429216887453, 0.00013680666541220323, 1.6478703817532027e-05, -4.999352753334259, 6.43962351785099e-05, 0.7454606981086995, 0.05388839985066047, 36.668358005039586, 1.085767509741767, 10.690134763061476, 0.00042944945706021567
2019cdc, 212.204729166667, 35.6142777777778, 0.02777, 58202.353159700055, 60494.22601850005, ZTF, 58574.453692590665, 0.2106526737443346, 0.0002785668916812446, 1.5627146442624545e-05, -3.5256715083946855, 0.25776069752138575, 0.38659634573272067, 0.04476120896292129, 37.19119140330109, 1.0864737987022117, 10.584872344449861, 0.0011367594478676015
2018eyi, 246.301958333333, 40.8401583333333, 0.03038, 58198.393194399774, 60491.27927079983, ZTF, 58340.55789807577, 1.392039257712895, 2.8346784607580616e-05, 8.399883371401742e-06, -3.000230048776544, 0.6295641718251934, 0.9743866601555276, 0.19830096382337012, 38.00103304591222, 1.0904227650086076, 10.143590364193393, 0.0012393031211338115
2018ast, 175.283166666667, 24.8196111111111, 0.012, 58205.22874999978, 60464.2181712999, ZTF, 58216.50802223145, 0.6556928422469355, 0.00016113052530164067, 2.6294680167312646e-05, -3.331552975027244, 0.2968109777569998, 0.8464319910783005, 0.11287635522608454, 36.44496050405512, 1.0868227173924256, 10.576333453409633, 0.0016985891680060662
2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 58277.42565969983, 60502.45076389983, ZTF, 58695.3282936841, 1.1443287803558633e-05, 5.309192106014372e-05, 3.7621435120082694e-06, -2.830575825147204, 0.6275555794075558, 0.2870345667722635, 0.06429750997319804, 39.39398778979526, 1.0900178696057992, 10.979192644467481, 0.0047669442378859665
2021zsz, 92.63880416666666, -14.538880555555556, 0.035746, 58373.48037040001, 60397.1551620001, ZTF, 60147.168578352, 0.0, 1.704946495896878e-05, 0.0, -4.879389881653809, 0.0, -0.36562375312073425, 0.0, 42.25873524578831, nan, 10.964851218836822, 0.005379263240545481
2021bmu, 19.5190582901647, 14.5536782776485, 0.053, 58294.48101849994, 60358.16390050016, ZTF, 59381.44202995242, 1.3510308632867236, 0.00037707042124337505, 0.0004750980753372635, -4.99999935457662, 0.2945493811479256, 0.28693498929260375, 0.8069044950838786, 36.93387766534656, 1.0936615268628782, 10.270301179807593, 0.004885489470990093
2021pom, 184.50780833333332, -20.857608333333335, 0.032269, 58204.32028939994, 60455.2265625, ZTF, 59996.42010417139, 3.971717593642097, 1.3204191222595133e-06, 1.4621822222787825e-05, -4.794657437754086, 6.271386271991705, 3.5745099698969787, 7.211886950595809, 33.30759818888066, 1.821273895128192, 10.663880527855868, 0.000928960190165358
2021jvp, 215.19557977001816, -19.786138140517604, 0.044, 58204.343020800035, 60483.24950229982, ZTF, 59327.00881284256, 2.590612704450905, 1.9035083558158354e-05, 1.3355862576090255e-05, 0.8527509783617793, 3.2000255385762757, 0.9253963311873304, 0.45517772911200155, 39.1689028638169, 1.1930570512133136, 10.95457116086164, 0.0010071414066509068
