objname, ra, dec, z, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err
2006gt, 14.072083, -1.629444, 0.0448, 54001.67, 54076.62, CSP, 54002.98352461894, 0.06217687519529136, 0.0007899719801907305, 3.155488409693971e-06, -2.269970801290972, 0.03289116292728078, 0.2165294602276597, 0.0036184703718589546, 36.758407457395286, 1.0857480082182813, 10.111136946318842, 0.0037506224022017622
2009F, 74.848167, -11.130583, 0.013, 54837.75, 54884.63, CSP, 54843.268653145875, 0.013152503033779794, 0.0019611495939980995, 4.6880208423070976e-06, -3.4781124913779893, 0.016144053412863846, 0.5075135211357635, 0.001857050794035374, 34.71918168992877, 1.085739051591218, 10.507359299115938, 0.000511704806211565
2006bd, 174.618583, 20.526222, 0.0257, 53822.75, 53872.57, CSP, 53810.39228026889, 0.1417983379396901, 0.0012144236013852767, 1.8530835451357767e-05, -1.7161506029965556, 0.044648648616186226, 0.39519929311282587, 0.00894171701107714, 35.843809567236704, 1.0857585568887074, 12.327227584343689, 0.0010375416044816365
2008bt, 162.570333, -12.108889, 0.0154, 54571.61, 54651.47, CSP, 54568.77543763968, 0.0010825368044606876, 0.003312846286230737, 9.588794435754784e-06, -2.22891911100925, 0.014269430700507346, 0.4385971329948794, 0.0024442578222385962, 34.546452706223874, 1.085738464198192, 10.724456328263154, 0.0005206097319448586
2006mr, 50.679333, -37.208222, 0.0059, 54045.86, 54147.57, CSP, 54051.69697046046, 0.02284563887224067, 0.009627726580083358, 2.6416404313626737e-05, -2.015224804154906, 0.015397435555135508, 0.5025552053062329, 0.0021843252758384285, 33.23024672276679, 1.0857388119815208, nan, nan
2007N, 192.255208, -9.452833, 0.0129, 54123.82, 54213.67, CSP, 54113.02410326338, 0.05120624498158577, 0.0024999103560196458, 1.9214658917360744e-05, -2.9930357990843253, 0.016325234117472887, 0.5465739760993894, 0.0048741579078375955, 34.413463984867846, 1.0857393339421004, 9.587336481996891, 0.0008157243912581323
2007ba, 229.177625, 7.396611, 0.0385, 54190.83, 54255.61, CSP, 54174.735055937665, 0.08562351257933187, 0.00188416660469515, 1.387795818990475e-05, 4.999999999980648, 0.0014571082269521085, 0.23007460099116642, 0.0060070268913646144, 36.88657943400962, 1.0857366166445745, 11.141102329068884, 0.0008626674562506656
2005ke, 53.768125, -24.944111, 0.0049, 53689.69, 53819.51, CSP, 53699.895933955, 0.006809155180235393, 0.01707561095103302, 3.154861947356995e-05, -2.1854051619797743, 0.007134535772027162, 0.4699111686307092, 0.001317856604542787, 32.679357099388234, 1.085736772212144, 9.964494815008727, 0.0001733967672340931
2005bl, 181.051083, 20.406889, 0.0241, 53476.61, 53512.57, CSP, 53483.11222351819, 0.01765187097043963, 0.0005641343272133992, 3.2883032547603824e-06, -4.899816142933783, 0.06432941785009572, 0.5696528118908466, 0.00498093299089369, 35.66930643301838, 1.085781082884017, 11.224701377315604, 0.0017654243062117643
2008bi, 128.972458, 0.706417, 0.0134, 54551.52, 54628.47, CSP, 54536.25119797909, 0.06684393631076091, 0.005224921046561482, 5.8575831957069473e-05, -2.791730610556689, 0.01863132492186237, 0.1919934441511908, 0.006191412178656255, 34.70052542242102, 1.085740360101018, 10.75710146506393, 0.0018382741615164645
2008bd, 154.597167, -13.103111, 0.0301, 54541.7, 54607.65, CSP, 54522.073202537445, 0.15702829589281464, 0.0017902471041830366, 3.394500647725805e-05, -2.3954536215536977, 0.058797448993972434, 0.08103204448903613, 0.013317884490770511, 36.254737653561676, 1.0857753849092546, 11.066906876654066, 0.0008724495479113708
2007al, 149.827, -19.473833, 0.0122, 54170.77, 54246.58, CSP, 54160.126165380185, 0.06796969774950412, 0.004253402926135539, 3.843738552792255e-05, -2.7849877809425534, 0.014838371268539596, 0.36046290260261893, 0.005098007143556799, 34.42287610598653, 1.0857388584942769, 9.351354001759011, 0.0018110245506318002
