# Created by M.D. Woods -- 2025-01-06 14:21:26.431146 -- NUM TARGETS: 62
# Avg. 'av_16': 1.031831512839079
# Avg. 'av_50': 2.1777341538219663
# Avg. 'av_84': 3.627594015711889
objname, av_16, av_50, av_84
2008bt, 0.3013074470787432, 0.5695991547243248, 1.0947455548496958
2020abmg, 0.9145247723649356, 2.1343963741808682, 3.2684691339042238
2022zvu, 1.2133682103480172, 2.691494960695331, 4.293347747932537
2021jvp, 2.201197335695367, 4.234805684419979, 6.640324815387863
2023fwb, 0.25542271376612236, 0.9441745523339266, 2.254440461791521
2018eyi, 1.2503724457847192, 2.77661400175294, 4.3430680960610655
2021qqr, 1.0535734124549256, 2.1312655717110514, 3.5531281032743367
2024jhk, 0.8590805943286398, 1.9093982999010475, 3.0290253110340055
2020abpe, 0.9622689444508348, 1.6674009008164876, 2.7640167165725873
2021abzd, 1.038533122485233, 2.2760403328699117, 3.5331465134689664
2022ubt, 0.3361366810170588, 1.2318851098227557, 2.661155033343827
2023fot, 3.0402239390301267, 4.61364723559024, 6.926429288706138
2021fnr, 1.0368566759307147, 2.209694050803666, 3.6479170523717315
2006gt, 2.358360079308069, 4.228807741581959, 7.746684241113094
2022aaok, 0.803106933104874, 1.911083675159913, 3.3929380803310245
2018jag, 1.5229358948633973, 2.7669487691907415, 4.575994868342545
2019moq, 0.49519839067355104, 1.3523152048064622, 2.6186479251833923
2008bd, 0.9772247789165901, 2.3559009431293734, 3.9164082186346603
2022rjs, 0.7085275044511108, 1.5294041166143661, 3.172138848780286
2022dsu, 0.2314674350139509, 1.1914452521585348, 2.7081327493852556
2021wzb, 1.3211463128513796, 2.4671841139051165, 3.718741901484257
2006bd, 0.8502697956947075, 1.6171844177746377, 2.6898682367770657
2022xhh, 0.6759569061272571, 1.7520668043734846, 3.055225562970967
2022rey, 1.9139504608760913, 3.3315573141866412, 4.691628330222327
2007N, 0.4576873185607389, 0.89312149873414, 1.5215120775879667
2023cvq, 0.8325324527713585, 2.2149011762682256, 3.562983658774679
2021mab, 0.871488881694736, 1.5614698006583045, 2.8774630979693083
2019op, 3.6478308436231814, 5.925163448627294, 9.206410985425737
2019luv, 1.3117142246370632, 2.791711026372791, 4.588989918040189
2007ba, 1.1099211917876757, 2.5401988303601284, 3.8170404116921635
2020acbx, 0.27904327082654123, 0.8807942356736654, 1.9642721718478293
2021uef, 0.6589103873007385, 1.575186605157234, 2.951095421384476
2021uve, 0.9597601116149698, 2.0214366880888557, 3.6595928846368837
2005A, 2.5116248418899847, 4.21818145069427, 6.436841634023028
2005mc, 1.2295936930021119, 2.2216471616661715, 3.3705596115912564
2008go, 2.121451826825534, 3.666305979345292, 5.747448164937226
2004ef, 0.7006263069065932, 1.70538619698151, 2.8458560982423546
2004gs, 0.9908402094240322, 2.1265536388485398, 3.3870896367884846
2006ev, 0.4481333747188861, 1.7610613046089751, 3.190898093149275
2009P, 0.37332677476077303, 1.25326399035929, 2.372764447691047
2004gu, 1.378469406191147, 2.9062246698737573, 4.550975047529567
2008ae, 0.5417251707694207, 1.547498798388971, 3.2695446991177692
2006br, 1.155716301103882, 1.983061612477228, 3.240501165228985
2009ad, 0.7239165113579873, 2.0073686953534398, 3.1631159747684783
2006et, 0.9099861261268196, 1.822841699285714, 3.064332436968643
2006bt, 0.13539732312497088, 0.5618396002966826, 1.5052993674778867
2008ar, 0.6000976368909072, 1.827813204262042, 3.0205556681978933
2007hx, 0.5906661615299229, 1.8338259891675304, 3.5803287771405423
2007bc, 0.5752796194156709, 1.8145084947230827, 3.0344799824794766
2006os, 1.1012621918052263, 2.2689171072511893, 3.749763781167617
2004dt, 0.7322043758027922, 1.3698743395861472, 2.2241022487865783
2008C, 0.4751928076995749, 1.0063357509440722, 1.6647286825014063
2007cg, 0.932240694737157, 2.2172495691565923, 4.236588184870177
2006ot, 0.48618772682652805, 1.5875689415574206, 3.3066938019992125
2004gc, 0.7374327899228295, 2.4852606157950414, 3.95739118446213
2007ux, 0.8379955269626853, 2.3294610619607306, 3.702248638518006
2006fw, 0.3685464883593916, 1.060285614884154, 2.166782115100409
2007A, 0.8653448282164097, 1.9444411287817525, 3.203321990643668
2006hx, 0.5212354173144296, 1.3290847641586256, 2.340281125378952
2007jg, 0.2078630219097072, 0.6933788233946445, 1.8703742504642598
2007jh, 0.9440801024974307, 2.2213032101925068, 3.501482621144963
2006kf, 4.327217070496681, 6.950676230522134, 8.761496124485205
