# Created by M.D. Woods -- 2024-11-27 13:01:48.723333 -- HUBBLE RESID STD: 0.2142841183795541
# {'z': 0.015, 'EBVhost': (-0.2, 0.3), 'EBVhost_err': 0.1, 'st': (-999, 1.0), 'st_err': 0.1, 'Tmax_err': 1, 'mu_err': 0.2}
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, chisquare, chisquare_err, hostMass, hostMass_err, peak_mag, peak_mag_err
2006gt, 14.072083, -1.629444, 0.0448, 0.042419119009330715, 54001.67, 54076.62, CSP, 36.47087739714307, 0.01613643535346943, 0.5643705227092943, 0.01041734017260933, 54003.99840339669, 0.07937117229698881, 0.04591564246528939, 0.014812996797776685, 101.53885976778399, 1.8131939244247142, 10.111136946318842, 0.0037506224022017622, 18.4269375, 0.04184375
2008bd, 154.597167, -13.103111, 0.0301, 0.031300703090299295, 54541.7, 54607.65, CSP, 35.92829181073449, 0.03449423602551181, 0.6184165667759428, 0.03958210359509353, 54526.19581650716, 0.7834903037046881, 0.018133636520157672, 0.042390781020314426, 105.813685804627, 2.034878573165904, 11.066906876654066, 0.0008724495479113708, nan, nan
2008bt, 162.570333, -12.108889, 0.0154, 0.016446211765812194, 54571.61, 54651.47, CSP, 34.18111269060493, 0.018549388654019446, 0.4878442267172122, 0.008996624021565126, 54572.72785584305, 0.0800410273435232, 0.243561596161727, 0.01484225305748072, 209.92278273951996, 3.229581272915692, 10.724456328263154, 0.0005206097319448586, 16.888055555555557, 0.014222222222222223
2018eyi, 246.30204266284116, 40.84025346715421, 0.03038, 0.03103047946117822, 58338.32212535, 59038.33826955, ATLAS-ZTF, 35.975921214466155, 0.06833881526003854, 0.27046274133273646, 0.014735139396536104, 58338.86281601977, 0.23056467535469588, -0.06788062865159945, 0.042333472547711214, 991.2808255137362, 4.046044185770352, 10.143590364193393, 0.0012393031211338115, 18.488843205098657, 0.06475618229709602
2018jag, 15.951294449789689, 10.592351746809557, 0.04, 0.0382127773955262, 58448.37828555, 58492.23770405, ATLAS-ZTF, 36.71555796237762, 0.07575871214696926, 0.6101420931153663, 0.02995470060263647, 58453.55468181442, 0.23387306938294292, -0.014850168622257943, 0.034923146346597905, 226.71025807048355, 1.5853864200733114, 11.024363619703006, 0.0011197732616178959, 18.279127781784904, 0.08198736588678868
2019be, 195.0605280377852, 27.95679209010926, 0.02, 0.02306703697326352, 58483.62853255, 58529.51429045, ATLAS-ZTF, 35.52417078295675, 0.033488733273890535, 0.34506461044583087, 0.008892435602958371, 58488.663986865235, 0.11977924814423023, 0.2945207696808618, 0.0206227688558491, 334.8539527956814, 2.017192486720972, 10.757611545644629, 0.00038517114109421353, 18.37581968848209, 0.05681604068413236
2019cp, 163.7085070947211, -7.38096439111269, 0.05, 0.051879365434930505, 58486.59136235, 58610.37815865, ATLAS-ZTF, 36.880084550614995, 0.07279974041173022, 0.4803182509586028, 0.01867119565710136, 58491.90263040575, 0.16993047289804472, 0.1910840696738807, 0.03312566849214217, 201.03033330534663, 0.9014813152706127, 10.54711612988143, 0.0023269572276193662, 19.01392290499137, 0.12184386982084149
2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 0.0579716093873729, 58400.27783560008, 58987.46677079983, ZTF, 37.278968351822314, 0.02179243241531981, 0.7388695417002615, 0.012363748939798296, 58695.359439134234, 0.09455737514976047, 0.1546156160240858, 0.014102900856244147, 328.4771883595299, 1.3918524930488556, 10.979192644467481, 0.0047669442378859665, 18.845891894607025, 0.03328966313634356
2019op, 35.424387026612415, -25.927123010010185, 0.04, 0.03872130026317916, 58491.28400175, 58679.57638905, ATLAS-ZTF, 36.53733454004119, 0.12262430710886679, 0.495468037312265, 0.03638535099211949, 58496.67978335786, 0.3928137859569366, -0.03376595100883557, 0.04063477834707753, 93.19132423199501, 1.6641307898570539, 8.40685425462122, 0.0035269244904225774, 18.287011165302467, 0.14609974877166979
2020abpe, 24.102259033033917, 22.049853890014997, 0.05, 0.04819889426180836, 59185.43413395, 59613.26274815, ATLAS-ZTF, 36.807858634302754, 0.06042547377333696, 0.42250084359562207, 0.01652506486728237, 59192.91426791558, 0.19568278498727576, -0.04844057812620875, 0.02871187360048598, 292.5563217828279, 1.0795436228148632, 10.649515955931236, 0.0029270517243323553, 19.06340799419177, 0.10461692141906183
2020acbx, 131.588323927133, -12.656028038917848, 0.051, 0.05259510797396794, 59187.55942165, 59503.64067935, ATLAS-ZTF, 37.63606085913742, 0.11818041938612013, 0.46918619624526064, 0.034591937829418426, 59194.50334813579, 0.43098707534645536, -0.08361060099052889, 0.05512104155942516, 111.91183723228205, 1.4534004835361305, 10.202182551202336, 0.003249982662315169, 19.354721229625678, 0.18354329799792587
2020vae, 270.744675, 52.115075, 0.04846, 0.04783724267661762, 58854.57377310004, 59401.25732639991, ZTF, 36.464237171911705, 0.04085256339705993, 0.5047133576887215, 0.01756751043326504, 59133.99906617325, 0.15832062592691126, 0.19695727866112053, 0.028418482573986943, 41.196533650653485, 0.6644602201718304, 10.61938683424752, 0.015165662741275331, 18.885407206937703, 0.08979492667693015
2021abzd, 10.8995375, 30.592322222222222, 0.018086, 0.015988893991432624, 59217.20123839984, 59803.38336810004, ZTF, 34.526124573193066, 0.015211830139409372, 0.5759388529926055, 0.009352486979509227, 59519.076726683874, 0.0773127850387733, 0.08256881216536072, 0.015407440278770664, 241.62135197221625, 2.3232822305020795, 10.78600418510209, 0.0005559682094218451, 16.387379115171175, 0.00795553717295239
2021bls, 250.83634089611053, 61.594851830280966, 0.019, 0.018644898621909906, 59238.63045375, 59298.56669435, ATLAS-ZTF, 34.68716878351524, 0.026593995852660084, 0.27051055916390776, 0.007441075947170043, 59246.6866728085, 0.10732737530885923, 0.010742429007086225, 0.01962918626376757, 868.8002054594194, 1.8175736515887435, 10.690134763061476, 0.00042944945706021567, 17.45313684494441, 0.023032245897305684
2021fnr, 219.50783765468793, 10.184075515070733, 0.026949, 0.028493218937518137, 59287.61540915, 59336.39578095, ATLAS-ZTF, 35.9382350177199, 0.04773718246923002, 0.41922600673428345, 0.013940457859259152, 59292.82985675432, 0.15052189005321964, 0.09149287430545945, 0.02187945954375723, 1044.453047320903, 3.941332254041143, 10.287436116011223, 0.0011406832616291658, 18.173327250240323, 0.04123353230622344
2021jvp, 215.1956051172468, -19.78613155067654, 0.044, 0.04436986490741191, 59319.52496935, 59624.06991465, ATLAS-ZTF, 36.782912290707614, 0.07921758227767638, 0.3929294307817404, 0.015661050551898325, 59326.583134148976, 0.19629321295644345, -0.13500692876373246, 0.04073763790746833, 251.00974024943454, 1.1205791975421184, 10.95457116086164, 0.0010071414066509068, 18.881124068352786, 0.14776933323514096
2021mab, 178.79425241592884, -7.843156338771086, 0.021, 0.02171286129914082, 59304.44045585, 59692.37141005, ATLAS-ZTF, 35.30673574034999, 0.1505727110355974, 0.4668402825277321, 0.03249749447067213, 59338.472256008135, 0.3698905442649717, -0.003782568819202603, 0.07460630155604629, 3183.779699416401, 22.904889923859, 10.713022716938031, 0.00037423560637777904, 17.34310344827586, 0.04379310344827587
2021qqr, 257.3738166666666, -22.44768611111111, 0.0309549998, 0.02955232369457374, 59320.46214119997, 59455.16781250015, ZTF, 35.793072676418554, 0.037712279588201614, 0.58785853846259, 0.02468225445738987, 59391.88251638803, 0.2291138587690242, -0.19914879593056567, 0.04826914793009807, 106.25090015471937, 0.6724740516121479, 8.573645842354992, 0.09099381995104013, 18.41973019223912, 0.07645269859633017
2021uef, 297.40179583333327, 42.23985277777778, 0.0304, 0.028759726927420775, 59125.12267359998, 59689.47050930001, ZTF, 35.46078008932021, 0.0810549059955542, 0.5233623123089945, 0.027219017442772237, 59431.61856189066, 0.1812735339022277, 0.2758011454393515, 0.03234435048086563, 75.31386837874024, 1.321295936469127, 10.32612457784449, 0.004322392798212673, 19.206938838163595, 0.039692787929864144
2021uve, 29.135696203526695, 3.8604084062493347, 0.055, 0.05335311633514992, 59428.58149315, 59596.26493355, ATLAS-ZTF, 37.472164896438954, 0.05856112953323076, 0.7548083862296219, 0.026946861425925627, 59440.35086596107, 0.27654168169556814, 0.09930975844015234, 0.03484728316761521, 375.54000246807357, 2.701726636460961, 7.813528673239915, 0.07763466766209964, 18.828655841282103, 0.07386328046622533
