objname, ra, dec, z, MJDs, MJDe, origin, chi2, chi2_err, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2006gt, 14.072083, -1.629444, 0.0448, 54001.67, 54076.62, CSP, 92.42762420876282, 1.6504932894421933, 36.5872377103584, 0.022116522541796062, 0.5751224004003465, 0.01110648455799772, 54003.998789056466, 0.07646603462591871, 0.0026547905285083193, 0.015362217756342746, 10.111136946318842, 0.0037506224022017622
2021bmu, 19.51915847593583, 14.553705080213907, 0.053, 59231.23734385, 59257.24554225, ATLAS-ZTF, 51.71839751689184, 0.28892959506643484, 35.799292295729806, 0.11774240446371675, 0.42484661274892904, 0.02119943092179924, 59248.05665354352, 0.29086270676598514, 0.5870255574975476, 0.045722681992602654, 10.270301179807593, 0.004885489470990093
2018jag, 15.951294449789689, 10.592351746809557, 0.04, 58448.37828555, 58492.23770405, ATLAS-ZTF, 294.86513740123416, 1.4313841621419134, 36.786677927536225, 0.08927230612141211, 0.6262331570876598, 0.029317738025395026, 58454.286771673294, 0.23015293123731415, 0.012364867349890084, 0.03445935342683413, 11.024363619703006, 0.0011197732616178959
2020acbx, 131.588323927133, -12.656028038917848, 0.051, 59187.55942165, 59503.64067935, ATLAS-ZTF, 120.6897356265223, 1.527718172487624, 37.3913768707528, 0.13832168302097353, 0.6359436351674421, 0.053546637283416555, 59195.05689381654, 0.49040446762369805, 0.2219215076345551, 0.06641560925099599, 10.202182551202336, 0.003249982662315169
2021wzb, 72.76727135859213, -5.956928904982985, 0.0478, 59447.62130585, 59614.29573955, ATLAS-ZTF, 592.6120302818756, 1.3407511997327501, 36.5327387594422, 0.04920386519718582, 0.5498624807224408, 0.015331388293219075, 59456.004137079595, 0.17668770189259972, 0.1469917986053487, 0.03186114324137626, 11.289712997692881, 0.0007520392347699466
2024jhk, 162.8512114449619, 8.558299085325991, 0.02315, 60452.33804475, 60490.97549505, ATLAS, 66.15148632196166, 1.181276541463601, 35.319590596399415, 0.11911288310138805, 0.40102920163115846, 0.018600839769857422, 60460.92757821009, 0.2825116329536521, 0.10207560428556357, 0.04246283321675243, 10.717597614530817, 0.0005467162453691708
2022ydr, 264.7369415088767, 74.82995898557314, 0.024931, 59871.27977755, 59907.21929055, ATLAS, 52.58026713883608, 1.8778666835298599, 35.81148680992471, 0.14800154171788812, 0.41886087072587774, 0.05429205103526317, 59882.89390831238, 0.2824339292193484, -0.287280822925981, 0.09510874066610787, 10.627211602301852, 0.0011031908574760728
2019cp, 163.7085070947211, -7.38096439111269, 0.05, 58486.59136235, 58610.37815865, ATLAS-ZTF, 250.10287457047178, 1.0084793329454507, 36.86222034254792, 0.09587765962234024, 0.5761660721360051, 0.027966711880383688, 58492.58548064783, 0.20106086368530296, 0.25566138275434314, 0.0372724800482815, 10.54711612988143, 0.0023269572276193662
2020abpe, 24.102259033033917, 22.049853890014997, 0.05, 59185.43413395, 59613.26274815, ATLAS-ZTF, 380.12073710595996, 0.48177533220020274, 36.50554245654768, 0.04769337879799213, 0.4889240626545307, 0.012396147121190427, 59193.71073475259, 0.13224427340166423, 0.1690827997563039, 0.01996250630348374, 10.649515955931236, 0.0029270517243323553
2020mfd, 259.0307883569117, 40.786711283988375, 0.048, 59010.44736155, 59062.36462975, ATLAS-ZTF, 1563.8725924810392, 1.3622583558197205, 35.9842887915876, 0.025727588348815267, 0.4280349693650267, 0.006365870327618269, 59013.94337497241, 0.09395633084057864, 0.48159759933381113, 0.01628592412646586, 10.501635412079967, 0.0016352035078946753
2019op, 35.424387026612415, -25.927123010010185, 0.04, 58491.28400175, 58679.57638905, ATLAS-ZTF, 128.30563471734598, 1.859501952425304, 36.76541234031983, 0.14298341348341836, 0.5249557435325432, 0.040508426127086064, 58497.00907577069, 0.4024024048363496, -0.05762321163841451, 0.04360865152561513, 8.40685425462122, 0.0035269244904225774
2021cad, 163.93951567951174, 24.02772392247501, 0.041546, 59249.64870315, 59662.43854885, ATLAS-ZTF, 626.784500122764, 1.689446091975105, 36.40001981093092, 0.046961632370553764, 0.400922800711381, 0.013431602607087298, 59250.341738422525, 0.1806679825719874, 0.07396721858421053, 0.027170772263943013, 10.358143010854041, 0.0015162175022677541
2021xfm, 318.7536126075913, 21.91020380379556, 0.04, 59445.35794685, 59465.45646065, ATLAS-ZTF, 134.74387572359188, 0.6355843194509051, 36.538106629956026, 0.07002622772379236, 0.35326762851850374, 0.017725246200725325, 59449.272308200234, 0.22564520028670043, 0.18040816826291992, 0.046451006515807164, 10.643884474652957, 0.0019805168293122876
2019noh, 346.419825, 27.6659805555556, 0.0249, 58273.431909699924, 60119.45535880001, ZTF, 437.395467452702, 0.7043405272990371, 34.536258155003615, 0.045994456479432136, 0.37054313792167, 0.009931209373741824, 58714.33758233766, 0.1117580650160253, 0.6304961362138848, 0.026629745876851678, 10.77252153435704, 0.0007017531518671983
2021abzd, 10.8995375, 30.592322222222222, 0.018086, 58292.476967600174, 59840.359502300154, ZTF, 254.29131560068143, 1.0090925222249263, 34.573148170348645, 0.015965449746379146, 0.5798572187451003, 0.006461941954580481, 59519.10138706605, 0.05094828123208952, 0.039655987302791705, 0.010619780919384056, 10.78600418510209, 0.0005559682094218451
2021qqr, 257.3738166666666, -22.44768611111111, 0.0309549998, 58277.376817100216, 59399.27210649988, ZTF, 7.823337792911669, 0.13259894564257066, 35.83099222835284, 0.04800259814435573, 0.6878624630811557, 0.02257367712321472, 59392.91566335204, 0.17000893161055808, -0.05394738090218713, 0.031608989496610014, 8.573645842354992, 0.09099381995104013
2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 58283.44841440022, 59418.466307899915, ZTF, 354.7435389415355, 1.074980421034956, 37.42184026802653, 0.027455969449584828, 0.7239777900231846, 0.010755281725222443, 58695.27767310853, 0.08236110942125056, 0.038596049305575905, 0.013387185307810731, 10.979192644467481, 0.0047669442378859665
2022rey, 268.3069708333333, 42.788525, 0.04, 58198.4224537001, 60155.28614579979, ZTF, 147.67856706889336, 0.4600578413361164, 36.6363547288788, 0.03939457314780861, 0.43322075807708826, 0.011382906272327527, 59810.179400797075, 0.1106330582366746, 0.15411353445423154, 0.022775557813318314, 10.665653521436408, 0.0016239326144556986
2019luv, 328.812516666667, -12.1489944444444, 0.06, 58294.46099539986, 59841.21200230019, ZTF, 33.559832562870554, 0.32269069771990916, 36.86781459271584, 0.05555326997758902, 0.6104518985285561, 0.02255184994304651, 58690.9016826237, 0.22752462695469128, 0.28146545306162496, 0.03652052267875488, 9.828101197306356, 0.006206509407890266
