# Created by M.D. Woods -- 2024-12-06 11:19:40.351810 -- HUBBLE RESID STD: 0.18108556594790623
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 3.2), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': 0.3296536006641562 +/- 0.018664267791890045
# Avg. 'x1': -2.4109168350899055 +/- 0.1410631852108621
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err, peak_mag, peak_mag_err
2006bd, 174.618583, 20.526222, 0.0257, 0.025660398620783453, 53822.75, 53872.57, CSP, 53810.392280268905, 0.1417983373394236, 0.0012144236013851002, 1.8530835642414478e-05, -1.716150603001807, 0.04464864846680883, 0.3951992931126959, 0.008941717129528527, 35.843809567236434, 0.03211174589953519, 12.327227584343689, 0.0010375416044816365, nan, nan
2006gt, 14.072083, -1.629444, 0.0448, 0.042419119009330715, 54001.67, 54076.62, CSP, 54002.98352461894, 0.06217687519529136, 0.0007899719801907305, 3.155488409693971e-06, -2.269970801290972, 0.03289116292728078, 0.2165294602276597, 0.0036184703718589546, 36.758407457395286, 0.012665196390406306, 10.111136946318842, 0.0037506224022017622, 18.37426923076923, 0.046269230769230764
2007N, 192.255208, -9.452833, 0.0129, 0.015195347623445987, 54123.82, 54213.67, CSP, 54113.0241032369, 0.051206244781496935, 0.0024999103680209155, 1.921465906675755e-05, -2.9930357885059595, 0.016325234088099938, 0.5465739724968736, 0.004874157915976528, 34.41346399200956, 0.016936799634550224, 9.587336481996891, 0.0008157243912581323, nan, nan
2008bd, 154.597167, -13.103111, 0.0301, 0.031300703090299295, 54541.7, 54607.65, CSP, 54522.0732025374, 0.1570283042747178, 0.001790247104186559, 3.3945008037353526e-05, -2.395453621546084, 0.058797452244801596, 0.08103204448829576, 0.013317885226446533, 36.254737653562906, 0.04560507704118185, 11.066906876654066, 0.0008724495479113708, nan, nan
2008bt, 162.570333, -12.108889, 0.0154, 0.016446211765812194, 54571.61, 54651.47, CSP, 54568.77543763968, 0.0010825368044606876, 0.003312846286230737, 9.588794435754784e-06, -2.22891911100925, 0.014269430700507346, 0.4385971329948794, 0.0024442578222385962, 34.546452706223874, 0.008227838844953704, 10.724456328263154, 0.0005206097319448586, 16.852666666666668, 0.011416666666666665
2018lph, 250.902241666667, 33.5336, 0.08, 0.07984945051024146, 58204.446608799975, 58600.39467590023, ZTF, 58311.44534338365, 0.07945791876409203, 0.00029760165352747236, 3.2301947393735196e-06, -2.0736002049625704, 0.1100731105027819, 0.12461810290927029, 0.010452246157831548, 38.12228887222717, 0.037318667841670185, 10.34149581173226, 0.004396506937327917, 19.28649345767246, 0.06267103497614876
2019cp, 163.7085070947211, -7.38096439111269, 0.05, 0.051879365434930505, 58486.59136235, 58610.37815865, ATLAS-ZTF, 58492.28640908872, 0.31079080617564614, 0.000256121371195039, 1.0751498996725495e-05, -2.56132705223004, 0.1639545046378943, 0.363571667703476, 0.03480950223912797, 37.49855884565889, 0.11604711422536566, 10.54711612988143, 0.0023269572276193662, 19.01392290499137, 0.12184386982084149
2019luv, 328.812516666667, -12.1489944444444, 0.06, 0.05880631497338339, 58429.1904397998, 58812.13802079996, ZTF, 58691.4862426821, 0.31704306017854833, 0.00023593386364644694, 9.212899297043033e-06, -2.5828934346539563, 0.3558876459523228, 0.5173023803049801, 0.029587497578109016, 37.12628051180149, 0.11196623043408697, 9.828101197306356, 0.006206509407890266, 19.23561369811073, 0.05586869589333427
2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 0.0579716093873729, 58400.27783560008, 58987.46677079983, ZTF, 58695.23748400717, 0.06926596819903352, 0.0004482881778904764, 3.7411040537693734e-06, -2.440533214997024, 0.08696736662015736, 0.17089428851355315, 0.007822568332491737, 37.4834402234739, 0.028329535331969833, 10.979192644467481, 0.0047669442378859665, 18.845891894607025, 0.03328966313634356
2020abpe, 24.102259033033917, 22.049853890014997, 0.05, 0.04819889426180836, 59185.43413395, 59613.26274815, ATLAS-ZTF, 59193.129309339885, 0.20930639627113123, 0.0003247889507641027, 8.89528956738309e-06, -1.9362986451310227, 0.1635665396092878, 0.4008949404322857, 0.0228425069278905, 37.22507626921981, 0.07838452075060517, 10.649515955931236, 0.0029270517243323553, 19.06340799419177, 0.10461692141906183
2020acbx, 131.588323927133, -12.656028038917848, 0.051, 0.05259510797396794, 59187.55942165, 59503.64067935, ATLAS-ZTF, 59194.674110483626, 0.37231779259673203, 0.00021395182498241993, 1.128914504091455e-05, -3.1266914342036594, 0.36299079498474507, 0.39344841827788635, 0.04688510712561428, 37.51834993581476, 0.1608957381528299, 10.202182551202336, 0.003249982662315169, 19.354721229625678, 0.18354329799792587
2021abzd, 10.8995375, 30.592322222222222, 0.018086, 0.015988893991432624, 59217.20123839984, 59803.38336810004, ZTF, 59519.11500542606, 0.026719175384641858, 0.004220066366140362, 1.6588063472164693e-05, -3.1913367920015014, 0.033074744546732315, 0.2817609191251597, 0.0029908393682585572, 34.6037797296506, 0.011102166177267659, 10.78600418510209, 0.0005559682094218451, 16.387379115171175, 0.00795553717295239
2021jvp, 215.1956051172468, -19.78613155067654, 0.044, 0.04436986490741191, 59319.52496935, 59624.06991465, ATLAS-ZTF, 59326.94897580982, 0.3369819922845636, 0.0002666726056925585, 1.9738217896176295e-05, -2.3260814668076657, 0.36843685243796365, 0.49176322734659234, 0.05100768142590846, 37.10870910686627, 0.18094389727030125, 10.95457116086164, 0.0010071414066509068, 18.881124068352786, 0.14776933323514096
2021uve, 29.135696203526695, 3.8604084062493347, 0.055, 0.05335311633514992, 59428.58149315, 59596.26493355, ATLAS-ZTF, 59438.644306104456, 0.17745252206805162, 0.00040933749213606705, 9.226045969074112e-06, -1.1576199013431576, 0.14637149179729914, 0.2562778598189622, 0.0182714865788047, 37.523972321659954, 0.06375793241749814, 7.813528673239915, 0.07763466766209964, 18.864779883014087, 0.08172690214492101
2022dsu, 211.37838920703345, 15.720950635018797, 0.07, 0.07061669273813125, 59610.62636385, 59688.50373495, ATLAS-ZTF, 59646.817895352026, 1.6787835193099454e-05, 0.0003730010882709572, 1.5405558224912437e-05, -2.524964419121229, 0.18286477306063942, 0.1432311969799893, 0.03294876498598089, 37.75257622959511, 0.1115096519131296, 10.258346269556945, 0.0036019101922798984, 19.19761904761905, 0.18047619047619048
2022ubt, 289.1201163647384, 41.889354239490345, 0.052, 0.051257701839249416, 59833.34053935, 59843.35851895, ATLAS-ZTF, 59843.12447478886, 0.18570072593502118, 0.0005090589671678459, 6.792689135310712e-06, -2.814708133483665, 0.17384178089869273, 0.21218269944585746, 0.015584088004549025, 37.16512498116087, 0.05544422664858943, 10.387851541544412, 0.0032791740061456085, 18.811938650723746, 0.10140164456982913
2022zvu, 148.46274583333332, -7.792683333333334, 0.019323, 0.020483170027215395, 59625.31541670021, 60081.21770829987, ZTF, 59897.12828345441, 0.08381796141839004, 0.0014186594782861512, 2.1386485162065028e-05, -2.6460015722388333, 0.08311261510864121, 0.5702336071122387, 0.01089377527151495, 35.01117020027128, 0.03851593364369512, 10.542607440652626, 0.0012099832400037588, 17.169021920740928, 0.023476492366054643
