objname, ra, dec, z, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2006gt, 14.072083, -1.629444, 0.0448, 1001.67, 1076.62, CSP, 36.587237596530855, 0.022116321768083997, 0.5751227069836203, 0.011106444091025191, 1003.9987865305386, 0.0764707112744481, 0.002655085980282388, 0.015361712905235919, 10.111136946318842, 0.0037506224022017622
2007ba, 229.177625, 7.396611, 0.0385, 1190.83, 1255.61, CSP, 35.56143946586292, 0.03476224151250005, 0.5490922364231619, 0.010784568061529174, 1198.1050496469477, 0.07207228613473579, 0.1390455290007129, 0.01904516681439877, 11.141102329068884, 0.0008626674562506656
2008bd, 154.597167, -13.103111, 0.0301, 1541.7, 1607.65, CSP, 35.784538205621345, 0.05061268228304371, 0.441036860557924, 0.01675044753572422, 1531.3760459249913, 0.5872751048199432, -0.006588189347681226, 0.028027565836848994, 11.066906876654066, 0.0008724495479113708
2018jag, 15.951294449789689, 10.592351746809557, 0.04, 58448.37828555, 58492.23770405, ATLAS-ZTF, 36.786677927536225, 0.08219534585485551, 0.6262331570876598, 0.02699360777576466, 58454.286771673294, 0.21190782006719577, 0.012364867349890084, 0.03172762747946954, 11.024363619703006, 0.0011197732616178959
2022aaok, 138.75348383900604, 22.589561981475406, 0.027214, 59896.60439125, 59966.44071105, ATLAS-ZTF, 35.807902721948764, 0.03734366860635331, 0.4324152673899861, 0.009437830622388592, 59906.94885809265, 0.1235869188207488, 0.07290317736938948, 0.0179546354571647, 10.475026394544468, 0.000842787923706665
2021zsz, 92.63879631704842, -14.538870149377928, 0.035746, 59481.57166765, 59518.52807375, ATLAS-ZTF, 36.77341369670392, 0.12202061146989548, 0.6183368021286029, 0.03821007839580136, 59488.54884362278, 0.289577773066868, -0.10290988770879124, 0.07906179440538046, 10.964851218836822, 0.005379263240545481
2022ubt, 289.1201163647384, 41.889354239490345, 0.052, 59833.34053935, 59843.35851895, ATLAS-ZTF, 37.35629632492783, 0.042478417138835, 0.6134476955261251, 0.0161603693523638, 59844.04733534642, 0.1117817257561803, -0.11883246113160371, 0.017936098554134597, 10.387851541544412, 0.0032791740061456085
2019cdc, 212.20472173447806, 35.6142343137112, 0.02777, 58558.56347605, 58647.34267315, ATLAS-ZTF, 35.93374124201954, 0.02774125605050393, 0.6003411012068672, 0.009196301354787401, 58575.29566727455, 0.07545013991743765, -0.0866228853058584, 0.012638566898486827, 10.584872344449861, 0.0011367594478676015
2021wzb, 72.76727135859213, -5.956928904982985, 0.0478, 59447.62130585, 59614.29573955, ATLAS-ZTF, 36.5327387594422, 0.04876453617701046, 0.5498624807224408, 0.01519449815725526, 59456.004137079595, 0.17511010154274037, 0.1469917986053487, 0.031576663052964124, 11.289712997692881, 0.0007520392347699466
2024jhk, 162.8512114449619, 8.558299085325991, 0.02315, 60452.33804475, 60490.97549505, ATLAS, 35.319590596399415, 0.11911288310138805, 0.40102920163115846, 0.018600839769857422, 60460.92757821009, 0.2825116329536521, 0.10207560428556357, 0.04246283321675243, 10.717597614530817, 0.0005467162453691708
