# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- NUM TARGETS: 39
# WARNING: 'stretch' and 'color' are NOT identical for SNPY & SALT.
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, peak_mag, peak_mag_err, algo
2004gs, 129.596583, 17.627722, 0.0267, 0.02743521091657417, 53352.85, 53461.56, CSP_SNPY, 35.506727058001545, 0.008189271699739065, 10.524491610792518, 0.0008337715580172614,  53356.98698200796, 0.039223036443727995, 0.6978533232574247, 0.004360571825868994,  0.1761787272139524, 0.005773405477341216, 17.42813333333333, 0.011033333333333336, SNPY
2008gp, 50.753042, 1.361889, 0.0334, 0.0316740244728526, 54768.75, 54844.52, CSP_SNPY, 35.66325860559448, 0.011670799657826402, 10.825626853900289, 0.0008195866476426455,  54779.55632994173, 0.050181750019096395, 0.9723192564621453, 0.005390077994596937,  0.021166570378500078, 0.005268306717389597, 17.139885714285715, 0.03025714285714286, SNPY
2009al, 162.841958, 8.578528, 0.0221, 0.023294362161299355, 54891.71, 54973.54, CSP_SNPY, 34.718567416867515, 0.032752337694100186, 10.676596531095123, 0.0005467162453691708,  54897.35184752055, 0.40258778932387984, 0.9186475036249806, 0.017004454837158536,  0.2846537634768186, 0.016313538748283837, 16.522230769230767, 0.02184615384615385, SNPY
2005ki, 160.117583, 9.202333, 0.0192, 0.020898630617279666, 53695.86, 53861.5, CSP_SNPY, 34.63623132124024, 0.006692003828314847, 10.709160295771582, 0.00038088954032225003,  53705.833452942745, 0.039683445334930886, 0.8266976407556894, 0.0032374425160913616,  0.015054022735394869, 0.0041177634362026235, 16.143395348837206, 0.019139534883720933, SNPY
2006ev, 322.746917, 13.989222, 0.0287, 0.027057648155491495, 53993.59, 54039.52, CSP_SNPY, 35.64198164742726, 0.012588380036277227, 10.748696257484479, 0.0007780565778547196,  53990.09466100468, 0.23575913653227248, 0.8442979872999352, 0.007367044354524965,  0.2222497719593792, 0.008834687750734564, 17.527727272727272, 0.05054545454545455, SNPY
2006gj, 49.399167, -1.691722, 0.0284, 0.027522378419553843, 53998.83, 54096.59, CSP_SNPY, 35.61873389184679, 0.01285679018407017, 10.669635209313917, 0.0012479558890463075,  54001.02017429273, 0.07196539006205366, 0.6502230475717449, 0.008950698990693912,  0.26644826170867497, 0.011627495637584842, 17.846, 0.02627272727272727, SNPY
2007ol, 24.34875, -0.312, 0.0559, 0.054025413754148294, 54409.79, 54422.66, CSP_SNPY, 37.13519391403963, 0.06268784143300157, 10.289335360151146, 0.0023866700569406345,  54413.536682784, 0.22388721083477775, 0.7154924724253254, 0.04304250779359657,  -0.09042521290019757, 0.04601647496423048, 18.273368421052634, 0.032421052631578955, SNPY
2005mc, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, CSP_SNPY, 35.18960488107766, 0.015133026650237594, 13.004227849812548, 0.0005277710097430307,  53734.70165631961, 0.1742822604967851, 0.6375193337707141, 0.010088808265262907,  0.2524751976435286, 0.014047140056014755, 17.485722222222222, 0.014944444444444446, SNPY
2008go, 332.686792, -20.788111, 0.0623, 0.06071935029069365, 54764.54, 54776.58, CSP_SNPY, 36.978793663376784, 0.025133960037019985, 10.908950503065558, 0.0017321529641886853,  54766.37729019217, 0.2629798698798831, 0.9086446375484699, 0.0315965371351917,  0.11113175893243941, 0.011998278109980083, 18.461103448275864, 0.028586206896551718, SNPY
2006kf, 55.460333, 8.156944, 0.0213, 0.02090716743106265, 54036.81, 54127.64, CSP_SNPY, 34.81674635381723, 0.011015103417082414, 10.847440404300489, 0.0005624670042569112,  54041.84976762156, 0.05305288042355716, 0.7298873285382901, 0.005782230911381195,  0.009456467929260986, 0.008076776009898572, 16.73708, 0.030220000000000004, SNPY
