objname, ra, dec, z, MJDs, MJDe, origin, chi2, chi2_err, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2006gt, 14.072083, -1.629444, 0.0448, 54001.67, 54076.62, CSP, 92.42762420876282, 1.6504932894421933, 36.5872377103584, 0.022116522541796062, 0.5751224004003465, 0.01110648455799772, 54003.998789056466, 0.07646603462591871, 0.0026547905285083193, 0.015362217756342746, 10.111136946318842, 0.0037506224022017622
2006bd, 174.618583, 20.526222, 0.0257, 53822.75, 53872.57, CSP, 640.1709554914629, 19.399119863377663, 35.239202620853966, 0.129560972221867, 0.8880873181014151, 0.04381122710993384, 53808.66336156497, 1.9076604442596543, 0.4752141307593054, 0.07180165883395663, 12.327227584343689, 0.0010375416044816365
2008bt, 162.570333, -12.108889, 0.0154, 54571.61, 54651.47, CSP, 320.40707678925895, 4.9293396429116765, 34.01284785979987, 0.03105357411258831, 0.5023450308363733, 0.012157597673120362, 54572.652164964034, 0.10250879408626233, 0.24191130900037502, 0.019567813119848548, 10.724456328263154, 0.0005206097319448586
2006mr, 50.679333, -37.208222, 0.0059, 54045.86, 54147.57, CSP, 988.927707956391, 7.1661428112781955, 32.00520138930511, 0.049624306394273475, 0.23795010292946295, 0.004964063256419384, 54051.42312185572, 0.0769562777021238, 0.019212461262061303, 0.02063924851979581, nan, nan
2007ba, 229.177625, 7.396611, 0.0385, 54190.83, 54255.61, CSP, 272.43831860096185, 3.8371594169149557, 35.56143898006861, 0.034762229465511905, 0.549092006975731, 0.010784483668533516, 54198.10505828038, 0.07207005203766269, 0.13904553571532946, 0.019045089507773998, 11.141102329068884, 0.0008626674562506656
2005ke, 53.768125, -24.944111, 0.0049, 53689.69, 53819.51, CSP, 1468.2704320136834, 8.067419956119139, 31.657939468884535, 0.032244578913741336, 0.4720885253017832, 0.009118846275508944, 53699.44401118608, 0.06607279601968892, 0.32164717061458054, 0.0177551693464671, 9.964494815008727, 0.0001733967672340931
2008bd, 154.597167, -13.103111, 0.0301, 54541.7, 54607.65, CSP, 134.6785874201601, 2.589972835003079, 35.78454170284122, 0.050614271778405884, 0.441039160380559, 0.01675144659002409, 54531.375941435355, 0.5872661748615364, -0.006589868140715011, 0.028028274780998095, 11.066906876654066, 0.0008724495479113708
2021bmu, 19.51915847593583, 14.553705080213907, 0.053, 59231.23734385, 59257.24554225, ATLAS-ZTF, 51.71839751689184, 0.28892959506643484, 35.799292295729806, 0.11774240446371675, 0.42484661274892904, 0.02119943092179924, 59248.05665354352, 0.29086270676598514, 0.5870255574975476, 0.045722681992602654, 10.270301179807593, 0.004885489470990093
2021oyx, 358.86536871987545, -34.87484410425709, 0.049921, 59377.58692185, 59465.45057245, ATLAS, 318.9748097909593, 7.2494274952490745, 38.7654514908005, 0.3427044260755225, 1.8537699397432355, 0.3331452760386914, 59364.38970111434, 13.146222736777519, -0.9747794973618497, 0.4248208711085249, 10.493743273271779, 0.020040484026090783
2018jag, 15.951294449789689, 10.592351746809557, 0.04, 58448.37828555, 58492.23770405, ATLAS-ZTF, 294.86513740123416, 1.4313841621419134, 36.786677927536225, 0.08927230612141211, 0.6262331570876598, 0.029317738025395026, 58454.286771673294, 0.23015293123731415, 0.012364867349890084, 0.03445935342683413, 11.024363619703006, 0.0011197732616178959
