objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err, cov00, cov01, cov02, cov03, cov10, cov11, cov12, cov13, cov20, cov21, cov22, cov23, cov30, cov31, cov32, cov33
2005bl, 181.051083, 20.406889, 0.0241, 0.02475539637032309, 53476.61, 53512.57, CSP, 53483.11222365715, 0.0176518696025596, 0.0005641343326630737, 3.2883004521728873e-06, -4.899815930005387, 0.06432932701254845, 0.5696528027948085, 0.0049809304376775025, 16.30930648221415, 0.01890091467511694, 8.920765377315602, 0.01764662955965954, 0.0003115885117291009, -1.2338202012964078e-08, 0.00027235565140609465, 3.221373719864432e-05, -1.2338202012964078e-08, 1.0812919863760414e-11, -1.6181734052113587e-07, -1.3854505897886587e-08, 0.00027235565140609465, -1.6181734052113587e-07, 0.004144030734869932, 0.00019197260507740327, 3.221373719864432e-05, -1.3854505897886587e-08, 0.00019197260507740327, 2.48096680249822e-05
2006bd, 174.618583, 20.526222, 0.0257, 0.025660398620783453, 53822.75, 53872.57, CSP, 53810.392280268905, 0.1417983373394236, 0.0012144236013851002, 1.8530835642414478e-05, -1.716150603001807, 0.04464864846680883, 0.3951992931126959, 0.008941717129528527, 16.483809567236438, 0.03211174589953519, 12.327227584343689, 0.0010375416044816365, 0.020106811384149135, -1.650097899891999e-06, -0.003502472855606626, 0.0005458364649171271, -1.650097899891999e-06, 3.433918696061788e-10, -8.850631168751916e-08, -1.541925369877989e-07, -0.003502472855606626, -8.850631168751916e-08, 0.001993561875993082, 7.449373351976567e-05, 0.0005458364649171271, -1.541925369877989e-07, 7.449373351976567e-05, 7.995430522450389e-05
2006gt, 14.072083, -1.629444, 0.0448, 0.042419119009330715, 54001.67, 54076.62, CSP, 54002.98352461894, 0.06217687519529136, 0.0007899719801907305, 3.155488409693971e-06, -2.269970801290972, 0.03289116292728078, 0.2165294602276597, 0.0036184703718589546, 17.398407457395287, 0.012665196390406306, 10.111136946318842, 0.0037506224022017622, 0.003865964792962606, -7.058584845089079e-08, -0.0005888665394889285, -1.0194525504360261e-05, -7.058584845089079e-08, 9.957107103712987e-12, -1.3593861683708744e-08, -7.949407214855048e-09, -0.0005888665394889285, -1.3593861683708744e-08, 0.0010818482553056961, 8.825297808081224e-06, -1.0194525504360261e-05, -7.949407214855048e-09, 8.825297808081224e-06, 1.309332783202108e-05
2007N, 192.255208, -9.452833, 0.0129, 0.015195347623445987, 54123.82, 54213.67, CSP, 54113.0241032369, 0.051206244781496935, 0.0024999103680209155, 1.921465906675755e-05, -2.9930357885059595, 0.016325234088099938, 0.5465739724968736, 0.004874157915976528, 15.05346399200956, 0.016936799634550224, 9.587336481996891, 0.0008157243912581323, 0.002622079980435463, -7.33136443811755e-07, -0.00033477260940031515, 0.00016080294950639163, -7.33136443811755e-07, 3.692031230517281e-10, -2.355642233521569e-08, -8.825782258390481e-08, -0.00033477260940031515, -2.355642233521569e-08, 0.00026651474397184255, 2.114935671000159e-06, 0.00016080294950639163, -8.825782258390481e-08, 2.114935671000159e-06, 2.3757415389876646e-05
2007ba, 229.177625, 7.396611, 0.0385, 0.038133865739342986, 54190.83, 54255.61, CSP, 54174.73505593769, 0.08562351142973057, 0.0018841666046932166, 1.3877957898817268e-05, 4.999999999980648, 0.0014571082247352152, 0.23007460099087648, 0.006007026767426056, 17.5265794340116, 0.019607304297952592, 11.141102329068884, 0.0008626674562506656, 0.007331390629103048, -9.961938558814303e-07, 3.2427989097629616e-12, 0.0002884739617420616, -9.961938558814303e-07, 1.925977154413446e-10, 7.756757144094616e-15, -7.03332992617189e-08, 3.2427989097629616e-12, 7.756757144094616e-15, 1.1279668027784596e-13, -8.54753219679349e-13, 0.0002884739617420616, -7.03332992617189e-08, -8.54753219679349e-13, 3.6084370584573135e-05
2008bd, 154.597167, -13.103111, 0.0301, 0.031300703090299295, 54541.7, 54607.65, CSP, 54522.0732025374, 0.1570283042747178, 0.001790247104186559, 3.3945008037353526e-05, -2.395453621546084, 0.058797452244801596, 0.08103204448829576, 0.013317885226446533, 16.894737653562906, 0.04560507704118185, 11.066906876654066, 0.0008724495479113708, 0.024657958093679114, 8.924047515540564e-07, -0.006607547773175897, -0.0010018948607015902, 8.924047515540564e-07, 1.1522635706559955e-09, -1.338433060396543e-06, -4.1179038941544424e-07, -0.006607547773175897, -1.338433060396543e-06, 0.003457347241391417, 0.0006013062226240357, -0.0010018948607015902, -4.1179038941544424e-07, 0.0006013062226240357, 0.0001773660669048028
2008bt, 162.570333, -12.108889, 0.0154, 0.016446211765812194, 54571.61, 54651.47, CSP, 54568.77543763968, 0.0010825368044606876, 0.003312846286230737, 9.588794435754784e-06, -2.22891911100925, 0.014269430700507346, 0.4385971329948794, 0.0024442578222385962, 15.186452706223873, 0.008227838844953704, 10.724456328263154, 0.0005206097319448586, 1.171885929210138e-06, -2.4786499966077913e-10, -1.4371317912219975e-07, 2.1763323955116867e-08, -2.4786499966077913e-10, 9.194497873116191e-11, -5.789776209953881e-08, -1.9925115651023655e-08, -1.4371317912219975e-07, -5.789776209953881e-08, 0.00020361734241495133, 7.021879290702409e-06, 2.1763323955116867e-08, -1.9925115651023655e-08, 7.021879290702409e-06, 5.974396301574565e-06
2018lph, 250.902241666667, 33.5336, 0.08, 0.07984945051024146, 58204.446608799975, 58600.39467590023, ZTF, 58311.44534338365, 0.07945791876409203, 0.00029760165352747236, 3.2301947393735196e-06, -2.0736002049625704, 0.1100731105027819, 0.12461810290927029, 0.010452246157831548, 18.762288872227174, 0.037318667841670185, 10.34149581173226, 0.004396506937327917, 0.006313561120530709, 5.371388161766632e-08, 0.0033650941264374303, -0.00013681469380788972, 5.371388161766632e-08, 1.0434158054276362e-11, -9.947276017649166e-08, -2.5260736823007548e-08, 0.0033650941264374303, -9.947276017649166e-08, 0.01211845429632701, -4.035245122547963e-06, -0.00013681469380788972, -2.5260736823007548e-08, -4.035245122547963e-06, 0.00010924944974390437
2019cp, 163.7085070947211, -7.38096439111269, 0.05, 0.051879365434930505, 58486.59136235, 58610.37815865, ATLAS-ZTF, 58492.28640908872, 0.31079080617564614, 0.000256121371195039, 1.0751498996725495e-05, -2.56132705223004, 0.1639545046378943, 0.363571667703476, 0.03480950223912797, 18.13855884565889, 0.11604711422536566, 10.54711612988143, 0.0023269572276193662, 0.09659095490629449, 8.809956615910624e-07, -0.0334263950016534, -0.0042665662854289525, 8.809956615910624e-07, 1.1559473067658933e-10, -3.244182280038419e-07, -3.5459069550194646e-07, -0.0334263950016534, -3.244182280038419e-07, 0.026894152084094694, 0.0009150415022744037, -0.0042665662854289525, -3.5459069550194646e-07, 0.0009150415022744037, 0.001211701446135855
2019luv, 328.812516666667, -12.1489944444444, 0.06, 0.05880631497338339, 58429.1904397998, 58812.13802079996, ZTF, 58691.4862426821, 0.31704306017854833, 0.00023593386364644694, 9.212899297043033e-06, -2.5828934346539563, 0.3558876459523228, 0.5173023803049801, 0.029587497578109016, 17.76628051180149, 0.11196623043408697, 9.828101197306356, 0.006206509407890266, 0.10051637730748099, -1.0917105408392165e-06, 0.008615063602138076, 0.0014445319583728513, -1.0917105408392165e-06, 8.487751345745603e-11, -1.1081224309033137e-06, -2.411176672126607e-07, 0.008615063602138076, -1.1081224309033137e-06, 0.12694883901439183, 0.002925409962441582, 0.0014445319583728513, -2.411176672126607e-07, 0.002925409962441582, 0.0008754200129346069
