# Created by M.D. Woods -- 2024-12-18 10:43:39.545308 -- NUM TARGETS: 304
# Avg. 'c': -0.004389964154605264 +/- 0.034337753815789476
# Avg. 'x0': 0.003279092799342105 +/- 0.00010683052467105264
# Avg. 'x1': -0.11439973888157896 +/- 0.24672374506578948
objname, ra, dec, z, z_cmb, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, hostMass, hostMass_err
2019ecs, 160.885375, 48.445639, 0.04132, 0.04204, ATLAS_NORM, 36.43437, 0.11407, 3.66056e-03, 7.04227e-05, 0.17425, 0.1323, 58611.5469, 0.1436, -1.27038e-01, 0.0168934, 9.398191926448376, 0.003324888721691041
2019eiy, 265.224311043, 38.7354072064, 0.03956, 0.03933, ATLAS_NORM, 36.19510, 0.11449, 3.63162e-03, 9.59382e-05, -4.89158e-01, 0.11984, 58618.6289, 0.106, -6.87990e-02, 0.0190563, 10.825817045941434, 0.0007322527223712093
2019ekb, 213.048401903, 40.0986428271, 0.06714, 0.06774, ATLAS_NORM, 37.24125, 0.1219, 1.04118e-03, 4.49192e-05, -6.00079e-01, 0.2412, 58617.5859, 0.2254, 4.34153e-02, 0.0348379, 10.099941907193212, 0.006546512989334579
2019eow, 258.496638281, 3.49240579181, 0.07190, 0.07187, ATLAS_NORM, 37.36150, 0.14164, 1.20991e-03, 0.000126481, -1.21930e+00, 0.36865, 58617.0000, 0.44, -9.84121e-02, 0.0762423, 10.727031696537452, 0.0033150000862467
2019fcw, 228.032700503, 1.06049225624, 0.08782, 0.08848, ATLAS_NORM, 38.09450, 0.13076, 6.98796e-04, 4.505e-05, -7.65144e-01, 0.37157, 58623.5625, 0.3053, -1.25814e-01, 0.0471593, 9.648021760677736, 0.008330831353285393
2019fdc, 240.277677329, 49.0097439736, 0.04260, 0.04274, ATLAS_NORM, 36.26461, 0.11214, 3.83768e-03, 7.99376e-05, 0.64373, 0.11253, 58630.6016, 0.1213, -5.62366e-02, 0.015839, 10.406241066585798, 0.0018427325651388354
2019ftd, 194.4213978, -24.476642533333, 0.04795, 0.04906, ATLAS_NORM, 36.82461, 0.1239, 2.26791e-03, 7.44314e-05, 0.55350, 0.2375, 58635.2812, 0.1472, -5.69342e-02, 0.0267411, 10.690139036740852, 0.0018671549179356938
2019ftg, 193.23804619167, -13.036813233333, 0.06059, 0.06178, ATLAS_NORM, 37.31987, 0.12971, 1.25727e-03, 4.04845e-05, -7.63770e-01, 0.29713, 58635.1055, 0.1685, -7.35436e-02, 0.0304725, 10.144693626280722, 0.0035439704018460296
2019fyb, 154.9735369875, 22.105147975, 0.04383, 0.04493, ATLAS_NORM, 37.01016, 0.14656, 1.40578e-03, 4.69201e-05, 0.63244, 0.60987, 58637.4414, 0.4414, 7.45875e-02, 0.0326145, 9.640230572947852, 0.007170966813338592
2019gci, 189.898190314, 45.3771470742, 0.04692, 0.04765, ATLAS_NORM, 37.06664, 0.11588, 2.46574e-03, 5.50188e-05, -9.87469e-01, 0.15373, 58643.6836, 0.0803, -2.67991e-01, 0.0200834, 10.36154011007756, 0.0013222657891389924
2019gcj, 163.7759561, 57.6489345, 0.04616, 0.04672, ATLAS_NORM, 36.82267, 0.12472, 1.68908e-03, 4.72018e-05, -1.71008e+00, 0.25582, 58644.9219, 0.1191, -5.79152e-02, 0.0284753, 9.31826988562558, 0.00391087442434124
2019ged, 151.171708, 40.04205, 0.06339, 0.06425, ATLAS_NORM, 37.52434, 0.15718, 1.59109e-03, 6.21794e-05, 1.81073, 0.38398, 58644.8984, 0.0412, -1.08275e-01, 0.0416253, 8.92004390763621, 0.013047473350196338
2019hoc, 259.103958, 36.114119, 0.03688, 0.03677, ATLAS_NORM, 35.88164, 0.11637, 4.75730e-03, 9.99679e-05, 1.29894, 0.14006, 58665.9180, 0.1228, 3.66373e-02, 0.0162199, 7.440781537893724, 0.057340386675447136
2019hqg, 235.100708, 41.7837, 0.07000, 0.07027, ATLAS_NORM, 37.97785, 0.12961, 8.89612e-04, 2.69783e-05, 1.01228, 0.30286, 58660.5039, 0.35, -8.41542e-02, 0.0281059, 9.790805910059877, 0.004237061312127995
2019hvj, 231.278875, 11.585211, 0.08524, 0.08580, ATLAS_NORM, 37.78136, 0.13569, 9.14182e-04, 3.15855e-05, 1.25259, 0.38325, 58664.6641, 0.3665, -7.40472e-03, 0.0329378, 10.478720870633714, 0.0023359945169050184
2019hyj, 353.752082224, 23.139272368, 0.05786, 0.05661, ATLAS_NORM, 37.17355, 0.12788, 1.38007e-03, 5.49878e-05, -1.68833e-01, 0.26607, 58664.5195, 0.3193, -2.38350e-02, 0.0327225, 10.018023402898113, 0.004300989298761245
2019hzd, 229.309583, -25.197311, 0.05052, 0.05115, ATLAS_NORM, 36.87539, 0.14313, 1.43362e-03, 6.67273e-05, -9.54596e-04, 0.46899, 58665.6016, 0.2689, 8.32351e-02, 0.0350909, 10.493617405485217, 0.0028791042064047565
2019iei, 209.030021, 37.5643489, 0.06148, 0.06216, ATLAS_NORM, 37.29635, 0.13198, 1.33909e-03, 4.66768e-05, -1.22196e+00, 0.28559, 58669.8906, 0.2545, -1.15705e-01, 0.0348715, 8.314966752640185, 0.018858486884729467
2019igg, 229.8108381, 7.8664616, 0.04728, 0.04785, ATLAS_NORM, 36.67466, 0.11178, 2.56605e-03, 6.59192e-05, 0.28408, 0.18672, 58673.6172, 0.1259, -6.56123e-02, 0.0188882, 10.173936338505037, 0.0018483017760344425
2019iml, 262.822333, 36.45065, 0.04945, 0.04927, ATLAS_NORM, 36.70829, 0.11602, 1.77533e-03, 5.21811e-05, -2.00135e+00, 0.17172, 58674.5039, 0.1532, -5.08406e-02, 0.0241894, 9.815334581037394, 0.020085090133360167
2019kpv, 356.773333, -34.709739, 0.04249, 0.04154, ATLAS_NORM, 36.23879, 0.11822, 3.67916e-03, 8.14363e-05, 1.83605, 0.15421, 58684.1797, 0.1112, 3.62061e-02, 0.0177342, 10.065555380393421, 0.047693375850321185
2019mrj, 236.67979, 28.197915, 0.07630, 0.07665, ATLAS_NORM, 37.93860, 0.18309, 7.15297e-04, 3.66054e-05, 0.85802, 0.52419, 58711.8945, 0.351, 1.26346e-02, 0.0507099, 10.822091928885383, 0.0028992314075654523
2019myw, 333.011107522, 0.0522001750839, 0.05677, 0.05552, ATLAS_NORM, 37.11257, 0.15699, 6.74925e-04, 5.56696e-05, -2.30849e+00, 0.38897, 58712.6172, 0.1601, 0.17853, 0.0636248, 10.67410854782505, 0.0019386321485062312
2019nft, 32.151611298, 6.1122095141, 0.06925, 0.06830, ATLAS_NORM, 37.82313, 0.20238, 1.10385e-03, 3.99068e-05, 1.20022, 0.42008, 58721.2969, 0.4425, -1.04209e-01, 0.0540482, 9.991463620417319, 0.008793411559909705
2019njp, 51.690667, 1.183289, 0.04851, 0.04794, ATLAS_NORM, 36.86600, 0.12075, 2.17299e-03, 6.3064e-05, -3.84547e-01, 0.17477, 58721.9258, 0.2268, -1.06268e-01, 0.0247388, 9.119804080444716, 0.012436044105391435
2019nwf, 61.2707482009, -6.60481597252, 0.06464, 0.06429, ATLAS_NORM, 37.19586, 0.12807, 1.35242e-03, 4.49769e-05, 1.01157, 0.28181, 58723.1523, 0.2176, 4.05323e-02, 0.03105, 8.705651373922983, 0.028520370165661668
2019obt, 5.1442202941176, 5.7550457882353, 0.05601, 0.05476, ATLAS_NORM, 37.15341, 0.12605, 1.14269e-03, 2.72245e-05, 0.16810, 0.24617, 58726.7930, 0.249, 8.03645e-02, 0.0239138, 10.348021635740986, 0.003915842981721139
2019odb, 247.472714286, 37.5839928571, 0.07344, 0.07353, ATLAS_NORM, 37.77136, 0.18086, 5.44607e-04, 2.57439e-05, 0.93486, 0.60591, 58726.3164, 0.4558, 0.19341, 0.048813, 10.430832072530944, 0.003050290126742071
2019oke, 316.564780499, -7.41986978638, 0.06934, 0.06825, ATLAS_NORM, 37.35966, 0.15256, 1.11488e-03, 4.20379e-05, -4.96286e-01, 0.37564, 58727.7031, 0.2202, -2.43553e-02, 0.0396971, 9.54543695518737, 0.007332377091079547
2019omi, 57.249125, 0.926919, 0.03579, 0.03534, ATLAS_NORM, 36.06224, 0.12299, 3.90241e-03, 0.000131678, -1.71076e+00, 0.13134, 58730.3477, 0.1291, -1.14662e-01, 0.0236629, 10.429057595858996, 0.001971375859637
2019oml, 45.0844949917, 18.7436121626, 0.03300, 0.03230, ATLAS_NORM, 35.79035, 0.12444, 4.62053e-03, 0.000177324, -8.98361e-01, 0.13521, 58726.1641, 0.1249, -3.65439e-02, 0.0214128, 10.344446567190573, 0.001799489608593005
2019one, 31.09978786, 3.18681441796, 0.07684, 0.07587, ATLAS_NORM, 37.70201, 0.16254, 9.26895e-04, 3.66884e-05, 1.21450, 0.41514, 58722.9414, 0.6978, 1.50447e-02, 0.0443879, 8.97182287294684, 0.01916659518012272
2019ons, 328.521042, -16.159519, 0.03679, 0.03568, ATLAS_NORM, 35.63598, 0.12855, 5.92530e-03, 0.00023235, -6.04930e-01, 0.16289, 58734.5078, 0.1602, -6.46043e-02, 0.0305905, 11.612171383266695, 0.0058220769979040595
2019ope, 346.718985556, -37.8503288889, 0.06044, 0.05951, ATLAS_NORM, 37.06636, 0.14104, 1.29104e-03, 5.81785e-05, 0.26394, 0.29832, 58724.9531, 0.3503, 6.82672e-02, 0.0423704, 10.615947774168408, 0.05764578822429268
2019opx, 28.1618995206, -6.35612392114, 0.08786, 0.08687, ATLAS_NORM, 38.05781, 0.20807, 5.73321e-04, 3.36964e-05, -1.85469e+00, 0.61773, 58728.1797, 0.5805, -8.94524e-02, 0.0667703, 10.68054148348598, 0.004092516391266542
