# Created by M.D. Woods -- 2024-12-13 12:46:37.127385 -- HUBBLE RESID STD: 0.18085991177428387
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 3.2), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': -0.01044533231640625 +/- 0.02987041234375
# Avg. 'x1': -0.029012013945312505 +/- 0.2419791515625
objname, ra, dec, z, z_cmb, origin, mu, mu_err, x1, x1_err, t0, t0_err, c, c_err, hostMass, hostMass_err
2019drp, 215.510884285, 30.067005557, 0.08523, 0.08592, ATLAS_NORM, 38.08407, 0.1358, -0.819887, 0.359, 58598.6016, 0.3887, -0.102553, 0.0420529, 10.62150165885599, 0.005050255384656327
2019dwd, 160.7275312, 21.6247591, 0.05123, 0.05236, ATLAS_NORM, 36.74883, 0.11332, 0.51224, 0.15288, 58611.8438, 0.1441, -0.0913558, 0.0190822, 10.30682270780871, 0.0021519127761391696
2019dwq, 223.565125, 4.792989, 0.02755, 0.02825, ATLAS_NORM, 35.47139, 0.12225, 0.19606, 0.0707957, 58610.2734, 0.0871, -0.0933365, 0.013085, 10.408931986335405, 0.0008442212225731561
2019dyo, 135.278636862, 52.6510378974, 0.02983, 0.03036, ATLAS_NORM, 35.67444, 0.12031, 1.05194, 0.17927, 58613.3203, 0.1313, -0.0611489, 0.0190306, 10.169736783638253, 0.0016767286434241449
2019ecs, 160.885375, 48.445639, 0.04132, 0.04204, ATLAS_NORM, 36.43437, 0.11407, 0.17425, 0.1323, 58611.5469, 0.1436, -0.127038, 0.0168934, 9.398191926448376, 0.003324888721691041
2019eiy, 265.224311043, 38.7354072064, 0.03956, 0.03933, ATLAS_NORM, 36.1951, 0.11449, -0.489158, 0.11984, 58618.6289, 0.106, -0.068799, 0.0190563, 10.825817045941434, 0.0007322527223712093
2019ekb, 213.048401903, 40.0986428271, 0.06714, 0.06774, ATLAS_NORM, 37.24125, 0.1219, -0.600079, 0.2412, 58617.5859, 0.2254, 0.0434153, 0.0348379, 10.099941907193212, 0.006546512989334579
2019eow, 258.496638281, 3.49240579181, 0.0719, 0.07187, ATLAS_NORM, 37.3615, 0.14164, -1.2193, 0.36865, 58617.0, 0.44, -0.0984121, 0.0762423, 10.727031696537452, 0.0033150000862467
2019fcw, 228.032700503, 1.06049225624, 0.08782, 0.08848, ATLAS_NORM, 38.0945, 0.13076, -0.765144, 0.37157, 58623.5625, 0.3053, -0.125814, 0.0471593, 9.648021760677736, 0.008330831353285393
2019fdc, 240.277677329, 49.0097439736, 0.0426, 0.04274, ATLAS_NORM, 36.26461, 0.11214, 0.64373, 0.11253, 58630.6016, 0.1213, -0.0562366, 0.015839, 10.406241066585798, 0.0018427325651388354
2019ftd, 194.4213978, -24.476642533333, 0.04795, 0.04906, ATLAS_NORM, 36.82461, 0.1239, 0.5535, 0.2375, 58635.2812, 0.1472, -0.0569342, 0.0267411, 10.690139036740852, 0.0018671549179356938
2019ftg, 193.23804619167, -13.036813233333, 0.06059, 0.06178, ATLAS_NORM, 37.31987, 0.12971, -0.76377, 0.29713, 58635.1055, 0.1685, -0.0735436, 0.0304725, 10.144693626280722, 0.0035439704018460296
2019fyb, 154.9735369875, 22.105147975, 0.04383, 0.04493, ATLAS_NORM, 37.01016, 0.14656, 0.63244, 0.60987, 58637.4414, 0.4414, 0.0745875, 0.0326145, 9.640230572947852, 0.007170966813338592
2019gci, 189.898190314, 45.3771470742, 0.04692, 0.04765, ATLAS_NORM, 37.06664, 0.11588, -0.987469, 0.15373, 58643.6836, 0.0803, -0.267991, 0.0200834, 10.36154011007756, 0.0013222657891389924
2019gcj, 163.7759561, 57.6489345, 0.04616, 0.04672, ATLAS_NORM, 36.82267, 0.12472, -1.71008, 0.25582, 58644.9219, 0.1191, -0.0579152, 0.0284753, 9.31826988562558, 0.00391087442434124
2019ged, 151.171708, 40.04205, 0.06339, 0.06425, ATLAS_NORM, 37.52434, 0.15718, 1.81073, 0.38398, 58644.8984, 0.0412, -0.108275, 0.0416253, 8.92004390763621, 0.013047473350196338
2019hoc, 259.103958, 36.114119, 0.03688, 0.03677, ATLAS_NORM, 35.88164, 0.11637, 1.29894, 0.14006, 58665.918, 0.1228, 0.0366373, 0.0162199, 7.440781537893724, 0.057340386675447136
2019hqg, 235.100708, 41.7837, 0.07, 0.07027, ATLAS_NORM, 37.97785, 0.12961, 1.01228, 0.30286, 58660.5039, 0.35, -0.0841542, 0.0281059, 9.790805910059877, 0.004237061312127995
2019hvj, 231.278875, 11.585211, 0.08524, 0.0858, ATLAS_NORM, 37.78136, 0.13569, 1.25259, 0.38325, 58664.6641, 0.3665, -0.00740472, 0.0329378, 10.478720870633714, 0.0023359945169050184
2019hyj, 353.752082224, 23.139272368, 0.05786, 0.05661, ATLAS_NORM, 37.17355, 0.12788, -0.168833, 0.26607, 58664.5195, 0.3193, -0.023835, 0.0327225, 10.018023402898113, 0.004300989298761245
2019hzd, 229.309583, -25.197311, 0.05052, 0.05115, ATLAS_NORM, 36.87539, 0.14313, -0.000954596, 0.46899, 58665.6016, 0.2689, 0.0832351, 0.0350909, 10.493617405485217, 0.0028791042064047565
2019iei, 209.030021, 37.5643489, 0.06148, 0.06216, ATLAS_NORM, 37.29635, 0.13198, -1.22196, 0.28559, 58669.8906, 0.2545, -0.115705, 0.0348715, 8.314966752640185, 0.018858486884729467
2019igg, 229.8108381, 7.8664616, 0.04728, 0.04785, ATLAS_NORM, 36.67466, 0.11178, 0.28408, 0.18672, 58673.6172, 0.1259, -0.0656123, 0.0188882, 10.173936338505037, 0.0018483017760344425
2019iml, 262.822333, 36.45065, 0.04945, 0.04927, ATLAS_NORM, 36.70829, 0.11602, -2.00135, 0.17172, 58674.5039, 0.1532, -0.0508406, 0.0241894, 9.815334581037394, 0.020085090133360167
2019kpv, 356.773333, -34.709739, 0.04249, 0.04154, ATLAS_NORM, 36.23879, 0.11822, 1.83605, 0.15421, 58684.1797, 0.1112, 0.0362061, 0.0177342, 10.065555380393421, 0.047693375850321185
2019mrj, 236.67979, 28.197915, 0.0763, 0.07665, ATLAS_NORM, 37.9386, 0.18309, 0.85802, 0.52419, 58711.8945, 0.351, 0.0126346, 0.0507099, 10.822091928885383, 0.0028992314075654523
2019myw, 333.011107522, 0.0522001750839, 0.05677, 0.05552, ATLAS_NORM, 37.11257, 0.15699, -2.30849, 0.38897, 58712.6172, 0.1601, 0.17853, 0.0636248, 10.67410854782505, 0.0019386321485062312
2019njp, 51.690667, 1.183289, 0.04851, 0.04794, ATLAS_NORM, 36.866, 0.12075, -0.384547, 0.17477, 58721.9258, 0.2268, -0.106268, 0.0247388, 9.119804080444716, 0.012436044105391435
2019nwf, 61.2707482009, -6.60481597252, 0.06464, 0.06429, ATLAS_NORM, 37.19586, 0.12807, 1.01157, 0.28181, 58723.1523, 0.2176, 0.0405323, 0.03105, 8.705651373922983, 0.028520370165661668
2019obt, 5.1442202941176, 5.7550457882353, 0.05601, 0.05476, ATLAS_NORM, 37.15341, 0.12605, 0.1681, 0.24617, 58726.793, 0.249, 0.0803645, 0.0239138, 10.348021635740986, 0.003915842981721139
2019odb, 247.472714286, 37.5839928571, 0.07344, 0.07353, ATLAS_NORM, 37.77136, 0.18086, 0.93486, 0.60591, 58726.3164, 0.4558, 0.19341, 0.048813, 10.430832072530944, 0.003050290126742071
2019oke, 316.564780499, -7.41986978638, 0.06934, 0.06825, ATLAS_NORM, 37.35966, 0.15256, -0.496286, 0.37564, 58727.7031, 0.2202, -0.0243553, 0.0396971, 9.54543695518737, 0.007332377091079547
2019omi, 57.249125, 0.926919, 0.03579, 0.03534, ATLAS_NORM, 36.06224, 0.12299, -1.71076, 0.13134, 58730.3477, 0.1291, -0.114662, 0.0236629, 10.429057595858996, 0.001971375859637
2019oml, 45.0844949917, 18.7436121626, 0.033, 0.0323, ATLAS_NORM, 35.79035, 0.12444, -0.898361, 0.13521, 58726.1641, 0.1249, -0.0365439, 0.0214128, 10.344446567190573, 0.001799489608593005
2019one, 31.09978786, 3.18681441796, 0.07684, 0.07587, ATLAS_NORM, 37.70201, 0.16254, 1.2145, 0.41514, 58722.9414, 0.6978, 0.0150447, 0.0443879, 8.97182287294684, 0.01916659518012272
2019ons, 328.521042, -16.159519, 0.03679, 0.03568, ATLAS_NORM, 35.63598, 0.12855, -0.60493, 0.16289, 58734.5078, 0.1602, -0.0646043, 0.0305905, 11.612171383266695, 0.0058220769979040595
2019ope, 346.718985556, -37.8503288889, 0.06044, 0.05951, ATLAS_NORM, 37.06636, 0.14104, 0.26394, 0.29832, 58724.9531, 0.3503, 0.0682672, 0.0423704, 10.615947774168408, 0.05764578822429268
2019pff, 251.457667, 45.086311, 0.05965, 0.05964, ATLAS_NORM, 37.26126, 0.11801, 0.83082, 0.3019, 58742.8438, 0.2231, -0.0723384, 0.02972, 10.032562459600875, 0.0034929234100036207
2019sla, 122.1199006, 1.4739389, 0.06276, 0.06367, ATLAS_NORM, 37.37119, 0.12725, -2.18615, 0.23568, 58777.9414, 0.0239, -0.0964535, 0.0368048, 10.190152663303401, 0.0027626919796011344
2019vdg, 95.8830948768, 50.3999618559, 0.03698, 0.03711, ATLAS_NORM, 36.12278, 0.11592, 0.11222, 0.16703, 58819.4922, 0.1163, -0.0248426, 0.0237174, 10.50774711670256, 0.0014205132657044933
2019vnk, 60.1814571894, -9.00047911238, 0.06332, 0.06295, ATLAS_NORM, 37.31654, 0.12343, 0.35248, 0.31199, 58820.7344, 0.2481, 0.000442458, 0.0563535, 9.60403194909799, 0.007496436228197195
2019vpz, 19.639125, -0.228239, 0.04725, 0.04615, ATLAS_NORM, 36.328, 0.1175, -0.622262, 0.25117, 58826.2227, 0.2147, 0.1458, 0.0390766, 10.496995945424228, 0.0017043022517981964
2019wmx, 42.696083, 33.512589, 0.03998, 0.03928, ATLAS_NORM, 36.24204, 0.11324, 0.70866, 0.12056, 58842.1523, 0.1097, -0.126036, 0.016314, 10.506486596766512, 0.0015985210642747198
2019wqd, 218.2942912, 6.0635603, 0.05522, 0.05603, ATLAS_NORM, 37.00479, 0.12144, 0.62551, 0.26981, 58843.5781, 0.5207, -0.0536051, 0.0355411, 9.662762419829395, 0.005981541817344014
2019wzy, 29.9178682, 5.9819679, 0.07501, 0.07402, ATLAS_NORM, 37.7443, 0.12961, 1.32513, 0.28914, 58848.6211, 0.2832, -0.0605394, 0.033814, 9.334523913815252, 0.013773568550549772
2019xfx, 36.054917, -10.504261, 0.05594, 0.05512, ATLAS_NORM, 37.06288, 0.12051, -1.14983, 0.21501, 58849.0352, 0.0425, -0.161763, 0.0347873, 10.339361497372266, 0.0028361892433288083
2019xvx, 213.037, -4.120411, 0.0545, 0.05542, ATLAS_NORM, 37.10743, 0.11979, 0.65123, 0.23035, 58853.4023, 0.1663, -0.0491047, 0.0291066, 9.495614978139532, 0.00822411872001338
2019ycb, 184.702667, 5.737611, 0.04603, 0.04724, ATLAS_NORM, 36.71676, 0.11627, 0.3469, 0.20337, 58850.7344, 0.0717, 0.19935, 0.0248937, 9.608546400748367, 0.003775645074153557
2019yfu, 191.401498428, 1.18360934272, 0.0845, 0.08572, ATLAS_NORM, 38.19572, 0.17149, 0.85994, 0.61416, 58849.5898, 0.9552, -0.104385, 0.0441232, 9.85378694065725, 0.005650025132756442
2019ywf, 44.676167, 32.573011, 0.03972, 0.03905, ATLAS_NORM, 36.19619, 0.12421, -0.764155, 0.17606, 58856.1172, 0.1703, -0.0305305, 0.0245326, 9.95380507125972, 0.004395518536668056
2020aai, 152.991262889, -1.95169505239, 0.04526, 0.04651, ATLAS_NORM, 36.29798, 0.12264, -2.56797, 0.23935, 58873.0156, 0.1959, -0.00629998, 0.0255227, 10.578749542645056, 0.0017127069609638617
2020aar, 32.405325571429, 15.295854957143, 0.04363, 0.04271, ATLAS_NORM, 36.22675, 0.11889, -1.91292, 0.19361, 58875.3164, 0.1354, -0.0278314, 0.0226194, 10.656723655067713, 0.0022106137070480947
2020aczg, 150.277875, 54.789569, 0.02506, 0.02563, ATLAS_NORM, 35.32622, 0.1248, 0.19651, 0.0753173, 59217.293, 0.0769, -0.0734042, 0.0114574, 8.999598395421277, 0.007690716350573131
2020bpu, 71.91388492, -14.64837688, 0.04153, 0.04144, ATLAS_NORM, 36.37582, 0.12128, -1.02963, 0.26058, 58891.9453, 0.1661, -0.020676, 0.0311761, 10.061138549977786, 0.002085728558181713
2020bqz, 234.76485744, 31.19842962, 0.05396, 0.05431, ATLAS_NORM, 36.77717, 0.12753, -1.36981, 0.26585, 58894.0586, 0.2753, 0.10408, 0.0329621, 10.324470910621883, 0.002073886838970334
