objname, z_cmb, origin, mu, mu_err, hostMass, hostMass_err
2006gt, 0.042419119009330715, CSP_SNPY, 36.58937644147406, 0.015550150068413858, 10.111136946318842, 0.0037506224022017622
2007ba, 0.038133865739342986, CSP_SNPY, 35.68278322278945, 0.02461174215253714, 11.141102329068884, 0.0008626674562506656
2008bd, 0.031300703090299295, CSP_SNPY, 35.77677526175402, 0.03935099452510166, 11.066906876654066, 0.0008724495479113708
2008bt, 0.016446211765812194, CSP_SNPY, 34.210674494863945, 0.020865774547230095, 10.724456328263154, 0.0005206097319448586
2018eyi, 0.03103047946117822, ATLAS-ZTF_SNPY, 35.893049318488245, 0.06284782337231211, 10.143590364193393, 0.0012393031211338115
2018hkw, 0.026350289596668946, ATLAS-ZTF_SNPY, 35.396678689486755, 0.22212009063679494, 10.363890745262498, 0.0009738245140280028
2018jag, 0.0382127773955262, ATLAS-ZTF_SNPY, 36.78730915759189, 0.0887196231121545, 11.024363619703006, 0.0011197732616178959
2018lph, 0.07984945051024146, ZTF_SNPY, 37.649280308346455, 0.034684300744218646, 10.34149581173226, 0.004396506937327917
2019cdc, 0.028415076274861714, ATLAS-ZTF_SNPY, 35.85912900773117, 0.03346126153386146, 10.584872344449861, 0.0011367594478676015
2019cp, 0.051879365434930505, ATLAS-ZTF_SNPY, 37.063541788491975, 0.0837818331835021, 10.54711612988143, 0.0023269572276193662
2019moq, 0.0579716093873729, ZTF_SNPY, 37.458491158394445, 0.023309282906774715, 10.979192644467481, 0.0047669442378859665
2019op, 0.03872130026317916, ATLAS-ZTF_SNPY, 36.71656800391279, 0.14034601778293915, 8.40685425462122, 0.0035269244904225774
2020abpe, 0.04819889426180836, ATLAS-ZTF_SNPY, 36.64750692154483, 0.06530062989043135, 10.649515955931236, 0.0029270517243323553
2020acbx, 0.05259510797396794, ATLAS-ZTF_SNPY, 37.567601741967934, 0.11414465926459468, 10.202182551202336, 0.003249982662315169
2020acoo, 0.04462430835039662, ATLAS-ZTF_SNPY, 37.02947189233851, 0.07114147097956687, 10.685674382711474, 0.0012919791233251478
2020vae, 0.04783724267661762, ZTF_SNPY, 36.500879059879466, 0.03736082118685803, 10.61938683424752, 0.015165662741275331
2021abzd, 0.015988893991432624, ZTF_SNPY, 34.60385955478821, 0.01601692166299151, 10.78600418510209, 0.0005559682094218451
2021bls, 0.018644898621909906, ATLAS-ZTF_SNPY, 34.701184412083435, 0.02356510914411672, 10.690134763061476, 0.00042944945706021567
2021cad, 0.04219663739599958, ATLAS-ZTF_SNPY, 36.45197467137303, 0.046617892972777464, 10.358143010854041, 0.0015162175022677541
2021fnr, 0.028493218937518137, ATLAS-ZTF_SNPY, 35.848261534454686, 0.04041918494984484, 10.287436116011223, 0.0011406832616291658
2021jvp, 0.04436986490741191, ATLAS-ZTF_SNPY, 36.62494925625545, 0.07645428552595972, 10.95457116086164, 0.0010071414066509068
2021mab, 0.02171286129914082, ATLAS_SNPY, 35.55522953695329, 0.15511622710609516, 10.713022716938031, 0.00037423560637777904
2021qqr, 0.02955232369457374, ZTF_SNPY, 35.77165272777536, 0.04054394583387462, 8.573645842354992, 0.09099381995104013
2021uve, 0.05335311633514992, ATLAS-ZTF_SNPY, 37.450738476286816, 0.0760659802936405, 7.813528673239915, 0.07763466766209964
2021wzb, 0.04667527520538065, ATLAS-ZTF_SNPY, 36.62800605516591, 0.03705080649358606, 11.289712997692881, 0.0007520392347699466
2021xfm, 0.03891714552012141, ATLAS-ZTF_SNPY, 36.68148720013914, 0.0621923412618988, 10.643884474652957, 0.0019805168293122876
2022aaok, 0.028056130920204717, ATLAS-ZTF_SNPY, 35.856587346306654, 0.04641270386255229, 10.475026394544468, 0.000842787923706665
2022rey, 0.03925605753464476, ZTF_SNPY, 36.75877451682397, 0.059187820170694544, 10.665653521436408, 0.0016239326144556986
2022rjs, 0.03694676748087407, ATLAS-ZTF_SNPY, 36.12446465703882, 0.040749077146324426, 10.48999877821179, 0.0018017453246977574
2022ubt, 0.051257701839249416, ATLAS-ZTF_SNPY, 37.23788250149573, 0.05783857157943827, 10.387851541544412, 0.0032791740061456085
2022xhh, 0.031030433523826992, ATLAS-ZTF_SNPY, 36.01547882531035, 0.06300414924556696, 10.79645631191364, 0.0017011828138871884
2022zvu, 0.020483170027215395, ZTF_SNPY, 34.98042375694286, 0.03688947786356075, 10.542607440652626, 0.0012099832400037588
2023cvq, 0.02856820267646943, ATLAS-ZTF_SNPY, 36.248944288661555, 0.13685679010584714, 10.547609098927339, 0.0009310322625326865
