objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err
2004gs, 129.596583, 17.627722, 0.0267, 0.02743521091657417, 53352.85, 53461.56, CSP, 53356.36578071601, 4.506946061155759e-05, 0.0020443699986528387, 3.9017683729122084e-06, -2.032308914174487, 0.010797725424057214, 0.2356948882136261, 0.0016881238245048278, 16.345287221724067, 0.005685966006046852, 10.524491610792518, 0.0008337715580172614
2007ca, 202.774208, -15.101833, 0.0141, 0.015735060207281045, 54217.65, 54275.65, CSP, 54228.10598390407, 0.012866123441199306, 0.005916913127928361, 9.648809798686663e-06, 0.7115701076058278, 0.012205846240449514, 0.35740741862265313, 0.001271350311398513, 15.248558136428985, 0.004579953857390281, 9.100726295715653, 0.002123969178416933
2009al, 162.841958, 8.578528, 0.0221, 0.023294362161299355, 54891.71, 54973.54, CSP, 54896.99799795559, 0.07213045713069732, 0.005301603621402387, 1.9150272732194885e-05, -0.4874559651050614, 0.022410175087505535, 0.21158698581411525, 0.0024105467779783505, 15.618871884013803, 0.008873500596593085, 10.676596531095123, 0.0005467162453691708
2006ev, 322.746917, 13.989222, 0.0287, 0.027057648155491495, 53993.59, 54039.52, CSP, 53989.9997328721, 0.07670086455254932, 0.0018943347226685477, 1.209737263037992e-05, -1.3276540554294458, 0.028973079865472817, 0.2139203714474274, 0.003514282996892983, 16.600744422996797, 0.013319151619684886, 10.748696257484479, 0.0007780565778547196
2006gj, 49.399167, -1.691722, 0.0284, 0.027522378419553843, 53998.83, 54096.59, CSP, 54000.04477064896, 0.05332698499842081, 0.0011163039740233307, 4.637674917607678e-06, -2.351373856548614, 0.02941176566874093, 0.4168419576187793, 0.003651595153463454, 16.413594589181642, 0.012609869485142328, 10.669635209313917, 0.0012479558890463075
2007jh, 54.006417, 1.103389, 0.0408, 0.03836771333034954, 54363.86, 54413.8, CSP, 54364.45252253186, 0.11269370124136913, 0.0005521397088803319, 3.4620492633902596e-06, -1.6066417405830857, 0.05347211321121148, 0.40331948503106024, 0.006169886665111615, 17.33216929347329, 0.02124461678005103, 10.963091620417575, 0.0010519692878266553
2005mc, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, CSP, 53730.68518790677, 0.07945568033392192, 0.002487173202549189, 1.9662067529208068e-05, -2.1831003016274186, 0.015927466708968385, 0.2777652484582651, 0.00331899566046242, 15.983980138798707, 0.013320410168053454, 13.004227849812548, 0.0005277710097430307
2006kf, 55.460333, 8.156944, 0.0213, 0.02090716743106265, 54036.81, 54127.64, CSP, 54041.56963337621, 0.020113201269850833, 0.003140985145213509, 7.040419951394734e-06, -2.178588564444184, 0.013911577340777859, 0.24449066990957027, 0.0018475066543965238, 15.830429047116715, 0.006384693510751022, 10.847440404300489, 0.0005624670042569112
2007hx, 31.612833, -0.899528, 0.0794, 0.07815815296284123, 54354.78, 54411.73, CSP, 54354.7747996948, 0.1920666701371374, 0.0003112083956123925, 2.0506652128775513e-06, 0.4554886952657411, 0.09787797926929243, 0.2015440715218808, 0.0059821257151139945, 18.871460175644977, 0.024356460303387954, 10.947106485783687, 0.006470108825979771
2007A, 6.319417, 12.886806, 0.0177, 0.01599141880672713, 54107.53, 54133.53, CSP, 54113.68349201693, 0.02810901357952389, 0.006783506271672503, 2.2031023894028906e-05, 0.5238550616770787, 0.04587694062616998, 0.2746277248063708, 0.0026809964911653347, 15.3181236273572, 0.011204140406342997, 6.774565304332999, 0.07187074108120962
2007mm, 16.444458, -0.758833, 0.0664, 0.06456278748171412, 54385.72, 54418.69, CSP, 54392.54955867706, 0.05166012985864654, 0.00019009128377089858, 1.4763892771044495e-06, -3.4321111849818147, 0.07139606511948426, 0.45901960017719745, 0.006907355424011377, 18.044603070975434, 0.024781685860125673, 9.37688091226328, 0.007453549893324646
