        SN      st    e_st     zhelio       zcmb         Tmax   eTmax     Bmax   e_Bmax     Vmax   e_Vmax      umax   e_umax     gmax   e_gmax     rmax   e_rmax      imax   e_imax      Ymax   e_Ymax      Jmax   e_Jmax      Hmax   e_Hmax   EBVhost   e_EBVhost      Rv    e_Rv   C(Rv)(EBVhost)    c0   c1   c2   c3   c4   c5
  SN2008fl   0.855   0.018     0.0199   0.019417     54720.77    0.61   15.637    0.052   15.578    0.038    16.099    0.081   15.568     0.03    15.61    0.029     16.06    0.061    15.941    0.027     15.91    0.086    16.096    0.045     0.142        0.03   2.111    0.69         -0.01303     0    0    0    0    0    0
  SN2008fp   1.082   0.007    0.00566   0.006287     54730.22    0.04   13.935    0.005   13.472    0.005     14.62    0.013   13.709    0.004   13.418    0.005    13.686    0.008      13.6     0.05    13.338    0.008    13.604     0.01     0.545       0.035   2.217   0.251         -0.00736     1    1    1    1    1    1
  SN2008fr   1.056   0.023   0.038973   0.037906     54732.67    0.24   16.819    0.053   16.826    0.039    17.205    0.086   16.773    0.032   16.984     0.03    17.635    0.062    17.774    0.055    17.747    0.108    17.791    0.051     0.043       0.024   1.588   1.484         -0.01587     0    0    0    0    0    0
  SN2008fu   0.822   0.022    0.05237   0.051834     54732.55    0.39    17.63    0.073   17.705     0.05     18.05    0.067   17.645    0.044   17.811    0.037    18.347    0.067    18.181    0.067    17.945    0.117    18.316    0.078     0.031       0.019   2.651   1.526          -0.0048     0    0    0    0    0    0
  SN2008fw   1.113   0.023   0.008543   0.009507     54731.75    0.17   14.005    0.049   13.939    0.036    14.254    0.076   13.917    0.027   14.041    0.029    14.635    0.058    14.648    0.022    14.607    0.048    14.724    0.027      0.14       0.026   2.277   0.665         -0.01195     0    0    0    0    0    0
  SN2008gg   1.114   0.027   0.031993   0.031066     54749.22    0.60   16.557    0.051   16.415    0.038     17.18    0.081   16.459    0.029   16.484     0.03    17.158    0.062    17.266     0.03     16.93    0.091    17.453    0.056     0.202        0.03   1.063    0.49         -0.00977     0    0    0    0    0    0
  SN2008gl   0.851   0.004   0.033993   0.032946     54768.15    0.05   16.809    0.004   16.774    0.004    17.358    0.009   16.752    0.004   16.818    0.004    17.385    0.007    17.485    0.019    17.161    0.026    17.408    0.059     0.108       0.011   0.709   0.571         -0.00186     0    0    0    0    0    0
  SN2008go   0.912   0.023   0.062367   0.061313     54766.09    0.18   18.033    0.007   17.993    0.007    18.794     0.02    17.97    0.006   18.033    0.007      18.7    0.014    18.628    0.051   999.999    9.999   999.999    9.999     0.126       0.013   0.713   0.709          -0.0028     0    0    0    0    0    0
  SN2008gp   0.973   0.005    0.03339   0.032823     54778.99    0.04   16.438    0.007   16.443    0.006    16.672    0.013   16.396    0.007   16.572    0.007     17.17    0.009    17.184    0.018     17.09    0.029    17.439    0.061     0.044        0.02   1.689   1.362         -0.01365     1    1    1    1    1    1
  SN2008hj    1.01   0.006   0.037867   0.036722     54801.49    0.50   16.781    0.005    16.78    0.005    17.264     0.01   16.734    0.004   16.869    0.005    17.531    0.007    17.681    0.017    17.545    0.027    17.656    0.066     0.093       0.012   0.012   0.654         -0.00221     0    0    0    0    0    0
  SN2008hu   0.785   0.008   0.049666   0.050526     54806.52    0.17   17.839    0.016   17.819    0.012    18.412    0.041   17.792    0.012   17.884    0.011    18.433    0.016    18.325    0.072    18.305    0.043    18.259    0.111      0.06        0.02   2.035   1.333         -0.01382     0    0    0    0    0    0
  SN2008hv   0.846   0.003    0.01254    0.01358     54817.06    0.09   14.736    0.006   14.766    0.005    15.084     0.01   14.696    0.006   14.849    0.005    15.424    0.007     15.38    0.012    15.252    0.013    15.497    0.015     0.034       0.011   1.234   1.239         -0.00592     1    1    1    1    1    1
  SN2008ia   0.841   0.004   0.021983    0.02254     54813.01    0.13   15.877    0.006   15.911    0.006    16.378    0.012   15.841    0.007   15.956    0.007     16.53    0.009    16.404    0.012    16.288    0.025    16.296    0.026     0.069       0.023   3.077   1.307         -0.01928     1    1    1    1    1    1
   SN2009D   1.185   0.006    0.02499   0.024654     54840.79    0.50   15.763    0.004   15.777    0.004    16.219    0.007   15.685    0.004   15.872    0.004    16.466    0.007    16.569    0.054    16.326     0.02    16.666     0.02     0.088       0.014   2.514   0.827         -0.00783     0    0    0    0    0    0
   SN2009F   0.328   0.007   0.012947    0.01291     54842.05    0.54   16.918    0.016   16.373    0.013    17.844    0.041   16.625    0.014   16.137    0.021    16.381    0.023    16.073    0.067    15.996    0.027    16.071    0.037     0.251       0.027   1.736   0.396         -0.00746     0    0    1    0    0    1
   SN2009I   1.064   0.019    0.02615   0.025431     54851.90    0.13   18.177    0.015   17.538    0.012    19.249    0.052   17.892     0.01   17.254    0.012    17.476    0.018    17.044    0.022    16.749    0.019    16.942    0.042     0.794       0.015   2.516   0.102          -0.0011     0    0    0    0    0    0
   SN2009P   1.093    0.03   0.025087    0.02632     54868.40    0.28   17.018    0.019   16.631    0.015    17.803    0.039   16.813    0.015   16.574    0.017     17.13    0.025    17.133     0.05    16.781    0.066   999.999    9.999     0.475       0.019   1.545   0.228         -0.00236     0    0    0    0    0    0
   SN2009Y   1.189   0.008   0.009347   0.010103     54876.07    0.07    14.01    0.007   13.861    0.008    14.573    0.012   13.922     0.01   13.915     0.01    14.562    0.013    14.603     0.02    14.511     0.03    14.709    0.031     0.217       0.022   1.275   0.369         -0.00559     0    0    0    0    0    0
  SN2009aa   0.908   0.004    0.02729   0.028481     54878.23    0.03   16.322    0.006   16.302    0.007    16.606     0.01   16.269    0.006   16.367    0.007    16.888     0.01    16.864    0.014    16.771    0.015     16.97    0.021       0.1       0.012   2.032   0.577          -0.0041     0    0    0    0    0    0
  SN2009ab   0.874   0.005   0.011163   0.010862     54883.26    0.04   14.708    0.006   14.663    0.006    15.009    0.013   14.648    0.006   14.706    0.006    15.184     0.01    15.014    0.021    14.955    0.021    15.193    0.023     0.132       0.025   2.377   0.666         -0.01121     0    0    0    0    0    0
  SN2009ad   1.015   0.006    0.02838   0.028317     54886.27    0.04   16.191    0.006   16.161    0.006    16.327     0.01   16.139    0.006   16.264    0.007    16.831    0.009     16.85    0.016    16.711    0.018    17.069    0.043     0.102       0.019   1.993   0.656         -0.00792     0    0    0    0    0    0
  SN2009ag   0.962   0.007   0.008633   0.009248     54889.54    0.12   14.597     0.01   14.434    0.009     15.36    0.019   14.492     0.01   14.398     0.01    14.847    0.016    14.686    0.018    14.597    0.017    14.794    0.016     0.298       0.041   2.069   0.521         -0.01752     0    0    0    0    0    0
  SN2009al   1.174   0.041    0.02209   0.023276     54893.35    0.78   16.158    0.064   16.021    0.047    16.441    0.116   16.031    0.044   16.116    0.046    16.424    0.079    16.403    0.045     16.22    0.044    16.557    0.045     0.249       0.031   2.784   0.544         -0.01364     0    0    0    0    0    0
  SN2009cz   1.189   0.012   0.021123   0.021979     54943.14    0.07   15.713    0.008   15.687    0.007    16.135    0.019   15.637    0.009   15.757    0.008    16.322    0.013    16.375    0.029    16.157    0.053     16.51    0.045     0.128       0.012    2.58    0.58         -0.00427     0    0    0    0    0    0
  SN2009ds   1.125    0.02   0.019247   0.020466     54961.05    0.55   15.496    0.008   15.394    0.009    15.937    0.014   15.419    0.009   15.438    0.012    16.033    0.019     16.37    0.077    15.899    0.032    16.317    0.046     0.204       0.014   1.274   0.322          -0.0021     0    0    0    0    0    0
  SN2009le   1.156   0.021   0.017773   0.017027     55165.94    0.10   15.364    0.005   15.231    0.006    15.835     0.01   15.274    0.006   15.271    0.007    15.871    0.011   999.999    9.999    16.204    0.034   999.999    9.999     0.235        0.01   0.095   0.381         -0.00073     0    0    0    0    0    0
