        SN      st    e_st     zhelio       zcmb         Tmax   eTmax     Bmax   e_Bmax     Vmax   e_Vmax      umax   e_umax     gmax   e_gmax     rmax   e_rmax      imax   e_imax      Ymax   e_Ymax      Jmax   e_Jmax      Hmax   e_Hmax   EBVhost   e_EBVhost      Rv    e_Rv   C(Rv)(EBVhost)    c0   c1   c2   c3   c4   c5
  SN2006gt   0.554   0.008    0.04474   0.043643     54003.56    0.54   18.219    0.011   17.964     0.01    18.977    0.036   18.043    0.009   18.059    0.009    18.359    0.015     18.27    0.027    18.121    0.052    18.388    0.126     0.078       0.017   1.728   1.116          -0.0098     1    1    1    1    1    1
  SN2006hb   0.673   0.018   0.015333   0.015337     54003.02    0.55   15.525    0.049   15.373    0.036    16.237    0.075    15.39    0.028   15.459    0.026     15.85    0.058    15.715    0.054    15.564    0.071    15.805     0.04     0.109       0.024   1.773   0.703         -0.01015     1    1    1    1    1    1
  SN2006hx   0.988   0.017   0.045463   0.044403     54021.77    0.14   17.556    0.022   17.407    0.023    18.098    0.052   17.501    0.028   17.475     0.03    17.827    0.043    17.967    0.055    17.756    0.065    17.903    0.072     0.238        0.02    2.27   0.424         -0.00541     1    1    1    1    1    1
  SN2006is   1.323   0.026   0.031333    0.03142     54005.34    0.77   16.098    0.054   16.124     0.04    16.459    0.087   16.028    0.035   16.344    0.031    17.114    0.068     17.18    0.063    16.672    0.107    17.268    0.066     0.018       0.015   2.159   1.575         -0.00528     1    1    1    1    1    1
  SN2006kf   0.733   0.004   0.021287     0.0208     54041.31    0.04   15.955    0.006   15.942    0.005    16.419    0.012   15.897    0.006   15.987    0.005    16.485    0.008    16.336    0.013    16.255    0.013    16.405    0.032     0.054       0.024   2.499   1.367          -0.0165     1    1    1    1    1    1
  SN2006lu   1.049   0.022   0.053367   0.054397     54034.42    0.25   17.514    0.052   17.534    0.039    17.762    0.085   17.474    0.029   17.679    0.029    18.295    0.064    18.583    0.076   999.999    9.999   999.999    9.999     0.046       0.027   2.289   1.552         -0.00649     1    1    1    1    1    1
  SN2006mr   0.245   0.004   0.005867    0.00551     54050.75    0.14   15.283     0.02   14.599     0.02    16.548    0.032   14.934    0.021   14.442    0.025    14.399     0.03    14.008    0.036    14.013    0.038    13.908    0.041     0.024        0.02   2.381   0.914          0.00394     0    0    1    0    0    1
  SN2006ob   0.725   0.011   0.059197   0.058257     54063.47    0.59   18.259    0.015   18.165    0.015    18.393    0.045   18.162    0.013   18.279    0.012    18.677    0.019    18.652    0.088    18.592    0.123    18.656    0.166      0.08       0.015   2.445   1.038         -0.00574     1    1    1    1    1    1
  SN2006os    0.92   0.023   0.032787    0.03208     54064.44    0.69   17.613    0.057    17.28    0.042    18.296    0.131   17.454    0.033   17.142    0.031    17.536    0.068     17.33    0.028    17.257    0.039    17.337    0.103     0.436       0.039   2.063   0.353         -0.01089     1    1    1    1    1    1
  SN2006py    0.95   0.026    0.05786   0.056643     54070.87    0.28   17.921    0.021   17.813    0.016    18.279    0.054   17.826    0.013   17.896    0.012    18.443    0.023   999.999    9.999   999.999    9.999   999.999    9.999     0.166       0.019   2.184   0.767         -0.00315     1    1    1    1    1    1
   SN2007A   1.012   0.011   0.017633   0.016463     54112.96    0.06   15.712    0.008   15.505    0.007    16.081    0.016   15.606    0.008   15.521    0.007     15.99     0.01    15.904    0.016    15.716    0.021    15.977    0.051      0.29       0.018    2.31   0.305         -0.00426     1    1    1    1    1    1
   SN2007N   0.304   0.007    0.01287      0.014     54123.51    0.57   18.011     0.02   17.073    0.013     20.12    0.147   17.499    0.018   16.793    0.015    16.933     0.02    16.474    0.058    16.357    0.075    16.317    0.054     0.209       0.038   1.155   0.548         -0.00978     0    0    1    0    0    1
   SN2007S   1.114   0.009    0.01387   0.015023     54144.36    0.06    15.81     0.01   15.408    0.008     16.42    0.018   15.577    0.007   15.298    0.009     15.71    0.014    15.571    0.016    15.359    0.015    15.548    0.017     0.523       0.013   2.158   0.117         -0.00096     1    1    1    1    1    1
  SN2007af   0.925   0.003    0.00546    0.00629     54174.41    0.03   13.186    0.006   13.095    0.005      13.7    0.009   13.076    0.005   13.093    0.005    13.629    0.007    13.522    0.008    13.468    0.008    13.618     0.01     0.194       0.013    1.85   0.292         -0.00233     1    1    1    1    1    1
  SN2007ai   1.229   0.012    0.03164   0.031987     54172.92    0.20   17.039     0.01   16.842    0.008    17.455    0.099   16.922    0.029   16.878    0.009    17.343    0.012    17.246    0.021    16.919    0.023    17.134    0.034     0.288       0.044   2.712   0.626         -0.02163     1    1    1    1    1    1
  SN2007al   0.335   0.022   0.012113   0.013263     54170.24    0.57   17.293     0.06   16.614    0.044    18.381    0.108   16.921    0.043   16.499    0.036    16.612    0.071    16.347    0.068    16.133    0.082    16.035    0.069      0.03       0.025   1.906   0.895         -0.00204     0    0    0    0    0    0
  SN2007as   0.884   0.005    0.01756   0.017897     54181.61    0.15   15.482    0.006   15.391    0.005    16.139    0.015   15.418    0.006   15.427    0.006    16.068     0.01    15.933    0.016    15.852     0.02    16.072    0.035     0.137       0.025   1.384   0.591         -0.00997     1    1    1    1    1    1
  SN2007ax   0.354   0.011   0.006857   0.007637     54187.93    0.17   16.189    0.024   15.507    0.021    17.784    0.092   15.847    0.022   15.383    0.023    15.535     0.03    15.191    0.035    14.145    0.099    15.122    0.098     0.081       0.031   1.436   0.898         -0.01026     0    0    1    0    0    1
  SN2007ba   0.542   0.006   0.038487   0.039053     54197.57    0.13    17.77    0.012   17.436    0.009    18.561    0.043   17.542     0.01   17.349    0.013    17.674     0.02    17.696    0.017    17.599    0.035     17.59    0.092     0.194       0.017   0.591   0.377          -0.0027     1    1    1    1    1    1
  SN2007bc   0.876   0.006   0.020757    0.02185     54200.22    0.15    15.85    0.007   15.806    0.006     16.27    0.015   15.806    0.006   15.842    0.006    16.365    0.012    16.247    0.024     16.32    0.026    16.407    0.065     0.125       0.011   1.695   0.471         -0.00214     1    1    1    1    1    1
  SN2007bd   0.882   0.005   0.030997   0.031827     54206.80    0.11   16.557    0.008   16.559    0.008    16.979    0.022   16.497    0.008   16.603    0.007    17.208    0.014    17.137    0.019    17.103    0.038    17.262    0.057     0.081       0.013   1.143   0.786         -0.00445     1    1    1    1    1    1
  SN2007bm   0.899   0.008   0.006207    0.00744     54224.63    0.22   14.405    0.008   13.979    0.007    15.278    0.027   14.194     0.03   13.799    0.032    14.115    0.016    13.971    0.042    13.847    0.017    13.962     0.03     0.546       0.017   1.795   0.132         -0.00154     1    0    1    1    0    1
  SN2007ca   1.058   0.007   0.014057    0.01507     54227.38    0.06   15.894    0.006   15.632    0.006    16.511    0.023   15.747    0.005   15.588    0.006      16.0    0.011    15.871    0.017    15.637    0.019    15.733    0.022     0.376       0.017   2.834   0.228         -0.00302     1    1    1    1    1    1
  SN2007cg   1.108   0.046   0.033173   0.034168     54227.38    0.50    18.22    0.078   17.545    0.056    19.242    0.183   17.814    0.049   17.352     0.05    17.691    0.075    17.409    0.083   999.999    9.999   999.999    9.999     0.769       0.045   2.221   0.317         -0.00963     0    0    0    0    0    0
  SN2007hj   0.605   0.004   0.014103   0.012882     54349.81    0.07   15.614    0.005   15.409    0.005    16.387    0.013   15.466    0.005   15.401    0.005    15.805     0.01    15.656    0.053    15.497     0.07    15.748    0.041     0.128       0.021   1.256   0.671         -0.00873     0    0    0    0    0    0
  SN2007hx   1.059   0.044    0.07976   0.078873     54353.59    0.88   19.269    0.062   19.044    0.045    19.739    0.174   19.111    0.037   19.115    0.036    19.514    0.073    19.388    0.079   999.999    9.999   999.999    9.999     0.309       0.033   2.329    0.55         -0.00839     1    1    1    1    1    1
  SN2007jd   0.875   0.033   0.072583   0.071911     54361.90    0.97   18.839    0.067   18.734    0.051     19.83    0.227     18.8    0.039   18.844    0.037    19.293    0.081    19.265    0.105    19.069    0.135   999.999    9.999     0.138       0.036   1.661   0.838         -0.01271     0    0    0    0    0    0
  SN2007jg   0.914   0.006   0.037107   0.036577     54366.48    0.09   17.257    0.008   17.207    0.007    18.071    0.025   17.211    0.006   17.292    0.009    17.876    0.011    17.731    0.031    17.619    0.027    17.584     0.07     0.124       0.019   2.432   0.678         -0.00833     1    1    1    1    1    1
  SN2007jh   0.584   0.019   0.040767   0.040267     54366.33    0.20   18.352    0.022   18.012    0.019   999.999    9.999    18.14    0.017   17.982    0.017    18.347    0.033    17.911    0.239   999.999    9.999   999.999    9.999     0.222       0.029   1.949   0.809         -0.00861     1    1    1    1    1    1
  SN2007le   1.024   0.004   0.006717   0.005523     54399.07    0.10   13.902    0.006   13.584    0.005    14.678    0.018   13.738    0.005   13.537    0.005    14.083    0.007    13.944    0.011    13.755    0.011    13.983    0.009     0.415       0.012   1.768   0.132         -0.00097     1    1    1    1    1    1
  SN2007mm   0.501   0.018   0.066354   0.068873     54392.26    0.16   19.746    0.035   19.237    0.023   999.999    9.999   19.462    0.021    19.24    0.018    19.496    0.028   999.999    9.999   999.999    9.999   999.999    9.999     0.225       0.031   1.715   0.882         -0.00914     1    1    1    1    1    1
  SN2007nq   0.745   0.005      0.045   0.043903     54398.94    0.15   17.412    0.009    17.37    0.007    17.895    0.025   17.339    0.007   17.466    0.007     17.94     0.01      17.8    0.059     17.62    0.099    17.651     0.11     0.066       0.011   3.748   1.169         -0.00635     1    1    1    1    1    1
