#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
04a60273o0256o,17.785215,-13.944154999999999,>19.17,0.0,3.0,o,22.008,60273.12324345,4609.61,1756.32,114.0,184.0,-20.0,25.8,186.5,1267.9,1779.0,0.94,2.55,2.08,1.0,3.0,-0.39,-28.927590192961624,37.3165913489205,18.16,30.0
04a60273o0262o,17.785215,-13.944154999999999,>19.3,0.0,3.0,o,22.009,60273.12604625,4629.77,1793.22,124.0,181.3,-22.6,22.2,189.3,3645.5,1416.2,0.96,2.59,2.1,1.0,3.0,-0.391,-33.520172371277354,32.9268949841751,18.3,30.0
04a60273o0330o,17.785215,-13.944154999999999,>19.17,0.0,3.0,o,21.988,60273.15735475,4576.01,1696.44,150.0,181.5,-32.4,28.5,192.1,413.3,1556.7,0.85,2.41,1.96,1.0,3.0,-0.398,-42.82495047708863,37.6700953270687,18.27,30.0
04a60273o0390o,17.785215,-13.944154999999999,>18.628624529170605,0.0,1.08,o,21.978,60273.18581825,4555.22,1803.75,258.0,183.6,34.6,32.1,187.5,1104.3,2157.9,0.87,2.43,1.93,1.0,3.0,-0.401,45.95348223576735,42.633143923934455,18.2,30.0
03a60275o0244o,17.785215,-13.944154999999999,>19.4,0.0,3.0,o,22.033,60274.89799525,2715.17,3774.64,156.0,185.1,-0.9,22.4,186.1,1172.2,1610.7,0.84,2.44,2.06,1.0,3.0,-0.4,-1.2166854134390055,30.281948067815243,18.37,30.0
03a60275o0251o,17.785215,-13.944154999999999,>19.37,0.0,3.0,o,22.035,60274.90120595,2734.45,3812.65,206.0,185.3,15.5,23.1,183.8,154.4,1524.5,0.93,2.44,2.06,1.0,3.0,-0.401,20.93473607806152,31.199509896982008,18.41,30.0
03a60275o0263o,17.785215,-13.944154999999999,>19.27,0.0,3.0,o,22.031,60274.90667845,2678.19,3733.53,129.0,181.0,-12.7,23.5,187.1,816.2,1577.2,0.87,2.53,2.14,1.0,3.0,-0.392,-18.391483453560728,34.0314851306045,18.32,30.0
03a60275o0287o,17.785215,-13.944154999999999,>19.18,0.0,3.0,o,22.027,60274.91779755,2657.42,3848.29,197.0,182.6,-2.8,23.2,190.7,2947.0,1612.8,0.86,2.65,2.24,1.0,3.0,-0.389,-4.449699356350153,36.86893752404413,18.26,30.0
04a60276o0255o,17.785215,-13.944154999999999,>19.56,0.0,3.0,o,21.999,60276.15092475,3574.26,9582.76,151.0,178.3,-12.9,19.4,182.8,928.7,1158.8,1.37,2.45,1.98,1.0,3.0,-0.403,-17.41404771904772,26.188567887560136,18.63,30.0
04a60276o0263o,17.785215,-13.944154999999999,>19.42,0.0,3.0,o,22.0,60276.15458825,3594.02,9620.29,205.0,180.2,8.7,21.8,183.7,1095.0,1557.5,0.82,2.48,2.0,1.0,3.0,-0.4,11.964090083540789,29.97898434726313,18.55,30.0
04a60276o0287o,17.785215,-13.944154999999999,>19.48,0.0,3.0,o,21.995,60276.16554235,3532.43,9539.47,201.0,178.4,5.9,20.7,177.6,-796.0,1238.0,0.87,2.46,2.0,1.0,3.0,-0.4,8.085294804405528,28.367051262914302,18.52,30.0
04a60276o0324o,17.785215,-13.944154999999999,>19.41,0.0,3.0,o,21.981,60276.18250155,3511.47,9654.07,181.0,184.9,13.5,23.4,188.4,1172.6,1436.6,1.02,2.36,1.94,1.0,3.0,-0.403,17.48744037255758,30.311563312433133,18.55,30.0
03a60278o0141o,17.785215,-13.944154999999999,>19.99,0.0,3.0,o,22.053,60277.84911585,4721.6,5655.08,185.0,181.5,0.2,11.0,178.8,-51.8,670.1,0.82,2.67,2.28,1.0,3.0,-0.391,0.3188268213247999,17.535475172863993,19.03,30.0
03a60278o0148o,17.785215,-13.944154999999999,>20.06,0.0,3.0,o,22.053,60277.85233085,4737.8,5694.22,204.0,181.3,-4.0,11.7,181.5,-41.5,629.5,1.04,2.5,2.15,1.0,3.0,-0.4,-5.6769779214287475,16.605160420179086,19.09,30.0
03a60278o0166o,17.785215,-13.944154999999999,>20.02,0.0,3.0,o,22.051,60277.86079595,4682.93,5615.13,191.0,180.9,8.4,11.4,179.4,543.3,754.2,1.47,2.55,2.24,1.0,3.0,-0.4087,12.794585773617719,17.36408069276691,19.02,30.0
03a60278o0190o,17.785215,-13.944154999999999,>19.96,0.0,3.0,o,22.047,60277.87175665,4662.18,5729.23,148.0,180.0,-33.7,12.2,182.9,1030.2,775.8,1.07,2.61,2.15,1.0,3.0,-0.395,-49.979005876887804,18.093289961365908,19.01,30.0
03a60281o0105o,17.785215,-13.944154999999999,>20.38,0.0,3.0,o,22.054,60280.83557145,5223.5,7600.54,190.0,180.8,-3.4,9.4,181.0,384.5,476.2,0.74,2.42,2.05,1.0,3.0,-0.4117,-4.497869899583155,12.435287369435786,19.46,30.0
03a60281o0112o,17.785215,-13.944154999999999,>20.31,0.0,3.0,o,22.054,60280.83880935,5243.1,7639.86,193.0,180.7,3.8,9.4,178.8,396.5,614.3,0.77,2.49,2.13,1.0,3.0,-0.4087,5.3594631899450915,13.257619469864178,19.38,30.0
03a60281o0123o,17.785215,-13.944154999999999,>20.35,0.0,3.0,o,22.054,60280.84414845,5185.96,7560.05,189.0,181.9,-12.9,9.5,181.9,-273.6,630.1,0.9,2.43,2.09,1.0,3.0,-0.4087,-17.42212058343512,12.830243840514235,19.39,30.0
03a60281o0163o,17.785215,-13.944154999999999,>20.43,0.0,3.0,o,22.05,60280.86269425,5167.01,7675.61,174.0,182.6,-7.9,9.1,184.2,390.2,464.7,0.95,2.43,2.02,1.0,3.0,-0.4167,-10.426618408862144,12.01040854691715,19.44,30.0
03a60284o0036o,17.785215,-13.944154999999999,>19.7064012313866,0.0,1.21,o,22.017,60283.82617695,6598.95,3681.7,173.0,180.7,9.7,8.0,180.7,255.9,539.7,1.08,2.86,2.55,1.0,3.0,-0.3907,19.144176654361388,15.789011673700115,19.16,30.0
03a60284o0044o,17.785215,-13.944154999999999,>20.13,0.0,3.0,o,22.024,60283.82987915,6617.49,3720.23,171.0,181.8,-0.2,8.5,183.5,468.3,487.0,1.02,2.79,2.41,1.0,3.0,-0.3947,-0.3629192350325578,15.424067488883702,19.2,30.0
03a60284o0056o,17.785215,-13.944154999999999,>19.789543704721595,0.0,1.33,o,22.024,60283.83535655,6560.19,3641.22,213.0,182.1,10.8,8.1,181.5,115.5,556.1,0.91,2.77,2.41,1.0,3.0,-0.3977,19.51099027295514,14.633242704716352,19.19,30.0
