objname, objname, ra, dec, z, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, host_mass, host_mass_err
2022xnq, 2022xnq, 1.1623692719153491, -8.099926680164582, 0.0286, 59878.51775474084, 0.794813436223194, 0.022065851622164262, 0.006088846916392554, 15.708800982916726, 3.398684688945583, 0.2960264771558995, 0.23457624838392713, 35.65698591466767, 5.359623898935746, 11.059889467732273, 0.0005005721852298015
2021oyx, 2021oyx, 358.86536871987545, -34.87484410425709, 0.049921, 59391.073600651915, 0.0029048701690044254, 0.010354930678907056, 0.005206835529568634, 12.577382385069962, 4.156201133274581, 0.8783392291663749, 0.3555283875150721, 34.26402061236392, 5.284989529456265, 10.493743273271779, 0.020040484026090783
2018jag, 2018jag, 15.951294449789689, 10.592351746809557, 0.04, 58490.34258155247, 4.993854519147135, 0.014070106215209299, 0.011653148148428563, -0.6580327252819553, 5.090213714742061, 0.377783148111943, 0.6644276980156693, 33.3977837718196, 3.6326999888994917, 11.024363619703006, 0.0011197732616178959
2023ex, 2023ex, 194.72340272630746, 28.126949858724423, 0.023376, 59955.819224064726, 3.9788111039888463, 0.10750357985142589, 0.2035325348098616, -0.2877965130620819, 4.114356467999344, 0.23378882617770505, 1.3507505459486515, 31.675719115424872, 1.6673246907472175, 9.95839376038976, 0.0018200594393620363
2022aaok, 2022aaok, 138.75348383900604, 22.589561981475406, 0.027214, 59912.88108020923, 1.8440125916531542, 0.02016103534333452, 0.006418804328645391, 0.07702267492335436, 2.323672742741616, 0.6744382717772055, 0.2348586297997695, 32.23567634195339, 5.137007870792001, 10.475026394544468, 0.000842787923706665
2017hle, 2017hle, 16.88778656365311, 32.4082286103301, 0.015, 58336.92308941761, 296.5718817165325, 3.2621922073627654, 1.3311189014865874, 0.0, 44.03936621288431, 0.0, 0.2776427154878655, 28.711226135111033, 5.600105612591092, 10.811153814339129, 0.0002551265260945248
2018ame, 2018ame, 227.3563931337691, 25.471542558881964, 0.022, 58720.58925474014, 343.013053828392, 0.3132599069704583, 0.2503406806253369, 0.0, 83.28492400964262, 0.0, 0.5488954393929962, 31.255237963447723, 12.610556392445345, 8.986036224321298, 0.005711110761032731
2020aclx, 2020aclx, 9.472744000000002, -21.471927999999995, 0.06, 59602.92456709054, 28.545775390801282, 0.996522784922613, 0.43469479318845033, 0.0, 70.21814026417387, 0.0, 0.8384183576232662, 29.998781917388577, 9.149427659187754, 10.830670491282186, 0.00202550586383922
2021zsz, 2021zsz, 92.63879631704842, -14.538870149377928, 0.035746, 59475.046477160264, 1.62623873569828, 1.7200108088248965e-06, 2.1373621690291794e-06, 1.5913073959192534, 1.2679853935258496, 6.414661417545318, 0.7202267559082526, 25.533951067059142, 12.223030737155058, 10.964851218836822, 0.005379263240545481
2024luo, 2024luo, 10.074032578559928, 2.7566803332949923, 0.017, 60496.02807126497, 1.4181705301598413, 0.11426475903077958, 0.15606933068447446, 15.601166388247632, 10.086654311036432, -0.5093988878416257, 0.9980570564929403, 36.25520637292027, 0.585754161558028, 9.94823443519893, 0.0014830329374277173
2022abom, 2022abom, 55.288120413239035, -2.8485375859548903, 0.036, 59969.79688118621, 0.9847985307533236, 0.009304600798231755, 0.0035659367367168386, 0.0015308345393880863, 1.2280959766025494, 1.3434184907497668, 0.2767550713765412, 31.07010275268057, 5.482734486494758, 10.316452277637097, 0.0025523463538686332
