objname, ra, dec, z, mu, mu_err, t0, x0, x1, c, t0err, x0err, x1err, cerr
2020mzc, 339.642713333333, 1.35651666666667, 0.066, 37.16994854213622, 0.0, 59029.33641041117, 0.00033171388643145984, -0.8182167345361614, 0.4543845107916114, 0.34424857189515023, 3.566732094769821e-05, 0.09592907580222643, 0.015709467542146357
2023vsx, 8.95850357142857, 19.41552285714286, 0.0581, 36.30434839502544, 0.0, 60234.062616610965, 0.00015838603161747597, -3.163539538219902, 0.8866012501698375, 89.06086635809697, 3.566732094769821e-05, 0.09592907580222643, 0.015709467542146357
2022aje, 127.745854444444, 13.7416355555556, 0.1, 38.271300238842315, 0.0, 59614.08521945063, 0.0004094676191718956, -0.03295183872281757, 0.060818579181029356, 0.3269836322251649, 3.566732094769821e-05, 0.09592907580222643, 0.015709467542146357
2018bhm, 251.667626, 10.8111253333333, 0.055, 36.39536150728786, 0.0, 58250.59980083097, 0.0009014485613210778, -2.5436934885368783, 0.2761835578867735, 0.31086830027925316, 3.566732094769821e-05, 0.09592907580222643, 0.015709467542146357
2021lsr, 194.7749725, -25.37643, 0.04, 36.55913100636069, 0.0, 59357.5986090012, 0.0019204854813800764, 1.3662836543566172, 0.1350390756417472, 0.11614769288280513, 3.566732094769821e-05, 0.09592907580222643, 0.015709467542146357
2019pmy, 345.354413333333, -2.80162666666667, 0.086, 37.66793399539429, 0.0, 58742.91992135446, 0.0007840997258789219, -0.6608851429960069, -0.0004471517681543665, 0.347175170070841, 3.566732094769821e-05, 0.09592907580222643, 0.015709467542146357
2018lem, 53.5924742222222, -1.58996955555556, 0.05, 37.128086273171164, 0.0, 58521.511194481405, 0.0002841391936399186, 6.858098103815068, 0.8687805168587661, 0.1486261455793283, 3.566732094769821e-05, 0.09592907580222643, 0.015709467542146357
2023hpo, 183.81184333333331, 68.96681333333333, 0.065, 37.338906164840566, 0.0, 60078.717581872035, 0.0011973629580163722, -0.05414515076767066, -0.015177752363619, 0.28802382087451406, 3.566732094769821e-05, 0.09592907580222643, 0.015709467542146357
2021qtb, 272.076248571429, 74.2868828571429, 0.136, 38.90926784287916, 0.0, 59395.76981980112, 0.0004960607681224138, 0.528407921260456, -0.18681546369199406, 0.6073115032704663, 3.566732094769821e-05, 0.09592907580222643, 0.015709467542146357
2024cka, 135.9664022222222, -3.1843233333333334, 0.0567, 38.829599512804286, 0.0, 60326.94238079855, 1.2120144815713123e-05, 25.35589496997754, 2.2601471808338496, 0.14235101922531612, 3.566732094769821e-05, 0.09592907580222643, 0.015709467542146357
