Name ra dec
2017jfw 201.974041666667 -29.6185388888889
2016ije 29.626375 12.9244166666667
2017ejb 192.150041666667 -41.3259805555556
2017fzw 95.394875 -27.2148638888889
2018ame 227.356333333333 25.4715444444444
2018ast 175.283166666667 24.8196111111111
2018awi 155.045458333333 -7.84686111111111
2018baz 246.055791666667 25.2720555555556
2018chl 180.884958333333 -43.6548111111111
2018ciw 224.878291666667 28.1830166666667
2016brx 342.641791666667 -1.54236111111111
2018eyi 246.301958333333 40.8401583333333
2018gro 332.955 38.7004166666667
2018hkw 39.5949166666667 -11.7391611111111
2016iuh 184.881 49.81785
2018jag 15.9512916666667 10.5923611111111
2019be  195.060516666667 27.9568527777778
2019cp  163.708508333333 -7.38100277777778
2019op  35.4244125 -25.9271527777778
2019so  190.651791666667 -40.7464055555556
2019ahh 210.563370833333 9.78331944444444
2019bwi 141.354254166667 65.4675027777778
2019cdc 212.204729166667 35.6142777777778
2019ecx 139.175125 18.9650305555556
2019exc 296.989933333333 3.94511111111111
2018lph 250.902241666667 33.5336
2019luv 328.812516666667 -12.1489944444444
2019moq 6.61545160003238 38.1232395512729
2019noh 346.419825 27.6659805555556
2020dq  195.079020833333 -33.6296972222222
2020yo  46.5270791666667 13.9134527777778
2020ais 176.118879166667 10.78335
2020ecn 179.863879166667 -20.4447916666667
2020mfd 259.030995833333 40.7865361111111
2020nta 241.847275 13.8926222222222
2020vae 270.744675 52.115075
2020yzn 293.342929166667 -58.1226
2020abmg 123.852270833333 -6.95770555555556
2020abpe 24.1023333333333 22.0498027777778
2020acbx 131.588291666667 -12.6559722222222
2020aclx 9.47300416666667 -21.4719305555556
2020acoo 145.3088625 26.088575
2020aejj 75.266275 -38.4486027777778
2021bmu 19.5190582901647 14.5536782776485
2021bls 250.836370833333 61.5948666666667
2021cad 163.939433333333 24.0276555555556
2021fnr 219.50787920719074 10.184031423141269
2021gel 186.634530580755 31.4283877648021
2021jbp 201.241558333333 -24.1807694444444
2021jvp 215.19557977001816 -19.786138140517604
2021mab 178.79437916666663 -7.843080555555555
2021oyx 358.865075 -34.87498333333333
2021pom 184.50780833333332 -20.857608333333335
2021qqr 257.3738166666666 -22.44768611111111
2021twa 32.76211249999999 36.481725000000004
2021uef 297.40179583333327 42.23985277777778
2021uve 29.13569565786243 3.8603580474646884
2021wzb 72.76725099833224 -5.956904257359554
2021xfm 318.75354999999996 21.91009722222222
2021zqs 45.880016666666656 27.682208333333335
2021zsz 92.63880416666666 -14.538880555555556
2021aare 90.91666666666666 -26.66324722222222
2021abzd 10.8995375 30.592322222222222
2021afur 155.55415833333333 17.861225
2021agej 22.491958333333333 19.43908888888889
2021agnf 97.97918333333332 35.556602777777776
2022an  190.8843333333333 -41.36598888888889
2022yv  170.4280708333333 34.358330555555554
2022bsi 228.61520416666664 50.31702777777778
2022dsu 211.3781958333333 15.720977777777778
2022fjx 160.87567916666663 19.08300277777778
2022fpo 305.20583333333326 -48.240880555555556
2022ihz 145.70094583333332 -3.6070722222222225
2022kbc 181.1954625 9.438255555555555
2022omn 341.8629958333333 -25.664816666666667
2022oux 334.19412499999993 86.9324888888889
2022rey 268.3069708333333 42.788525
2022rjs 244.12544381213974 21.25148280005454
2022skw 28.936116576208455 -25.24875961236597
2022ubt 289.1199583333333 41.889291666666665
2022vse 60.34132916666666 -54.754416666666664
2022vxf 317.81558333333334 37.88565
2022xhh 64.1733759834313 -12.18359033747551
2022xkq 76.34879317253565 -11.882223304643725
2022xnq 1.1623624999999997 -8.099930555555556
2022ywc 50.550512499999996 -42.88467222222222
2022zvu 148.46274583333332 -7.792683333333334
2022aaok 138.75348827764117 22.589551264070604
2022abom 55.288069676415056 -2.848554874720014
2022aecb 74.75937499999999 -0.44191111111111114
2023dk  77.77631949389749 -1.0803024787910513
2023ex  194.72341311837167 28.127056581644503
2023bhm 70.72892083333333 0.618425
2023cvq 129.5441005730084 25.101551215538002
2023fot 185.44816295200465 10.59142716377714
2023fwb 320.9141458333333 39.580933333333334
2023jah 307.7886541666666 -44.262436111111114
2023mkp 204.84552948937275 51.049656027986266
2023omo 214.2615914779307 10.821962036527848
2023sps 356.063375 -23.529138888888887
2023vjh 60.66323761258093 25.233483796515177
2023yrs 96.7204 -24.614725
2023abdv 17.785216666666667 -13.944155555555556
2023acdv 203.18804166666663 -13.047169444444444
2024bjb 167.98247973984218 3.1336757091326715
2024fid 186.07860833333334 10.446222222222222
