#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
02a59621o0215o,45.8799816666667,27.6821929166667,>19.65,0.0,3.0,o,22.105,59621.30912755,10378.1,10456.0,201.0,200.5,-24.9,25.6,229.4,15595.8,2796.6,0.92,2.1,1.79,1.0,3.0,-0.4567,-24.82163688760241,25.51943390853903,19.03,30.0
02a59622o0024o,45.8799816666667,27.6821929166667,>19.37,0.0,3.0,o,22.125,59622.22176485,429.16,10488.2,165.0,180.0,-85.6,29.0,216.8,3011.8,1633.9,1.79,2.28,1.91,1.0,3.0,-0.4557,-96.96181229301463,32.84921210861477,18.91,30.0
02a59622o0031o,45.8799816666667,27.6821929166667,>19.75,0.0,3.0,o,22.124,59622.22504515,409.91,10446.5,170.0,186.2,-26.4,21.4,221.9,10070.9,1346.9,1.9,2.22,1.88,1.0,3.0,-0.4537,-28.633437949232952,23.2104383376358,19.01,30.0
02a59622o0039o,45.8799816666667,27.6821929166667,>19.62161022866083,0.0,2.55,o,22.124,59622.22903415,3011.98,219.58,176.0,185.9,39.2,15.4,181.9,-1259.6,963.3,1.69,2.24,1.91,1.0,3.0,-0.4557,43.6642694036805,17.153820122874478,19.06,30.0
02a59622o0042o,45.8799816666667,27.6821929166667,>19.19,0.0,3.0,o,22.123,59622.23040635,464.39,10523.6,254.0,170.3,-71.3,36.7,251.9,-16894.5,2672.0,4.43,2.19,1.86,1.0,3.0,-0.4577,-75.82376305127225,39.02850075710648,19.06,30.0
02a59622o0047o,45.8799816666667,27.6821929166667,>20.04,0.0,3.0,o,22.123,59622.23270835,2991.41,176.4,158.0,180.7,-17.0,17.1,176.8,-806.4,901.8,0.9,2.17,1.83,1.0,3.0,-0.4597,-17.65706396222772,17.760929044358473,19.12,30.0
02a59622o0053o,45.8799816666667,27.6821929166667,>16.01,0.0,3.0,o,22.124,59622.23545965,10324.3,10531.0,-1033.0,-336.6,-175.5,688.4,-943.8,-92455.9,151771.0,0.01,2.2,1.85,1.0,3.0,-0.4557,-185.9645978601571,729.447459640639,19.08,30.0
02a59622o0061o,45.8799816666667,27.6821929166667,>19.56,0.0,3.0,o,22.124,59622.23914635,10303.5,10489.8,273.0,193.8,10.5,27.9,228.0,13442.5,1662.0,0.82,2.13,1.79,1.0,3.0,-0.4627,10.49012537451675,27.87376170943022,19.05,30.0
02a59622o0065o,45.8799816666667,27.6821929166667,>20.07,0.0,3.0,o,22.12,59622.24097375,3051.05,254.99,185.0,183.4,5.1,17.3,177.1,-478.7,875.0,1.3,2.13,1.8,1.0,3.0,-0.4617,5.137845375191828,17.42837744918012,19.09,30.0
02a59622o0074o,45.8799816666667,27.6821929166667,>19.97,0.0,3.0,o,22.12,59622.24509505,485.58,10400.8,178.0,183.7,-33.9,19.7,204.1,8707.1,954.1,1.56,2.09,1.76,1.0,3.0,-0.4637,-32.82595708665008,19.075851168348276,19.08,30.0
02a59622o0076o,45.8799816666667,27.6821929166667,None,None,None,o,22.122,59622.24600805,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.4667,None,None,19.12,30.0
