#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
02a58433o0582c,35.4244,-25.9272214285714,>16.55,0.0,3.0,c,18.463,58433.46773435,6277.09,2969.59,172.0,174.5,4.0,8.1,174.5,290.3,698.9,0.75,2.76,2.6,1.0,3.0,-0.4055,207.59704466766505,420.38401545202174,15.71,30.0
02a58433o0602c,35.4244,-25.9272214285714,>16.34,0.0,3.0,c,18.077,58433.47697835,6331.77,3047.8,175.0,177.1,3.9,7.3,174.9,475.8,581.1,1.1,2.71,2.5,1.0,3.0,-0.392,270.80248908363257,506.8867103360301,15.29,30.0
01a58435o0537o,35.4244,-25.9272214285714,17.97,0.11,9.45,o,21.426,58435.42947855,6970.35,5743.93,197.0,185.4,52.0,5.5,163.4,-4113.1,578.0,3.8,3.33,2.83,1.0,3.0,-0.427,235.67458876710475,24.92711996575147,18.49,30.0
01a58435o0557o,35.4244,-25.9272214285714,14.94,0.01,120.21,o,21.293,58435.43960385,6991.64,5821.94,188.0,181.5,685.2,5.7,-107.6,-4469.3,577.3,350.38,3.41,3.06,1.0,3.0,-0.411,3840.3597124431512,31.946950322425515,18.29,30.0
01a58435o0578o,35.4244,-25.9272214285714,>18.76,0.0,3.0,o,20.761,58435.44929465,6940.43,5782.96,164.0,181.0,6.0,6.5,175.8,-3052.9,513.5,1.26,3.32,2.94,1.0,3.0,-0.418,51.58404679693609,55.88271736334743,17.8,30.0
01a58435o0599o,35.4244,-25.9272214285714,18.17,0.25,3.82,o,20.824,58435.45903845,6923.97,5936.66,184.0,182.2,25.6,6.7,169.6,-3653.9,452.9,1.83,3.23,2.82,1.0,3.0,-0.428,195.06095279601982,51.051108739583306,17.86,30.0
02a58437o0471o,35.4244,-25.9272214285714,>15.91,0.0,3.0,o,18.552,58437.44163795,4975.13,2787.18,210.0,174.7,5.8,18.4,174.8,610.5,1371.9,1.02,2.62,2.36,1.0,3.0,-0.391,239.61832783234883,760.1684882957275,15.6,30.0
02a58437o0492o,35.4244,-25.9272214285714,>17.09,0.0,3.0,o,19.253,58437.45134835,4991.87,2671.42,179.0,183.3,3.4,10.9,182.4,-882.7,896.5,1.18,2.74,2.46,1.0,3.0,-0.381,79.88097043197034,256.08899344366966,16.33,30.0
01a58439o0197o,35.4244,-25.9272214285714,>18.34382193868828,0.0,1.7,o,21.669,58439.42693485,5543.68,5125.44,270.0,201.4,21.6,12.7,193.0,-4254.7,1067.7,1.24,3.59,3.23,1.0,3.0,-0.407,94.54301922218777,55.58779370934188,17.65,30.0
01a58439o0217o,35.4244,-25.9272214285714,>18.03,0.0,3.0,o,21.134,58439.43620855,5563.58,5199.58,147.0,191.7,1.4,13.1,183.4,-1175.7,1317.2,1.41,3.79,3.52,1.0,3.0,-0.38,11.245755949471874,105.22814495577255,16.95,30.0
01a58439o0237o,35.4244,-25.9272214285714,>17.73,0.0,3.0,o,20.63,58439.44543155,5510.88,5158.76,42.0,115.2,-25.5,13.6,120.7,6577.0,1278.3,1.26,3.42,3.1,1.0,3.0,-0.419,-267.92098154834406,142.89119015911686,16.62,30.0
01a58439o0258o,35.4244,-25.9272214285714,>15.67,0.0,3.0,o,18.907,58439.45516455,5495.24,5312.16,156.0,194.8,-12.5,18.8,202.1,5091.8,1666.3,1.2,3.39,3.08,1.0,3.0,-0.431,-638.1740976738434,959.8138429014606,14.91,30.0
02a58441o0550o,35.4244,-25.9272214285714,>17.38,0.0,3.0,o,21.207,58441.43681505,4450.3,3384.99,-215.0,-220.3,-170.1,68.7,-228.3,-4348.5,4233.7,0.9,2.32,2.13,1.0,3.0,-0.445,-487.80994182842994,197.01671371906608,16.75,30.0
02a58441o0570o,35.4244,-25.9272214285714,>17.15,0.0,3.0,o,20.898,58441.44603445,4503.78,3463.8,54.0,87.3,-42.6,59.5,84.6,-4622.3,3625.7,1.48,2.43,2.19,1.0,3.0,-0.411,-177.47563258322506,247.88263236389415,16.24,30.0
