# Created by M.D. Woods -- 2024-11-25 15:24:23.990411 -- HUBBLE RESID STD: 0.23084256723055294
# {'z': 0.015, 'c': (0.1, 999), 'x1': (-4.5, 4.5), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err
2005A, 37.680208, -2.938833, 0.0191, 0.018175475414380166, 53376.65, 53433.53, CSP, 53378.87408260123, 0.051819588225043844, 0.0008399486855008461, 2.3757031148703607e-06, 0.1682557320359146, 0.019844725625138837, 1.0229235511718817, 0.002020652290587278, 34.661799057582414, 0.007410000283075098, 3.2610126934232015, 3.5302173689058103
2004gs, 129.596583, 17.627722, 0.0267, 0.02743521091657417, 53352.85, 53461.56, CSP, 53356.36578071601, 4.506946061155759e-05, 0.0020443699986528387, 3.9017683729122084e-06, -2.032308914174487, 0.010797725424057214, 0.2356948882136261, 0.0016881238245048278, 35.70528722172406, 0.005685966006046852, 10.524491610792518, 0.0008337715580172614
2007ca, 202.774208, -15.101833, 0.0141, 0.015735060207281045, 54217.65, 54275.65, CSP, 54228.10598390407, 0.012866123441199306, 0.005916913127928361, 9.648809798686663e-06, 0.7115701076058278, 0.012205846240449514, 0.35740741862265313, 0.001271350311398513, 34.60855813642898, 0.004579953857390281, 9.100726295715653, 0.002123969178416933
2009al, 162.841958, 8.578528, 0.0221, 0.023294362161299355, 54891.71, 54973.54, CSP, 54896.99799795559, 0.07213045713069732, 0.005301603621402387, 1.9150272732194885e-05, -0.4874559651050614, 0.022410175087505535, 0.21158698581411525, 0.0024105467779783505, 34.9788718840138, 0.008873500596593085, 10.676596531095123, 0.0005467162453691708
2008ae, 149.013333, 10.499667, 0.03, 0.030857352186054905, 54508.74, 54602.52, CSP, 54501.140898947866, 0.00015467414414160885, 0.0007235937720716692, 1.044539878859234e-05, -0.4217808465969497, 0.0644986891242938, 0.7772558487632645, 0.011531393230515401, 35.46550805051308, 0.03903693971329171, 10.290002175888732, 0.0008835091764675878
2006ev, 322.746917, 13.989222, 0.0287, 0.027057648155491495, 53993.59, 54039.52, CSP, 53989.9997328721, 0.07670086455254932, 0.0018943347226685477, 1.209737263037992e-05, -1.3276540554294458, 0.028973079865472817, 0.2139203714474274, 0.003514282996892983, 35.9607444229968, 0.013319151619684886, 10.748696257484479, 0.0007780565778547196
2006gj, 49.399167, -1.691722, 0.0284, 0.027522378419553843, 53998.83, 54096.59, CSP, 54000.04477064896, 0.05332698499842081, 0.0011163039740233307, 4.637674917607678e-06, -2.351373856548614, 0.02941176566874093, 0.4168419576187793, 0.003651595153463454, 35.77359458918164, 0.012609869485142328, 10.669635209313917, 0.0012479558890463075
2007jh, 54.006417, 1.103389, 0.0408, 0.03836771333034954, 54363.86, 54413.8, CSP, 54364.45252253186, 0.11269370124136913, 0.0005521397088803319, 3.4620492633902596e-06, -1.6066417405830857, 0.05347211321121148, 0.40331948503106024, 0.006169886665111615, 36.692169293473285, 0.02124461678005103, 10.963091620417575, 0.0010519692878266553
2005mc, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, CSP, 53730.68518790677, 0.07945568033392192, 0.002487173202549189, 1.9662067529208068e-05, -2.1831003016274186, 0.015927466708968385, 0.2777652484582651, 0.00331899566046242, 35.343980138798706, 0.013320410168053454, 13.004227849812548, 0.0005277710097430307
2006kf, 55.460333, 8.156944, 0.0213, 0.02090716743106265, 54036.81, 54127.64, CSP, 54041.56963337621, 0.020113201269850833, 0.003140985145213509, 7.040419951394734e-06, -2.178588564444184, 0.013911577340777859, 0.24449066990957027, 0.0018475066543965238, 35.190429047116716, 0.006384693510751022, 10.847440404300489, 0.0005624670042569112
2007cg, 201.389917, -24.65225, 0.0332, 0.03498010717277563, 54235.63, 54259.59, CSP, 54228.41734958023, 0.16135961502732243, 0.0006929799318374581, 9.757525072814438e-06, 0.9034055345044834, 0.05970205402411055, 0.7123716372445579, 0.007101301253274958, 35.908551922885884, 0.02765822917781472, 10.398172569001606, 0.0016084521206963715
2004gu, 191.603, 11.948917, 0.0459, 0.04686413423840836, 53357.86, 53410.84, CSP, 53363.08398016323, 0.04638219120170106, 0.0016622264780088488, 4.840391556834585e-06, 1.4403540874047394, 0.02491100364295562, 0.1337255080310579, 0.00219355523708168, 36.76514667141134, 0.008200755889975273, 10.169178254050212, 0.004755317603574504
2007jd, 44.972375, 1.160722, 0.0726, 0.0717710864312675, 54362.83, 54409.83, CSP, 54362.03881062486, 0.23482054331543623, 0.0003686624413269517, 3.158912417170567e-06, -0.7927233602020672, 0.09090299463638096, 0.1863549187630104, 0.00628195765448917, 37.90180343119706, 0.02510844097633304, 10.066482342060203, 0.004639021074210903
2007hx, 31.612833, -0.899528, 0.0794, 0.07815815296284123, 54354.78, 54411.73, CSP, 54354.7747996948, 0.1920666701371374, 0.0003112083956123925, 2.0506652128775513e-06, 0.4554886952657411, 0.09787797926929243, 0.2015440715218808, 0.0059821257151139945, 38.231460175644976, 0.024356460303387954, 10.947106485783687, 0.006470108825979771
2006eq, 322.154708, 1.228194, 0.0495, 0.048494734308785356, 53980.56, 54029.51, CSP, 53974.38607903952, 0.14409801577494363, 0.0007848996493501094, 1.1677604333583214e-05, -2.0312755912269784, 0.03135941396495512, 0.18969916173451445, 0.00754327108845455, 36.881875994912136, 0.028093702698819632, 10.120574709522273, 0.002816689517966661
2007A, 6.319417, 12.886806, 0.0177, 0.01599141880672713, 54107.53, 54133.53, CSP, 54113.68349201693, 0.02810901357952389, 0.006783506271672503, 2.2031023894028906e-05, 0.5238550616770787, 0.04587694062616998, 0.2746277248063708, 0.0026809964911653347, 34.6781236273572, 0.011204140406342997, 6.774565304332999, 0.07187074108120962
2005eq, 47.205458, -7.03325, 0.029, 0.028413520825003265, 53647.8, 53751.66, CSP, 53655.3711764735, 0.03183719766821014, 0.004010676681545509, 8.508574875286947e-06, 1.3070410703848423, 0.020538032319190047, 0.127908495646641, 0.0016667473716045376, 35.80576583427611, 0.006312673228152169, 11.032511457537016, 0.0010013614597814862
2008gg, 21.346, -18.172444, 0.032, 0.03099832534188527, 54753.63, 54827.57, CSP, 54752.09000060626, 8.686765795573592e-08, 0.0034536874341964028, 6.8319213756161655e-06, 0.6122125474341911, 0.013001298926008098, 0.14961987081459388, 0.0014836356629159334, 35.79709372856085, 0.005302552512207545, 11.850745409234504, 0.0015379705707240455
