# Created by M.D. Woods -- 2024-12-16 10:59:06.672958 -- NUM TARGETS: 71
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err, peak_mag, peak_mag_err
2005kc, 338.530583, 5.568417, 0.0151, 0.013293647410229783, 53687.52, 53728.54, CSP, 53698.175737409365, 0.013335321924387245, 0.006279614968578408, 1.3950326027590369e-05, -0.6315970690147982, 0.017040476813676708, 0.39731614572837193, 0.001809827298793232, 34.21953099415366, 0.00645776137444778, 10.860521014844817, 0.00028121941506437646, 15.930104166666666, 0.016770833333333336
2005A, 37.680208, -2.938833, 0.0191, 0.018175475414380166, 53376.65, 53433.53, CSP, 53378.87408260123, 0.051819588225043844, 0.0008399486855008461, 2.3757031148703607e-06, 0.1682557320359146, 0.019844725625138837, 1.0229235511718817, 0.002020652290587278, 34.661799057582414, 0.007410000283075098, 3.2610126934232015, 3.5302173689058103, 17.55225, 0.011291666666666667
2009Y, 220.599375, -17.246778, 0.0094, 0.010706906771567897, 54868.84, 54976.65, CSP, 54877.32011070158, 2.1313280740287155e-06, 0.030743622872142995, 4.186718495044839e-05, 0.3292747558444975, 0.009671624451548788, 0.21174651515966786, 0.0010344859344059007, 33.19498681232492, 0.003725496637012586, 10.154204462082083, 0.0003139066959013028, 14.574657894736841, 0.009657894736842108
2004gs, 129.596583, 17.627722, 0.0267, 0.02743521091657417, 53352.85, 53461.56, CSP, 53356.36578071601, 4.506946061155759e-05, 0.0020443699986528387, 3.9017683729122084e-06, -2.032308914174487, 0.010797725424057214, 0.2356948882136261, 0.0016881238245048278, 35.70528722172406, 0.005685966006046852, 10.524491610792518, 0.0008337715580172614, 17.390666666666664, 0.010875000000000001
2008gp, 50.753042, 1.361889, 0.0334, 0.0316740244728526, 54768.75, 54844.52, CSP, 54779.725451022896, 0.012382852957671275, 0.0030954383830277426, 6.661280020514895e-06, -0.0038670460674539164, 0.013909196876857877, 0.07613356853628965, 0.001660317749945028, 36.04072489900193, 0.005870955817913843, 10.825626853900289, 0.0008195866476426455, 17.139885714285715, 0.03025714285714286
2007ca, 202.774208, -15.101833, 0.0141, 0.015735060207281045, 54217.65, 54275.65, CSP, 54228.10598390407, 0.012866123441199306, 0.005916913127928361, 9.648809798686663e-06, 0.7115701076058278, 0.012205846240449514, 0.35740741862265313, 0.001271350311398513, 34.60855813642898, 0.004579953857390281, 9.100726295715653, 0.002123969178416933, 15.971552631578946, 0.012000000000000002
2009al, 162.841958, 8.578528, 0.0221, 0.023294362161299355, 54891.71, 54973.54, CSP, 54896.99799795559, 0.07213045713069732, 0.005301603621402387, 1.9150272732194885e-05, -0.4874559651050614, 0.022410175087505535, 0.21158698581411525, 0.0024105467779783505, 34.9788718840138, 0.008873500596593085, 10.676596531095123, 0.0005467162453691708, 16.522230769230767, 0.02184615384615385
2005ki, 160.117583, 9.202333, 0.0192, 0.020898630617279666, 53695.86, 53861.5, CSP, 53705.79588465526, 0.011874254283611663, 0.009272919441742649, 1.605853430349035e-05, -1.5041658811472836, 0.008247488892276222, -0.016907059947006545, 0.0013820237127165666, 34.89720444163447, 0.004699902786680768, 10.709160295771582, 0.00038088954032225003, 16.143395348837206, 0.019139534883720933
2006lu, 138.823458, -25.600083, 0.0534, 0.055620130925735006, 54040.84, 54137.75, CSP, 54039.181600342075, 6.527065488626249e-05, 0.0010244903552434563, 3.5691946095337374e-06, -0.2076804821813072, 0.026625436988664264, 0.09154391614577453, 0.0033684396349680716, 37.16415433055789, 0.011474459633523308, 10.312301203111709, 0.0032468771455692633, 18.351785714285715, 0.0345
2006ev, 322.746917, 13.989222, 0.0287, 0.027057648155491495, 53993.59, 54039.52, CSP, 53989.9997328721, 0.07670086455254932, 0.0018943347226685477, 1.209737263037992e-05, -1.3276540554294458, 0.028973079865472817, 0.2139203714474274, 0.003514282996892983, 35.9607444229968, 0.013319151619684886, 10.748696257484479, 0.0007780565778547196, 17.527727272727272, 0.05054545454545455
2006gj, 49.399167, -1.691722, 0.0284, 0.027522378419553843, 53998.83, 54096.59, CSP, 54000.04477064896, 0.05332698499842081, 0.0011163039740233307, 4.637674917607678e-06, -2.351373856548614, 0.02941176566874093, 0.4168419576187793, 0.003651595153463454, 35.77359458918164, 0.012609869485142328, 10.669635209313917, 0.0012479558890463075, 17.846, 0.02627272727272727
2007jh, 54.006417, 1.103389, 0.0408, 0.03836771333034954, 54363.86, 54413.8, CSP, 54364.45252253186, 0.11269370124136913, 0.0005521397088803319, 3.4620492633902596e-06, -1.6066417405830857, 0.05347211321121148, 0.40331948503106024, 0.006169886665111615, 36.692169293473285, 0.02124461678005103, 10.963091620417575, 0.0010519692878266553, 18.47714285714286, 0.02264285714285714
2006hb, 75.505333, -21.131972, 0.0153, 0.01495017323137652, 54006.87, 54143.59, CSP, 54000.245827545354, 0.02964663878083229, 0.012441977305950067, 4.8279073266221963e-05, -2.1692856647068783, 0.010026739893848724, 0.045162606230780916, 0.0021635015614851027, 34.291291214586344, 0.007853014333439772, 10.210072482410556, 0.0005498683746901016, nan, nan
2007hj, 345.449542, 15.5865, 0.0141, 0.012536754223780481, 54348.76, 54440.53, CSP, 54346.69805910048, 0.024182778390240856, 0.008439241821409786, 1.836731577505174e-05, -2.236937127691263, 0.006496554254997289, 0.2720061045337664, 0.0012671956730802684, 34.02641184917534, 0.004564190667595117, 10.38832624078401, 0.0005651865386335664, 15.952590909090906, 0.009681818181818182
2007ol, 24.34875, -0.312, 0.0559, 0.054025413754148294, 54409.79, 54422.66, CSP, 54413.55968691815, 0.10652713303716155, 0.00094195116016344, 6.387529389726224e-06, -2.604144533011192, 0.21807690924609746, 0.045488574954806696, 0.009948098012878208, 37.02593896968296, 0.04523635063401864, 10.289335360151146, 0.0023866700569406345, 18.273368421052634, 0.032421052631578955
2005mc, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, CSP, 53730.68518790677, 0.07945568033392192, 0.002487173202549189, 1.9662067529208068e-05, -2.1831003016274186, 0.015927466708968385, 0.2777652484582651, 0.00331899566046242, 35.343980138798706, 0.013320410168053454, 13.004227849812548, 0.0005277710097430307, nan, nan
