# Soruce: TNS, ""Discovery Data Source/s"":  ZTF, Date: 2018 to 2025, Object Type: SNe Ia-91bg-like
ID,Name,RA,DEC,Redshift
26044,SN 2018baz,16:24:13.390,+25:16:19.40,0.1
27014,SN 2018ciw,14:59:30.788,+28:10:58.86,0.056
39634,SN 2018lph,16:43:36.538,+33:32:00.96,0.08
33246,SN 2019cp,10:54:50.042,-07:22:51.61,0.05
42046,SN 2019luv,21:55:15.008,-12:08:56.37,0.06
42563,SN 2019moq,00:26:27.710,+38:07:23.71,0.0596
43231,SN 2019noh,23:05:40.758,+27:39:57.52,0.0249
72277,SN 2020abpe,01:36:24.560,+22:02:59.29,0.05
72611,SN 2020acbx,08:46:21.190,-12:39:21.58,0.051
55301,SN 2020ecn,11:59:27.331,-20:26:41.25,0.021
61425,SN 2020mfd,17:16:07.435,+40:47:11.57,0.048
62535,SN 2020nta,16:07:23.350,+13:53:33.75,0.033953
67679,SN 2020vae,18:02:58.722,+52:06:54.27,0.04846
52341,SN 2020yo,03:06:06.513,+13:54:48.57,0.09
97241,SN 2021afur,10:22:12.998,+17:51:40.41,0.028
76610,SN 2021cad,10:55:45.464,+24:01:39.56,0.041546
86718,SN 2021qqr,17:09:29.716,-22:26:51.67,0.0309549998
88930,SN 2021twa,02:11:02.907,+36:28:54.21,0.012128969342354
89147,SN 2021uef,19:49:36.431,+42:14:23.47,0.0304
89590,SN 2021uve,01:56:32.570,+03:51:37.22,0.055
92933,SN 2021zqs,03:03:31.204,+27:40:55.95,0.036465
120207,SN 2022aaok,09:15:00.834,+22:35:22.40,0.027214
101790,SN 2022dsu,14:05:30.767,+15:43:15.52,0.07
108239,SN 2022jou,17:49:34.463,+16:40:40.87,0.035898
108781,SN 2022kbc,12:04:46.911,+09:26:17.72,0.0687
112053,SN 2022oux,22:16:46.590,+86:55:56.96,0.019
113827,SN 2022rjs,16:16:30.100,+21:15:05.29,0.037
116244,SN 2022uxl,03:28:36.301,+05:47:21.65,0.031975999474525
117905,SN 2022xhh,04:16:41.618,-12:11:00.88,0.0315
118075,SN 2022xnq,00:04:38.967,-08:05:59.75,0.0286
119636,SN 2022zsp,05:05:37.679,+32:31:08.66,0.021652
119719,SN 2022zvu,09:53:51.059,-07:47:33.66,0.019323
124408,SN 2023bhm,04:42:54.998,+00:37:06.32,0.015419
125484,SN 2023cvq,08:38:10.584,+25:06:05.58,0.0286
136517,SN 2023sps,23:44:15.210,-23:31:44.90,0.049
138749,SN 2023vjh,04:02:39.175,+25:14:00.54,0.019
166862,SN 2024abwg,06:43:21.469,+63:38:57.84,0.05
151584,SN 2024iyx,19:13:12.663,+45:19:21.48,0.03376
151803,SN 2024jgw,17:15:02.869,+46:02:41.60,0.028
155777,SN 2024nev,22:13:50.674,+03:59:02.51,0.0585
159073,SN 2024rkh,02:38:41.968,-07:17:03.58,0.07
160903,SN 2024uai,07:32:18.780,+85:42:28.45,0.006
161637,SN 2024vcj,02:45:35.250,-17:41:22.99,0.026
162399,SN 2024wdg,04:45:16.797,+08:33:15.49,0.066
163100,SN 2024xdl,20:30:21.103,-01:00:22.90,0.0213
164915,SN 2024zaj,02:45:52.724,-17:02:31.78,0.02439
170620,SN 2025nn,07:17:39.340,+43:49:03.12,0.05
