"# Soruce: Krisciunas+17, ""Discovery Data Source/s"":  CSP-I, Date: 2004 to 2010, Object Type: SNe Ia-91bg-like",,,
Name,RA,DEC,Redshift
SN 2005bl,12:04:12.26,+20:24:24.8,0.0241
SN 2005ke,03:35:04.35,-24:56:38.8,0.0049
SN 2006bd,11:38:28.46,+20:31:34.4,0.0257
SN 2006gt,00:56:17.30,-01:37:46.0,0.0448
SN 2006mr,03:22:43.04,-37:12:29.6,0.0059
SN 2007al,09:59:18.48,-19:28:25.8,0.0122
SN 2007ax,08:22:43.26,+22:33:16.9,0.0069
SN 2007ba,15:16:42.63,+07:23:47.8,0.0385
SN 2007N,12:49:01.25,-09:27:10.2,0.0129
SN 2008bd,10:18:23.32,-13:06:11.2,0.0301
SN 2008bi,08:35:53.39,+00:42:23.1,0.0134
SN 2008bt,10:50:16.88,-12:06:32.0,0.0154
SN 2009F,04:59:23.56,-11:07:50.1,0.0130
