# List from TNS, Searched by ""Discovery Data Source/s"" = ATLAS, from 2017 to 2025, SNe Ia
ID,Name,RA,DEC,Redshift
17362,SN 2017lv,11:44:26.571,-28:27:26.88,0.029
25762,SN 2018aqh,12:05:26.666,+20:17:56.59,0.024
25779,SN 2018aqy,08:35:45.429,+28:16:12.92,0.07
26023,SN 2018bae,14:52:49.512,+18:04:48.82,0.07
26060,SN 2018bbn,17:59:50.258,+40:49:34.27,0.074
28118,SN 2018dyz,15:10:40.488,+08:34:27.49,0.045
28251,SN 2018eec,22:39:33.100,-02:45:40.97,0.09
29619,SN 2018geo,16:18:13.854,+39:07:25.75,0.03104
29751,SN 2018gjq,22:32:49.284,-01:51:09.56,0.055699
29944,SN 2018grb,23:45:22.295,+13:03:39.19,0.065
30813,SN 2018hxv,22:52:38.998,+10:37:05.54,0.077
38132,SN 2019gbx,12:50:02.812,-14:45:59.96,0.013
44842,SN 2019pxo,03:15:18.360,+42:41:43.98,0.017519
46668,SN 2019spg,08:21:48.088,-14:04:12.00,0.073
48200,SN 2019uvj,22:52:31.548,-19:27:50.37,0.08
48795,SN 2019vsa,12:05:47.580,-27:56:38.65,0.006102
49058,SN 2019wcd,10:05:00.210,-04:48:02.12,0.06
49356,SN 2019wno,23:25:46.289,+32:52:27.71,0.08
49875,SN 2019xhk,08:11:57.740,+80:24:20.30,0.065
50412,SN 2019ycb,12:18:48.640,+05:44:15.40,0.046
50509,SN 2019yfu,12:45:36.360,+01:11:00.99,0.0845
50947,SN 2019ywq,11:14:18.835,-00:42:51.71,0.08
50984,SN 2019yyb,09:03:48.873,-05:34:00.48,0.068
71311,SN 2020aagw,08:38:58.365,+05:47:27.64,0.048
71564,SN 2020aaqh,03:08:12.250,-11:43:53.80,0.08
71781,SN 2020aaym,10:23:17.160,-08:23:19.58,0.06
71890,SN 2020abcp,13:15:54.860,+08:01:39.36,0.0239669997
71892,SN 2020abcr,05:10:05.770,-37:35:02.98,0.05
71893,SN 2020abcs,22:41:25.800,-24:11:50.71,0.049
71895,SN 2020abcu,13:35:23.534,+28:57:33.88,0.05
72033,SN 2020abgc,10:37:38.185,-18:57:19.23,0.066
72035,SN 2020abge,00:34:18.120,-02:33:37.33,0.089
72177,SN 2020abli,06:21:54.941,-29:32:56.29,0.078
72241,SN 2020abnu,01:53:03.920,-36:03:56.41,0.042
72319,SN 2020abqu,04:13:49.975,-14:10:27.31,0.044
72402,SN 2020abtz,00:24:43.218,-23:21:10.06,0.13
72404,SN 2020abub,23:51:53.279,-13:16:26.52,0.09
72531,SN 2020abyx,13:32:07.160,-22:57:17.50,0.0169
72560,SN 2020acaa,05:01:12.530,-38:20:48.55,0.065
72877,SN 2020acma,10:37:57.860,-28:54:30.78,0.014
72962,SN 2020acpg,03:01:03.340,-37:02:13.67,0.07
72963,SN 2020acph,11:01:40.755,+22:05:37.97,0.12
73005,SN 2020acqx,02:42:54.190,-17:00:10.75,0.02
73006,SN 2020acqy,03:24:24.540,-43:29:39.98,0.073
73033,SN 2020acrz,05:32:59.249,-19:07:02.59,0.07
73047,SN 2020acsn,23:03:57.530,+30:43:26.51,0.06
73224,SN 2020aczg,10:01:06.690,+54:47:22.45,0.03
73406,SN 2020adgc,02:47:37.000,-28:26:54.42,0.042
73422,SN 2020adgs,08:10:36.233,+52:43:09.02,0.12
73436,SN 2020adhg,02:06:12.274,-41:49:51.97,0.074
73438,SN 2020adhi,01:30:25.334,-16:45:24.65,0.05
73457,SN 2020adib,03:26:09.130,-26:11:52.19,0.1
73471,SN 2020adip,21:40:27.892,+04:33:17.64,0.0749399
73517,SN 2020adkj,05:20:34.210,+06:33:21.38,0.029544
73589,SN 2020adnb,11:08:56.470,-26:41:17.92,0.03394
73604,SN 2020adnq,14:13:24.188,+06:23:05.87,0.036
73606,SN 2020adns,02:54:34.170,-46:07:29.10,0.074
73610,SN 2020adnw,13:15:06.311,-37:08:21.90,0.036
73647,SN 2020adpg,22:31:12.088,-15:01:32.08,0.03
73709,SN 2020adrp,03:10:57.350,-40:43:07.19,0.06
74172,SN 2020aejg,10:59:10.330,+42:08:23.60,0.07711
74365,SN 2020aeqn,11:27:54.836,+20:51:13.14,0.06
74367,SN 2020aeqp,12:29:21.750,+31:15:16.20,0.06
74370,SN 2020aeqs,14:07:27.289,+13:04:03.75,0.08
74373,SN 2020aeqv,10:52:27.186,-32:19:17.57,0.06
74379,SN 2020aerb,07:46:54.770,+81:11:35.30,0.05
74383,SN 2020aerf,15:27:44.727,+61:36:05.17,0.08
74390,SN 2020aerm,11:04:13.775,-33:58:51.35,0.09
74445,SN 2020aesr,05:35:17.504,-28:52:39.24,0.06
74824,SN 2020aeuh,12:35:51.856,+37:42:12.40,0.126
52534,SN 2020afo,02:27:31.136,-01:06:41.70,0.086
52544,SN 2020afy,13:42:43.744,+00:45:59.43,0.0733
52547,SN 2020agb,15:52:12.136,+04:50:41.10,0.07712
52622,SN 2020aiw,01:08:46.760,-13:33:52.20,0.0585
52691,SN 2020akj,14:09:20.170,-12:28:06.86,0.07
52713,SN 2020alf,12:47:10.380,+29:34:33.38,0.07
52763,SN 2020amy,01:43:23.590,+13:30:31.32,0.044794
52849,SN 2020aqd,11:53:13.830,-07:42:32.22,0.07
53185,SN 2020bcm,00:51:20.980,+25:00:16.67,0.075
53369,SN 2020bjk,12:07:44.777,-32:00:48.38,0.022
53458,SN 2020bmk,04:21:55.907,-27:01:17.59,0.07
53553,SN 2020bpz,11:40:58.565,-11:26:57.44,0.04
53566,SN 2020bqm,00:41:09.565,+16:27:41.53,0.018173
53686,SN 2020buy,13:04:10.469,-04:32:03.97,0.09
53866,SN 2020cbo,14:20:33.223,-33:19:43.05,0.04
53890,SN 2020ccm,11:27:31.600,-45:17:57.14,0.077
53916,SN 2020cdm,12:35:01.293,-05:29:18.87,0.023
54230,SN 2020cpl,05:39:53.789,+59:27:39.51,0.03
54232,SN 2020cpn,07:11:31.288,+58:57:05.68,0.080155
54582,SN 2020dcv,09:15:04.438,-00:43:10.92,0.053976
54597,SN 2020ddk,06:12:59.519,+48:09:30.60,0.09
54601,SN 2020ddo,15:41:07.310,+22:07:45.02,0.04218
54609,SN 2020ddw,04:50:02.795,+82:38:54.62,0.018129
54871,SN 2020dny,13:25:52.551,-17:20:10.17,0.1
51612,SN 2020dp,12:39:54.200,-23:52:58.22,0.052
54959,SN 2020drh,13:48:29.796,-30:40:14.72,0.05
55035,SN 2020duf,03:31:37.126,+40:06:31.81,0.06
55041,SN 2020dul,14:57:13.901,+49:40:27.63,0.07
55050,SN 2020duu,18:37:51.132,+37:28:15.44,0.021635
55073,SN 2020dvr,09:54:35.130,-19:53:14.28,0.013
55074,SN 2020dvs,19:09:20.490,+50:16:12.90,0.055
55157,SN 2020dxa,15:58:43.090,+26:49:09.66,
55296,SN 2020eci,15:23:14.896,+00:03:53.79,0.069
55359,SN 2020ees,13:27:15.190,+32:02:01.03,0.024424
55377,SN 2020efk,09:13:26.428,+16:26:04.80,0.072191
56011,SN 2020enj,10:20:57.071,+00:34:25.55,0.104
56113,SN 2020erg,09:14:27.265,-10:15:46.46,0.051
56124,SN 2020err,09:57:42.378,-12:22:57.21,0.04
